Scope,File,Column_Order,Column_Name,Required,Ownership,Notes
army,Unit_Points.csv,5,Sort_Order,YES,AUTHORITATIVE,Original point-slot order 1 through 8.
army,Weapon_Stats.csv,1,Weapon_ID,YES,AUTHORITATIVE,
army,Weapon_Stats.csv,2,Weapon Name,YES,AUTHORITATIVE,
army,Weapon_Stats.csv,3,"R""",NO,AUTHORITATIVE,
army,Weapon_Stats.csv,4,A,NO,AUTHORITATIVE,
army,Weapon_Stats.csv,5,WS,NO,AUTHORITATIVE,
army,Weapon_Stats.csv,6,St,NO,AUTHORITATIVE,
army,Weapon_Stats.csv,7,AP,NO,AUTHORITATIVE,
army,Weapon_Stats.csv,8,D,NO,AUTHORITATIVE,
army,Weapon_Abilities.csv,1,Weapon_ID,YES,AUTHORITATIVE,Foreign key to Weapon_Stats.csv.
army,Weapon_Abilities.csv,2,Weapon_Ability_ID,YES,AUTHORITATIVE,Stable unique relationship key generated from Weapon_ID and ability order.
army,Weapon_Abilities.csv,3,Ability_Type,YES,AUTHORITATIVE,Canonical weapon ability type; NONE preserves an explicit legacy '-' value.
army,Weapon_Abilities.csv,4,Target,NO,AUTHORITATIVE,Target class for parameterized abilities such as ANTI; blank otherwise.
army,Weapon_Abilities.csv,5,Value,NO,AUTHORITATIVE,"Structured parameter such as 2, D3, or 4+; blank for flag abilities."
army,Weapon_Abilities.csv,6,Condition,NO,AUTHORITATIVE,Optional qualifier previously represented after ':' in the compatibility string.
army,Weapon_Abilities.csv,7,Separator_Before,NO,AUTHORITATIVE,"Exact legacy delimiter before this ability; blank for first ability, normally ', ' thereafter."
army,Weapon_Abilities.csv,8,Sort_Order,YES,AUTHORITATIVE,Ability display/order position within the weapon.
army,Detachment_Definitions.csv,1,Detachment_ID,YES,AUTHORITATIVE,Stable unique detachment key.
army,Detachment_Definitions.csv,2,Army_Name,YES,AUTHORITATIVE,Owning army name.
army,Detachment_Definitions.csv,3,Detachment_Name,YES,AUTHORITATIVE,Visible detachment name.
army,Detachment_Definitions.csv,4,Rule_ID,YES,AUTHORITATIVE,Stable unique ID for the detachment rule.
army,Detachment_Definitions.csv,5,Rule_Name,YES,AUTHORITATIVE,Visible detachment rule name.
army,Detachment_Definitions.csv,6,DP_Cost,NO,AUTHORITATIVE,Detachment point cost.
army,Detachment_Definitions.csv,7,Detachment_Disposition,NO,AUTHORITATIVE,Primary allowed disposition.
army,Detachment_Definitions.csv,8,Detachment_Disposition_2,NO,AUTHORITATIVE,Optional second allowed disposition.
army,Detachment_Definitions.csv,9,Short_Description,NO,AUTHORITATIVE,
army,Detachment_Definitions.csv,10,Long_Description,NO,AUTHORITATIVE,
army,Detachment_Definitions.csv,11,Tags,NO,AUTHORITATIVE,Bracketed canonical Tags assigned to this detachment rule.
army,Detachment_Definitions.csv,12,Tag Categories,NO,AUTHORITATIVE,Bracketed category for each Tag; scope lives here rather than in (M)/(R) suffixes.
army,Detachment_Definitions.csv,13,Default_Active,NO,AUTHORITATIVE,Optional current activation default (1/0/blank). Blank means unspecified.
army,Enhancements.csv,1,Enhancement_ID,YES,AUTHORITATIVE,Stable unique enhancement key.
army,Enhancements.csv,2,Detachment_ID,YES,AUTHORITATIVE,Foreign key to Detachment_Definitions.csv.
army,Enhancements.csv,3,Enhancement_Name,YES,AUTHORITATIVE,Visible enhancement name.
army,Enhancements.csv,4,Points,NO,AUTHORITATIVE,Enhancement points cost.
army,Enhancements.csv,5,Repeatable,YES,AUTHORITATIVE,TRUE when this Enhancement may be assigned more than once in the same army; FALSE otherwise.
army,Enhancements.csv,6,Short_Description,NO,AUTHORITATIVE,
army,Enhancements.csv,7,Long_Description,NO,AUTHORITATIVE,
army,Enhancements.csv,8,Tags,NO,AUTHORITATIVE,Bracketed canonical Tags assigned to this enhancement.
army,Enhancements.csv,9,Tag Categories,NO,AUTHORITATIVE,Bracketed category for each Tag; scope lives here rather than in (M)/(R) suffixes.
army,Enhancements.csv,10,Default_Active,NO,AUTHORITATIVE,Optional current activation default (1/0/blank). Blank means unspecified.
army,Army_Rules.csv,1,Army_Rule_ID,YES,AUTHORITATIVE,Stable unique army-rule key.
army,Army_Rules.csv,2,Army_Name,YES,AUTHORITATIVE,Owning army name.
army,Army_Rules.csv,3,Rule_Name,YES,AUTHORITATIVE,Visible army-rule name.
army,Army_Rules.csv,4,Short_Description,NO,AUTHORITATIVE,
army,Army_Rules.csv,5,Long_Description,NO,AUTHORITATIVE,
army,Army_Rules.csv,6,Tags,NO,AUTHORITATIVE,Bracketed canonical Tags assigned to this army rule.
army,Army_Rules.csv,7,Tag Categories,NO,AUTHORITATIVE,Bracketed category for each Tag; scope lives here rather than in (M)/(R) suffixes.
army,Army_Rules.csv,8,Default_Active,NO,AUTHORITATIVE,Optional current activation default (1/0/blank). Blank means unspecified.
universal,Universal_Abilities.csv,1,Ability_ID,YES,AUTHORITATIVE,
universal,Universal_Abilities.csv,2,Ability Name,YES,AUTHORITATIVE,
universal,Universal_Abilities.csv,3,Short_Description,NO,AUTHORITATIVE,
universal,Universal_Abilities.csv,4,Long_Description,NO,AUTHORITATIVE,
universal,Universal_Abilities.csv,5,Order,YES,AUTHORITATIVE,"Required canonical Ability sort order 0-9. The application does not infer order from Ability name, type or Tags."
universal,Universal_Stratagems.csv,1,Detachment_ID,YES,AUTHORITATIVE,
universal,Universal_Stratagems.csv,2,Detachment_Name,NO,AUTHORITATIVE,
universal,Universal_Stratagems.csv,3,Item_Type,YES,AUTHORITATIVE,
universal,Universal_Stratagems.csv,4,Item_ID,YES,AUTHORITATIVE,
universal,Universal_Stratagems.csv,5,Item_Name,YES,AUTHORITATIVE,
universal,Universal_Stratagems.csv,6,Points,NO,AUTHORITATIVE,
universal,Universal_Stratagems.csv,7,CP_Cost,NO,AUTHORITATIVE,
universal,Universal_Stratagems.csv,8,Short_Description,NO,AUTHORITATIVE,
universal,Universal_Stratagems.csv,9,Long_Description,NO,AUTHORITATIVE,
army,Loadout_Options.csv,1,Loadout_Option_ID,YES,AUTHORITATIVE,Stable unique loadout option key.
army,Loadout_Options.csv,2,Unit_ID,YES,AUTHORITATIVE,Foreign key to Unit_Profiles.csv.
army,Loadout_Options.csv,3,Option_Group_ID,YES,AUTHORITATIVE,Stable option-group key within a unit.
army,Loadout_Options.csv,4,Group_Label,NO,AUTHORITATIVE,Visible option-group label.
army,Loadout_Options.csv,5,Option_ID,YES,AUTHORITATIVE,Stable semantic option key within the unit/group.
army,Loadout_Options.csv,6,Option_Name,YES,AUTHORITATIVE,Visible loadout option name.
army,Loadout_Options.csv,7,Default,YES,AUTHORITATIVE,Exactly one default option per unit/group.
army,Loadout_Options.csv,8,Sort_Order,YES,AUTHORITATIVE,Display order within the option group.
army,Loadout_Weapons.csv,1,Loadout_Option_ID,YES,AUTHORITATIVE,Foreign key to Loadout_Options.csv.
army,Loadout_Weapons.csv,2,Weapon_ID,YES,AUTHORITATIVE,Foreign key to Weapon_Stats.csv.
army,Loadout_Weapons.csv,3,Weapon_Role,YES,AUTHORITATIVE,SELECTED adds/replaces the option weapons; PRESERVE retains a base weapon.
army,Loadout_Weapons.csv,4,Sort_Order,YES,AUTHORITATIVE,Order within the selected or preserved weapon list.
army,Loadout_Abilities.csv,1,Loadout_Option_ID,YES,AUTHORITATIVE,Foreign key to Loadout_Options.csv.
army,Loadout_Abilities.csv,2,Ability_ID,YES,AUTHORITATIVE,Ability granted by selecting this loadout option.
army,Loadout_Abilities.csv,3,Sort_Order,YES,AUTHORITATIVE,Order within the option ability list.
army,Loadout_Points.csv,1,Loadout_Option_ID,YES,AUTHORITATIVE,Foreign key to Loadout_Options.csv.
army,Loadout_Points.csv,2,Point_Option_ID,YES,AUTHORITATIVE,Stable option-specific point slot key.
army,Loadout_Points.csv,3,Label,NO,AUTHORITATIVE,Option-specific unit-size label; blank is valid.
army,Loadout_Points.csv,4,Cost,NO,AUTHORITATIVE,Option-specific point cost; blank is valid for loadout-driven behavior.
army,Loadout_Points.csv,5,Sort_Order,YES,AUTHORITATIVE,Point-option display order.
army,Loadout_Compatibility.csv,1,Loadout_Option_ID,YES,AUTHORITATIVE,Foreign key to Loadout_Options.csv.
army,Loadout_Compatibility.csv,2,Required_Group_ID,YES,AUTHORITATIVE,Other option group constrained by this rule.
army,Loadout_Compatibility.csv,3,Compatible_Option_ID,YES,AUTHORITATIVE,Allowed option in Required_Group_ID; multiple rows are OR alternatives.
army,Loadout_Compatibility.csv,4,Rule_Order,YES,AUTHORITATIVE,Original compatibility rule order.
army,Loadout_Compatibility.csv,5,Option_Order,YES,AUTHORITATIVE,Original allowed-option order within the rule.
universal,Dispositions.csv,1,Disposition_ID,YES,AUTHORITATIVE,Stable canonical Disposition key.
universal,Dispositions.csv,2,Disposition_Name,YES,AUTHORITATIVE,Visible Disposition name.
universal,Dispositions.csv,3,Sort_Order,YES,AUTHORITATIVE,Canonical Disposition display order.
universal,Primary_Missions.csv,1,Primary_Mission_ID,YES,AUTHORITATIVE,Stable canonical Primary Mission key.
universal,Primary_Missions.csv,2,Disposition_ID,YES,AUTHORITATIVE,Foreign key to Dispositions.csv; owning Disposition deck.
universal,Primary_Missions.csv,3,Mission_Name,YES,AUTHORITATIVE,Visible Primary Mission name.
universal,Primary_Missions.csv,4,Sort_Order,YES,AUTHORITATIVE,Mission order within its Disposition deck.
universal,Primary_Mission_Matchups.csv,1,Matchup_ID,YES,AUTHORITATIVE,Stable key YOUR_DISPOSITION__VS__OPPONENT_DISPOSITION.
universal,Primary_Mission_Matchups.csv,2,Your_Disposition_ID,YES,AUTHORITATIVE,Foreign key to Dispositions.csv for the player Disposition.
universal,Primary_Mission_Matchups.csv,3,Opponent_Disposition_ID,YES,AUTHORITATIVE,Foreign key to Dispositions.csv for the opposing Disposition.
universal,Primary_Mission_Matchups.csv,4,Primary_Mission_ID,YES,AUTHORITATIVE,Foreign key to Primary_Missions.csv.
universal,Tag_Definitions.csv,1,Tag_ID,YES,AUTHORITATIVE,Stable unique Tag definition key.
universal,Tag_Definitions.csv,2,Display_Tag,YES,AUTHORITATIVE,"Exact visible Tag text shown in the application; weapon scope is carried by Category/Target, not an (M)/(R) suffix."
universal,Tag_Definitions.csv,3,Title,NO,AUTHORITATIVE,Human-readable Tag title.
universal,Tag_Definitions.csv,4,Category,YES,AUTHORITATIVE,"Picker/runtime category such as Unit Stats, Melee - Weapon Stats, Range - Weapon Rules, or Points."
universal,Tag_Definitions.csv,5,Affects,NO,AUTHORITATIVE,Human-readable scope summary.
universal,Tag_Definitions.csv,6,Description,NO,AUTHORITATIVE,User-facing explanation of the Tag effect.
universal,Tag_Definitions.csv,7,Editable,YES,AUTHORITATIVE,TRUE when the Tag can be selected/edited in roster UI.
universal,Tag_Definitions.csv,8,Effect_Type,NO,AUTHORITATIVE,"Structured effect family such as STAT, WEAPON_STAT, or POINTS_PER_MODEL. Blank is valid for informational Tags with no runtime effect."
universal,Tag_Definitions.csv,9,Target,NO,AUTHORITATIVE,"Structured scope such as UNIT, MELEE, or RANGE. Blank is valid for informational Tags with no runtime effect."
universal,Tag_Definitions.csv,10,Stat,NO,AUTHORITATIVE,"Structured characteristic such as M, W, A, S, AP, D, or PTS."
universal,Tag_Definitions.csv,11,Operation,NO,AUTHORITATIVE,"Structured operation such as ADD, IMPROVE, SET, or REMOVE. Blank is valid for informational Tags with no runtime effect."
universal,Tag_Definitions.csv,12,Value,NO,AUTHORITATIVE,Machine-readable effect value.
universal,Tag_Definitions.csv,13,Sort_Order,YES,AUTHORITATIVE,Canonical display order within the universal Tag library.
army,Abilities.csv,1,Ability_ID,YES,AUTHORITATIVE,Stable unique ability key.
army,Abilities.csv,2,Ability Name,YES,AUTHORITATIVE,Visible ability name.
army,Abilities.csv,3,Short_Description,NO,AUTHORITATIVE,
army,Abilities.csv,4,Long_Description,NO,AUTHORITATIVE,
army,Abilities.csv,5,Tags,NO,AUTHORITATIVE,Bracketed canonical Tags assigned to this ability.
army,Abilities.csv,6,Tag Categories,NO,AUTHORITATIVE,Bracketed category for each Tag; scope lives here rather than in (M)/(R) suffixes.
army,Abilities.csv,7,Order,YES,AUTHORITATIVE,Required canonical Ability sort order 0-9.
army,Abilities.csv,8,Default_Active,NO,AUTHORITATIVE,Optional current activation default (1/0/blank). Blank means unspecified.
army,Stratagems.csv,1,Stratagem_ID,YES,AUTHORITATIVE,Stable unique stratagem key.
army,Stratagems.csv,2,Detachment_ID,YES,AUTHORITATIVE,Foreign key to Detachment_Definitions.csv.
army,Stratagems.csv,3,Stratagem_Name,YES,AUTHORITATIVE,Visible stratagem name.
army,Stratagems.csv,4,CP_Cost,NO,AUTHORITATIVE,Command point cost.
army,Stratagems.csv,5,Short_Description,NO,AUTHORITATIVE,
army,Stratagems.csv,6,Long_Description,NO,AUTHORITATIVE,
army,Stratagems.csv,7,Tags,NO,AUTHORITATIVE,Bracketed canonical Tags assigned to this stratagem.
army,Stratagems.csv,8,Tag Categories,NO,AUTHORITATIVE,Bracketed category for each Tag; scope lives here rather than in (M)/(R) suffixes.
army,Stratagems.csv,9,Default_Active,NO,AUTHORITATIVE,Optional current activation default (1/0/blank). Blank means unspecified.
universal,Eligibility_Rules.csv,1,Rule_ID,YES,AUTHORITATIVE,Stable global eligibility rule key.
universal,Eligibility_Rules.csv,2,Item_Type,YES,AUTHORITATIVE,Target item category; matched generically against item type.
universal,Eligibility_Rules.csv,3,Required_Keywords,NO,AUTHORITATIVE,All listed Unit keywords are required.
universal,Eligibility_Rules.csv,4,Any_Keywords,NO,AUTHORITATIVE,At least one listed Unit keyword is required when populated.
universal,Eligibility_Rules.csv,5,Excluded_Keywords,NO,AUTHORITATIVE,Any listed Unit keyword makes the item category ineligible.
army,Detachment_Definitions.csv,14,Required_Keywords,NO,AUTHORITATIVE,All listed Unit keywords are required for this rule.
army,Detachment_Definitions.csv,15,Any_Keywords,NO,AUTHORITATIVE,At least one listed Unit keyword is required when populated.
army,Detachment_Definitions.csv,16,Excluded_Keywords,NO,AUTHORITATIVE,Any listed Unit keyword makes this rule ineligible.
army,Enhancements.csv,11,Required_Keywords,NO,AUTHORITATIVE,All listed Unit keywords are required for this Enhancement.
army,Enhancements.csv,12,Any_Keywords,NO,AUTHORITATIVE,At least one listed Unit keyword is required when populated.
army,Enhancements.csv,13,Excluded_Keywords,NO,AUTHORITATIVE,Any listed Unit keyword makes this Enhancement ineligible.
army,Army_Rules.csv,9,Required_Keywords,NO,AUTHORITATIVE,All listed Unit keywords are required for this rule.
army,Army_Rules.csv,10,Any_Keywords,NO,AUTHORITATIVE,At least one listed Unit keyword is required when populated.
army,Army_Rules.csv,11,Excluded_Keywords,NO,AUTHORITATIVE,Any listed Unit keyword makes this rule ineligible.
army,Stratagems.csv,10,Required_Keywords,NO,AUTHORITATIVE,All listed Unit keywords are required for this Stratagem.
army,Stratagems.csv,11,Any_Keywords,NO,AUTHORITATIVE,At least one listed Unit keyword is required when populated.
army,Stratagems.csv,12,Excluded_Keywords,NO,AUTHORITATIVE,Any listed Unit keyword makes this Stratagem ineligible.
