Ability_ID,Ability Name,Short_Description,Tiny_Description,Long_Description,Tags,Visibility_ID,Default_Active
BLADEGUARD,Bladeguard,Once per turn — FIGHT — select one — MELEE [+1 TO HIT] or attacks targeting UNIT [ENEMY -1 TO HIT].,Fight: Hit+1 or enemy Hit-1,"Bladeguard (Once per turn, per unit) — In the Fight phase, when this unit is selected to fight or when an enemy unit targets this unit, you can select one of the following — this unit’s melee attacks have +1 to hit rolls; or attacks that target this unit have -1 to hit rolls.",[MELEE] [WEAPONS] [ACTIVE] [+1 TO HIT] [ENEMY -1 TO HIT],2,
BLESSING_OF_THE_OMNISSIAH,Blessing of the Omnissiah,"In Command phase, select Vehicle within 3"". Regain D3 wounds and, +1 TO HIT. [+1 TO HIT]",Heal D3; attacks Hit +1,"In your Command phase, you can select one friendly Adeptus Astartes Vehicle model within 3"" of this model. 

That model regains up to D3 lost wounds and, until the start of your next Command phase, each time that Vehicle model makes an attack, add 1 to the Hit roll. 

Each model can only be selected for this ability once per turn.",[SHOOT] [MELEE] [WEAPONS] [+1 TO HIT],2,
BRAZIERS_OF_JUDGEMENT,Braziers of Judgement,"If being LEAD, -1 To be Hit [ENEMY -1 TO HIT]",While led - incoming Hit -1,"While a CHARACTER model is leading this unit, each time an attack targets this unit, subtract 1 from the Hit roll.","SHOOT, MELEE, [ENEMY -1 TO HIT]",2,
BRUTALIS_CHARGE,Brutalis Charge,Once per phase — Crushing Impact can target UNIT regardless of other uses; that use costs -1 CP and does not block other uses.,Crush Impact costs -1CP,"Once per phase, per unit — You can target this unit with the Crushing Impact stratagem, regardless of any other uses of that stratagem this phase. If you do, that use is -1 CP. That use does not prevent any uses of that stratagem on other units this phase.",,2,
CATECHISM_OF_FIRE,Catechism of Fire,SHOOTING — select visible enemy; RANGE attacks vs it [DEVASTATING WOUNDS].,Ranged: Dev Wounds,"In your Shooting phase, when this unit is selected to shoot, you can select one visible enemy unit. This unit’s ranged attacks that target that unit have [DEVASTATING WOUNDS].",[SHOOT] [WEAPONS] [ACTIVE] [DEVASTATING WOUNDS],2,
CEREBREX_LOGIC_ENGINE,Cerebrex Logic Engine,"BATTLE FORMATIONS\u003A 
INFANTRY  [SCOUTS 6""]",Infantry gains Scouts 6”,"In the Declare Battle Formations step, you can select one friendly ADEPTUS ASTARTES INFANTRY unit. That unit has Scouts 6"".",Scout 6”,2,1
CLOSE_QUARTERS_FIREPOWER,Close-quarters Firestorm,"Attacks vs enemy within 9"" — [+1 S].",Within 9” - attacks S +1,"This unit’s attacks that target an enemy unit within 9"" of this unit have +1 S.",[SHOOT] [MELEE] [WEAPONS] [ACTIVE] [+1 S],2,
COLD_AND_CALCULATING,Cold and Calculating,"MELEE or SHOOTING, choose\u003A
[LETHAL HITS vs MONSTER / VEHICLE] or [SUSTAINED HITS 1 non MONSTER / VEHICLE] 
TACTICAL\u003A Both effects",Lethal M/V or Sust. non-M/V,"In your Shooting phase or the Fight phase, when this unit is selected to attack, you can select one of the following for this unit’s attacks to have:
• [LETHAL HITS: MONSTER/VEHICLE].
• Or, [SUSTAINED HITS 1: non-MONSTER/VEHICLE].
• Or, if the tactical doctrine is active for this unit, [LETHAL HITS: MONSTER/VEHICLE] and [SUSTAINED HITS 1: non-MONSTER/VEHICLE].","SHOOT, MELEE",2,1
COMBAT_DISEMBARKATION,Combat Disembarkation,Disembark and Charge,Disembark and still charge,"Each time a unit disembarks from this model after it has been set up on the battlefield, that unit is still eligible to declare a charge this turn.",,2,
COMBAT_SUPPORT,Forward Assault Warsuit,BATTLE ROUND 1 start — mark enemy; attacks vs mark re-roll Wound rolls of 1; when destroyed select new mark.,Vs mark - re-roll Wound 1s,"At the start of the first battle round, you can select one enemy unit to be this unit’s mark. This unit’s attacks that target this unit’s mark can re-roll wound rolls of 1. Each time this unit’s mark is destroyed, select one enemy unit to be this unit’s mark.",[SHOOT] [MELEE] [WEAPONS] [ACTIVE] [RE-ROLL 1S TO WOUND],2,
COMMAND_SQUAD,Command Squad,Attacks targeting UNIT [-1 TO WOUND].,Incoming Wound -1,Attacks that target this unit have -1 to wound rolls.,"SHOOT, MELEE, [-1 TO WOUND]",2,
COMPOSITION_CH,Composition (CH),"1 Ancient, 1 Company Champion, 2 Company Veterans",,"The Ancient is equipped with: bolt pistol; bolt rifle; close combat weapon.

The Company Champion is equipped with: bolt pistol; master-crafted power weapon.

One Company Veteran is equipped with: bolt pistol; master-crafted heavy bolter; close combat weapon.

One Company Veteran is equipped with: bolt pistol; master-crafted bolt rifle; close combat weapon.",,2,
DARK_ANGELS_BODYGUARD,Dark Angels Bodyguard,"If within 3"" of INFANTRY then = Lone Operative (Cannot be targetted outside of 12""). [LONE OP]",Near Infantry - Lone Op,"While this model is within 3"" of one or more friendly ADEPTUS ASTARTES INFANTRY units, this model has the Lone Operative ability.","SHOOT, [LONE OP]",2,
DEATHWING,Deathwing,"Ignore BS/WS modifiers.
Oath Target: +1 TO HIT [+1 TO HIT] [+1 TO HIT]",Oath target - Hit +1,"Each time a model in this unit makes an attack, you can ignore any or all modifiers to that attack’s Ballistic Skill or Weapon Skill characteristics and/or to the Hit roll. 

In addition, each time a model in this unit makes an attack that targets the enemy unit you selected at the start of your Command phase for the Oath of Moment ability, add 1 to the Hit roll.",[ACTIVE] [SHOOT] [MELEE] [WEAPONS] [+1 TO HIT],2,0
DECIMATOR_PROTOCOLS,Decimator Protocols,"Range: RE-ROLL 1S TO HIT, if on an objective, RE-ROLL ALL HITS. [RE-ROLL 1S TO HIT] [RE-ROLL ALL HITS]",Ranged reroll; Obj = all,"Each time a model in this unit makes a ranged attack, re-roll a Hit roll of 1. If the target of that attack is an enemy unit within range of an objective marker, you can re-roll the Hit roll instead.","SHOOT, [RE-ROLL 1S TO HIT] [RE-ROLL ALL HITS]",2,
DESTRUCTOR,Destructor,+1 AP vs INFANTRY [+1 AP],Vs Infantry - ranged AP +1,"Each time this model makes a ranged attack that targets an INFANTRY unit, improve the Armour Penetration characteristic of that attack by 1.",[ACTIVE] [SHOOT] [WEAPONS] [+1 AP],2,0
DROP_POD_ASSAULT,Drop Pod Assault,"Starts in Strategic Reserves; first MOVEMENT can make ingress move; embarked units immediately disembark >8"" from enemies.",Reserves; Ingress+disembark,"This unit must start the battle in strategic reserves. In your first Movement phase, this unit can make an ingress move. When this unit is set up, all units embarked within this unit must make a disembark/assault disembark move, and those units must be set up more than 8"" away from all enemy units.",[INGRESS],2,
DUTY_ETERNAL,REDEMPTOR,Attacks vs UNIT -1 to Wound if Strength is higher.,Higher S attacks - Wound -1,Attacks that target this unit with a Strength greater than this unit’s Toughness have -1 to wound rolls.,,2,
ECHO_OF_THE_RAVENSPIRE,Echo of the Ravenspire,"END ENEMY FIGHT, if UNENGAGED → STRATEGIC RESERVES",Unengaged → Reserves,"At the end of your opponent’s Fight phase, if this unit is unengaged, you can place this unit in strategic reserves.",,2,1
COMBAT_EMBARKATION,Combat Embarkation,"Opponent CHARGE — targeted friendly unengaged ADEPTUS ASTARTES unit within 3"" can embark; enemy can select new charge targets.",Charge target can embark,"In your opponent’s Charge phase, when an enemy unit has selected charge targets, you can select one friendly unengaged ADEPTUS ASTARTES unit that was one of those charge targets and is eligible to embark within this TRANSPORT. If every model in that unit is within 3"" of this TRANSPORT, that unit can embark within this TRANSPORT. That enemy unit can then select new charge targets for that charge move.",,2,
ENMITY_FOR_THE_UNWORTHY,Enmity for the Unworthy,"IF being LEAD, +1 TO HIT vs CHARACTERS [+1 TO HIT] [+1 TO HIT]",Vs Character - Hit +1,"Each time a model in this unit makes an attack that targets a CHARACTER unit, add 1 to the Hit roll.",[ACTIVE] [SHOOT] [MELEE] [WEAPONS] [+1 TO HIT],2,0
EVADE_AND_SURVIVE,Evade and Survive,"OPPONENT MOVEMENT — Enemy ends a move within 8"" while unengaged → Normal Move D3+3"".",Reactive Move D3+3”,"Once per phase, per unit — In your opponent’s Movement phase, when an enemy unit ends a move within 8"" of this unit, if this unit is unengaged, this unit can make a Normal Move of up to D3+3"".",,2,
EXECUTIONER,Executioner,RANGE attacks vs unit not below half-strength — [+1 TO HIT].,Above half - ranged Hit +1,This unit’s ranged attacks that target a unit not below half-strength have +1 to hit rolls.,[SHOOT] [WEAPONS] [ACTIVE] [+1 TO HIT],2,
EXHORTATION_OF_RAGE,Exhortation of Rage,At/below half-strength — MELEE re-roll Wound rolls.,Half strength: reroll Wounds,"While this unit is at or below half-strength, this unit’s melee attacks can re-roll wound rolls.",[MELEE] [WEAPONS] [ACTIVE],2,
FEARSOME_ASSAULT,Fearsome Assault,FIGHT start — engaged enemy units take Battle-shock test at -1.,Engaged enemy B-shock -1,"At the start of the Fight phase, each enemy unit engaged with a unit with this ability makes a battle-shock roll, with -1 to that battle-shock roll.",,2,
FIGHTS_FIRST,Fights First,Enabled only if all models have Fight First. [FIGHTS FIRST],Fight First,"Units with this ability that are eligible to fight, do so in the Fight First step, provided that all models in the unit has that ability.","MELEE, [FIGHTS FIRST]",2,
FINEST_HOUR,"Finest Hour (Once per battle, per unit)",FIGHT: melee +3 A / DEVASTATING WOUNDS [+3 A] [DEVASTATING WOUNDS],Once/battle melee A +3 + Dev,"In the Fight phase, when this unit is selected to fight, you can use this ability. If you do, this model’s melee attacks have:
• +3 A.
• [DEVASTATING WOUNDS].",[ACTIVE] [MELEE] [WEAPONS] [+3 A] [DEVASTATING WOUNDS],2,0
FORGEFATHER,Forgefather,"SHOOTING: visible enemy within 24""
Friendly MELTA / TORRENT vs target: +2 S",Melta/Torrent S +2 vs target,"In your Shooting phase, select one visible enemy unit within 24"" of this model. Friendly ADEPTUS ASTARTES units’ [MELTA] / [TORRENT] attacks that target that enemy unit have +2 S.",SHOOT,2,1
FURY_OF_THE_FIRST,Fury of the First,"Attacks vs unit within 9"" — [+1 AP].",Within 9” - attacks AP +1,"This unit’s attacks that target a unit within 9"" of this unit have +1 AP.",[SHOOT] [MELEE] [WEAPONS] [ACTIVE] [+1 AP],2,
GRAND_MASTER_OF_THE_DEATHWING,Grand Master of the Deathwing,Leading = Unit Crits are PRECISION [PRECISION] [PRECISION],Crit Hits gain Precision,"While this model is leading a unit, each time a model in that unit makes an attack, if a Critical Hit is scored, that attack has the [PRECISION] ability.",[UNIT] [SHOOT] [MELEE] [WEAPONS] [PRECISION],2,
GRAPNEL_LAUNCHER,Grapnel Launchers,MOVEMENT — move through all model types; ignore vertical distance.,Move through models/vertical,"When this unit makes a move, it can move through all types of model and ignore all vertical distance for the purposes of how far this unit has moved.",,2,
FLEXIBLE_ASSET,Flexible Asset,ADVANCE/FALL BACK does not prevent UNIT from starting an action.,Advance/Fall Back can Action,"When this unit is selected to make an advance/fall-back move, that advance/fall-back move does not prevent this unit from being eligible to start an action.",,2,
GUILE_OF_THE_WOLF_AURA,Guile of the Wolf (Aura),"Enemy within 12"" +1 CP cost.",Enemy 12”: Stratagem +1CP,"Each time your opponent targets a unit from their army with a Stratagem, if that unit is within 12"" of this model, increase the cost of that Stratagem by 1CP.",,2,
HAILSTRIKE,Hailstrike,"SHOOTING — after UNIT shoots, select enemy hit; friendly ADEPTUS ASTARTES RANGE attacks vs it have [IGNORES COVER].",Hit: allies Ignore Cover,"In your Shooting phase, when this unit has shot, select one enemy unit hit by those attacks. Friendly ADEPTUS ASTARTES units’ ranged attacks that target that enemy unit have [IGNORES COVER].",[SHOOT] [ACTIVE],2,
HAMMER_OF_WRATH,Hammer of Wrath,CHARGE end — engaged enemy — each engaged model rolls D6; 4+ = 1 mortal wound.,Charge - 4+ = 1 MW/model,"When this unit ends a charge move, you can select one enemy unit engaged with this unit. For each model in this unit engaged with that enemy unit, roll one D6. On a 4+, that enemy unit suffers 1 mortal wound.",,2,
HAMMERSTRIKE,Hammerstrike,RANGE vs enemy within terrain area — [SUSTAINED HITS 1].,In terrain: Sustained 1,This unit’s ranged attacks that target an enemy unit within a terrain area have [SUSTAINED HITS 1].,[SHOOT] [WEAPONS] [ACTIVE] [SUSTAINED HITS 1],2,
HAYWIRE_MINE,Haywire Mine,"Once per battle — SHOOTING — visible enemy within 6""; 2+ = D3 mortal wounds, or 2D3 vs VEHICLE.",2+ = D3 MW; Vehicle 2D3,"Once per battle, per unit — In your Shooting phase, you can select one visible enemy unit within 6"" of this unit and roll one D6. On a 2+, that enemy unit suffers D3 mortal wounds, or 2D3 mortal wounds instead if it is a VEHICLE unit.",,2,
HELIX_GAUNTLET,Helix Gauntlet,COMMAND — heal UNIT D3 wounds.,Heal D3 wounds,"In your Command phase, this unit heals D3 wounds.",,2,
HIGH_KING_OF_FENRIS,High King of Fenris,ONCE. Bring one unit from Reserves one turn earlier.,Reserves count round +1,"Once per battle round, in your Movement phase, you can select one friendly SPACE WOLVES unit in Strategic Reserves. For the purpose of setting up that unit on the battlefield, treat the current battle round as one higher than it actually is.",,2,
HONOUR_OR_DEATH_CHAMPION,Honour or Death (Champion),"+1"" Adv & +1"" Charge
0 CP for Heroinc Intervention [+1 CHARGE] [HEROIC INTERVENTION 0CP]",Advance/Charge +1; HI 0CP,"Honour or Death (Ravenwing Command - Champion): While this unit contains a Ravenwing Champion, add 1 to Advance and Charge rolls made for this unit and you can target this unit with the Heroic Intervention Stratagem for 0CP.", [HEROIC INTERVENTION 0CP],2,
DRIVEN_FROM_COVER,Driven from Cover,SHOOTING — after UNIT shoots — select enemy hit; friendly ADEPTUS ASTARTES RANGE attacks vs it ignore cover.,Hit: allies Ignore Cover,"In your Shooting phase, when this unit has shot, select one enemy unit hit by those attacks. Friendly ADEPTUS ASTARTES units’ ranged attacks that target that enemy unit have [IGNORES COVER].",[SHOOT] [ACTIVE],2,
INFILTRATOR_COMMS_ARRAY,Infiltrator Comms Array,"Each time you target the bearer’s unit with a Stratagem, roll one D6: on a 5+, you gain 1CP. [GAIN 1 CP]",Stratagem - 5+ gain 1CP,"Each time you target the bearer’s unit with a Stratagem, roll one D6: on a 5+, you gain 1CP.",[GAIN 1 CP],2,
INFILTRATORS,Infiltrators,"During Deployment, setup anywhere 9"" away. [INFILTRATORS]",Deploy >9” from enemies,"During deployment, if every model in a unit has this ability, then when you set it up, it can be set up anywhere on the battlefield that is more than 9"" horizontally away from the enemy deployment zone and all enemy models.",[INFILTRATORS],2,
INNER_CIRCLE,Inner Circle,-1 Damage to Unit [INCOMING -1 D],Incoming Damage -1,"Each time an attack is allocated to a model in this unit, subtract 1 from the Damage characteristic of that attack.","SHOOT, MELEE, [INCOMING -1 D]",2,
IRON_FATHER,Iron Father,"Within 3"" of friendly ADEPTUS ASTARTES VEHICLE = LONE OPERATIVE. [LONE OP]",Near Vehicle - Lone Op,"While this model is within 3"" of a friendly ADEPTUS ASTARTES VEHICLE unit, this unit has Lone Operative.","SHOOT, [LONE OP]",2,0
KEEP_THE_BANNER_HIGH,Keep the Banner High,"UNIT
+1 TO HIT if below Strength
+1 TO WOUND if HALF Strength [+1 TO HIT] [+1 TO HIT] [+1 TO WOUND] [+1 TO WOUND]",Low strength - Hit/Wound +1,"While this model is leading a unit, each time a model in that unit makes an attack, add 1 to the Hit roll if that unit is below its Starting Strength, and add 1 to the Wound roll as well if that unit is Below Half-strength.","SHOOT, MELEE, [+1 TO HIT] [+1 TO HIT] [+1 TO WOUND] [+1 TO WOUND]",2,
LITANY_OF_HATE,Litany of Hate,MELEE [LANCE],Melee gains Lance,This unit’s melee attacks have [LANCE].,[MELEE] [WEAPONS] [LANCE],2,
LONE_OPERATIVE,Lone Operative,"Cannot be shot at if 12"" away. [LONE OP]",Ranged target ≤12”,"Cannot be shot at if 12"" away.","SHOOT, [LONE OP]",2,
REIGN_OF_CONFUSION,Reign of Confusion,"Once per turn: enemy Stratagem within 12"" costs +1CP.",Enemy 12”: Stratagem +1CP,"Once per turn, when your opponent targets a unit from their army within 12"" of this model with a Stratagem, this model can use this ability. If it does, increase the CP cost of that use of that Stratagem by 1CP.",,2,
LORD_OF_THE_PYROCLASTS,Lord of the Pyroclasts,Enemy ENGAGED with this unit: -1 OC,Engaged enemy OC -1,"While an enemy unit is engaged with this unit, that enemy unit has -1 OC.",,2,1
CHAMELEOLINE_CLOAKS,Chameleoline Cloaks,"UNIT has -3"" detection range.",Detection range -3”,"This unit has -3"" detection range.",,2,
MASTER_OF_SHADOWS,Master of Shadows,COMMAND: INFANTRY — RE-ROLL CHARGE until next COMMAND [RE-ROLL CHARGE],Infantry re-roll Charges,"In your Command phase, you can select one friendly ADEPTUS ASTARTES INFANTRY unit. You can re-roll charge rolls for that unit until the start of your next Command phase.",[RE-ROLL CHARGE],2,1
MASTER_OF_THE_FLEET,Master of the Fleet,"Deep Strike for one unit: PHOBOS, GRAVIS or TACTICUS ADEPTUS ASTARTES INFANTRY [DEEP STRIKE]",Infantry gains Deep Strike,"During the Declare Battle Formations step, if your army includes this model, select one PHOBOS, GRAVIS or TACTICUS ADEPTUS ASTARTES INFANTRY unit from your army. That unit gains the Deep Strike ability.",[DEEP STRIKE],2,
MASTER_OF_THE_FORGE,Master of the Forge,"Start / end of Movement: friendly VEHICLE within 3"" heals 3 and ignores BS / Hit / Wound modifiers until next Movement.",Heal 3; attacks ignore mods,"In your Movement phase, at the start or end of this unit’s move, you can select one friendly ADEPTUS ASTARTES VEHICLE model within 3"" of this model:
• That VEHICLE model heals 3 wounds.
• That VEHICLE model’s attacks can ignore modifiers to the following until the start of your next Movement phase:
• BS.
• Hit rolls and wound rolls.","SHOOT, MELEE",2,1
MASTER_OF_THE_HUNT,Master of the Hunt,Melee vs selected target: +1 AP [+1 AP],Melee target - AP +1,"Each time this model’s unit is selected to fight, you can select one enemy unit within Engagement Range of this model’s unit. Until the end of the phase, each time a model in this model’s unit makes a melee attack that targets that enemy unit, improve the Armour Penetration characteristic of that attack by 1.",[ACTIVE] [MELEE] [WEAPONS] [+1 AP],2,0
MASTER_CRAFTED_BOLTGUN_POWER_FIST_CAPTAIN,"Master-crafted boltgun,-,Power fist (Captain)","Rites of Battle,Finest Hour",,"6"",4,3+ / 4++,6,6,1",,2,
MATHAMMER_DEATHWING_KNIGHTS,Mathammer (Deathwing Knights),"With a Chaplain, after Saves:
- Any Terminator: 2 Damage.
- MEQ: 4 Damage.",,"With a Chaplain, after Saves:
- Any Terminator: 2 Damage.
- MEQ: 4 Damage.

Great weapon of the Unforgiven is better vs Invuls as it bypasses the Saves.",,2,
MENTAL_FORTRESS,Mental Fortress,This unit has a 4+ invulnerable save [INVULNERABLE SAVE 4+],Invulnerable save 4+,This unit has a 4+ invulnerable save.,"SHOOT, MELEE, [INVULNERABLE SAVE 4+]",2,
METEORIC_DESCENT,Meteoric Descent,INGRESS this turn — RANGE [+1 TO HIT].,Ingress: ranged Hit +1,"If this unit made an ingress move this turn, this unit’s ranged attacks have +1 to hit rolls.",[SHOOT] [WEAPONS] [ACTIVE] [+1 TO HIT],2,
DIVINATOR_CLASS_AUSPEXES,Divinator-class Auspexes,"Once per phase — SHOOTING — scan visible enemy within 18""; friendly ADEPTUS ASTARTES RANGE attacks vs it re-roll Hit rolls of 1.",Scanned: ranged reroll Hit1s,"Once per phase, per unit — In your Shooting phase, when a friendly ADEPTUS ASTARTES unit is selected to shoot, you can use this ability. If you do, select one visible enemy unit within 18"" of this unit. That unit is scanned. While a unit is scanned, ranged attacks that target that unit can re-roll hit rolls of 1.",[SHOOT] [ACTIVE],2,
NARTHECIUM_APOTHECARY,Narthecium (Apothecary),Bring back model,Return 1 destroyed model,"Narthecium (Ravenwing Command - Apothecary): While this unit contains a Ravenwing Apothecary, in your Command phase, you can return 1 destroyed model (excluding CHARACTER and INVADER ATV models) to this unit.",,2,
OMNI_SCRAMBLERS,Omni-scramblers,"SHOOTING — select visible enemy within 18"" — detected; while detected, UNIT has +3"" detection range.",Detected: range +3”,"In your Shooting phase, you can select one visible enemy unit within 18"" of this unit. That unit is detected. While a unit is detected, this unit has +3"" detection range.",,2,
OUTFLANK,Outflank,"If this model is not leading a unit, it can be placed into Strategic Reserves. [STRATEGIC RESERVES]",Start in Reserves,"During the Declare Battle Formations step, if this model is not leading a unit, it can be placed into Strategic Reserves.",[STRATEGIC RESERVES],2,
OUTRIDER_ESCORT,Outrider Escort,"Shoot back within 6""",Ally shot: shoot back,"Once per turn, in your opponent’s Shooting phase, when a friendly ADEPTUS ASTARTES MOUNTED unit within 6"" of this model is selected as the target of an attack, this model can use this ability. If it does, after that enemy unit has finished making its attacks, this model can shoot as if it were your Shooting phase, but when resolving those attacks it can only target that enemy unit (and only if it is an eligible target).",SHOOT,2,
OVERLAPPING_DESTRUCTION,Overlapping Destruction,SHOOTING — select enemy — Heavy Bolters vs it have [BLAST 1].,Heavy Bolters gain Blast 1,"In your Shooting phase, you can select one enemy unit. This unit’s Heavy Bolter weapons that target that enemy unit have [BLAST 1].",[SHOOT] [WEAPONS] [ACTIVE],2,
PRIMARCH_OF_THE_FIRST_LEGION,Primarch of the First Legion,"Primarch of the First Legion (choose TWO): 

- Mist-wreathed Shadow Realms: Go back to Reserves. 

- Martial Exemplar (Aura): MELEE, 6"" Rerolls 1s To Hit and 1s To Wound. 

- No Hiding From the Watchers (Aura): FNP 4+ vs Mortal Wounds",Pick 2 - Reserves/melee/FNP,"At the start of your Command phase, select two Primarch of the First Legion abilities. Until the start of your next Command phase, this model has those abilities:

- Mist-wreathed Shadow Realms: In your Command phase, if this unit is not within Engagement Range of one or more enemy units, you can remove it from the battlefield and place it into Strategic Reserves.

- Martial Exemplar (Aura): While a friendly ADEPTUS ASTARTES unit is within 6"" of this model , each time a model in that unit makes a MELEE attack, re-roll a Hit roll of 1 and re-roll a Wound roll of 1.

- No Hiding From the Watchers (Aura): While a friendly ADEPTUS ASTARTES unit is within 6"" of this model, models in that unit have the FNP 4+ ability against mortal wounds.","SHOOT, MELEE",2,
PRIORITY_OBJECTIVE_IDENTIFIED,Priority Target Identified,"COMMAND — Select visible terrain; enemies within it have +3"" detection range until end of turn.",Terrain: detect range +3”,"Once per battle, per unit — In your Command phase, you can use this ability. If you do, select one visible terrain feature. That terrain feature is Identified until the end of the turn. While an enemy unit is within an identified terrain feature, that enemy unit has +3"" detection range.",,2,
PSYCHIC_HOOD,Psychic Hood,FNP 4+ against psychic attacks.,FNP 4+ vs Psychic attacks,This unit has Feel No Pain 4+ against psychic attacks.,"SHOOT, MELEE",2,
PURGATION_RUN,Purgation Run,"After shooting: move up to D6""; cannot charge",After shooting - move D6”,"In your Shooting phase, after this unit has shot, it can make a Normal move of up to D6"". If it does, until the end of the turn, this unit is not eligible to declare a charge.",,2,
RAVENWING_COMMAND_SQUAD_WARGEAR,Ravenwing Command Squad - Wargear,"Champion, Apothecary & Ancient x3 Plasma Talons. 
Enhancements, if any, added to Champion.",,"UNIT COMPOSITION
1 Ravenwing Champion, 1 Ravenwing Apothecary, 1 Ravenwing Ancient. 

The Ravenwing Champion is equipped with: bolt pistol; plasma talon; master-crafted power weapon.

Every other model is equipped with: bolt pistol; plasma talon; Black Knight combat weapon.",,2,
REFUSE_TO_YIELD,Refuse to Yield,Attacks allocated to this model — -1 Damage [INCOMING -1 D],Incoming Damage -1,"Each time an attack is allocated to this model, subtract 1 from the Damage characteristic of that attack.","SHOOT, MELEE, [INCOMING -1 D]",2,1
RELIC_BANNER,Relic Banner,Add +1 Objective Control [+1 OC],+1 OC,This unit has +1 Objective Control.,[STATS] [+1 OC],2,
RELIC_SHIELD,Relic Shield,+1 W [+1 W],+1 W,This model has +1W.,[STATS] [+1 W],2,
RITES_OF_BATTLE,Rites of Battle,Once per battle round: reduce a Stratagem cost by 1CP,Once/round Stratagem -1CP,"Rites of Battle (Once per battle round, per army): When a Stratagem targets this unit, you can reduce its cost by 1CP for that use.",,2,
RITES_OF_TEMPERING,Rites of Tempering,Attacks S > this unit T: -1 TO WOUND,Higher S attacks - Wound -1,Attack Strength higher Toughness: -1 to Wound.,"SHOOT, MELEE",2,1
SCOUT_WARGEAR,Scout Wargear,"Range: x2 Astartes shotguns, x5 Bolt pistols, x1 Heavy bolter, x1 Scout sniper rifle.
x1 Astartes chainsword, x2 Close combat weapon, x2 Combat knife",,"Range: 
x2 Astartes shotguns 
x5 Bolt pistols 
x1 Heavy bolter 
x1 Scout sniper rifle

x1 Astartes chainsword (Scouts)
x2 Close combat weapon 
x2 Combat knife (Scouts)",,2,
SEEKER_OF_THE_UNFOUND,Seeker of the Unfound,"First setup: select 1 objective
Within range: OC 10 / LD 5+ / FNP 4+ [FNP 4+]",Chosen Obj: OC10 LD5+ FNP4+,"The first time this model is set up on the battlefield, select one objective on the battlefield. While this model is within range of that objective, this model has:
• 10 OC.
• 5+ Ld.
• FNP 4+.","SHOOT, MELEE, [FNP 4+]",2,0
