Loadout_Option_ID,Unit_ID,Option_Group_ID,Group_Label,Option_ID,Option_Name,Default,Sort_Order,Allocation_Mode,Allocation_Count,Max_Per_Unit,Points_Per_Model,Display_Section,Display_Order
REDEMPTOR_PLASMA__REDEMPTOR_MAIN_GUN__REDEMPTOR_MACRO_PLASMA,REDEMPTOR_PLASMA,REDEMPTOR_MAIN_GUN,Main Gun,REDEMPTOR_MACRO_PLASMA,Macro Plasma Incinerator,FALSE,2,UNIT,,,10,,
REDEMPTOR_PLASMA__REDEMPTOR_MAIN_GUN__REDEMPTOR_HEAVY_ONSLAUGHT,REDEMPTOR_PLASMA,REDEMPTOR_MAIN_GUN,Main Gun,REDEMPTOR_HEAVY_ONSLAUGHT,Heavy Onslaught Gatling Cannon,TRUE,1,UNIT,,,,,
INCEPTORS_PLASMA__INCEPTORS_LOADOUT__INCEPTORS_PLASMA_EXTERMINATORS,INCEPTORS_PLASMA,INCEPTORS_LOADOUT,Main Weapon,INCEPTORS_PLASMA_EXTERMINATORS,Plasma Exterminators,FALSE,2,UNIT,,,,,
INCEPTORS_PLASMA__INCEPTORS_LOADOUT__INCEPTORS_ASSAULT_BOLTERS,INCEPTORS_PLASMA,INCEPTORS_LOADOUT,Main Weapon,INCEPTORS_ASSAULT_BOLTERS,Assault Bolters,TRUE,1,UNIT,,,,,
TERMINATOR_ASSAULT_SQUAD__ASSAULT_TERMINATOR_LOADOUT__ASSAULT_TERMINATORS_CLAWS,TERMINATOR_ASSAULT_SQUAD,ASSAULT_TERMINATOR_LOADOUT,Weapon 1,ASSAULT_TERMINATORS_CLAWS,Twin Lightning Claws,TRUE,1,PER_MODEL,,,,,
TERMINATOR_ASSAULT_SQUAD__ASSAULT_TERMINATOR_LOADOUT__ASSAULT_TERMINATORS_HAMMER,TERMINATOR_ASSAULT_SQUAD,ASSAULT_TERMINATOR_LOADOUT,Weapon 1,ASSAULT_TERMINATORS_HAMMER,Thunder Hammer + Storm Shield,FALSE,2,PER_MODEL,,,5,,
INTERCESSORS__SERGEANT_MELEE__KNIVES_AND_FISTS,INTERCESSORS,SERGEANT_MELEE,Sergeant Melee,KNIVES_AND_FISTS,Knives and Fists,TRUE,1,UNIT,,,,,
INTERCESSORS__SERGEANT_MELEE__CHAINSWORD,INTERCESSORS,SERGEANT_MELEE,Sergeant Melee,CHAINSWORD,Chainsword,FALSE,2,UNIT,,,,,
INTERCESSORS__SERGEANT_MELEE__POWER_FIST,INTERCESSORS,SERGEANT_MELEE,Sergeant Melee,POWER_FIST,Power Fist,FALSE,3,UNIT,,,,,
INTERCESSORS__SERGEANT_MELEE__POWER_WEAPON,INTERCESSORS,SERGEANT_MELEE,Sergeant Melee,POWER_WEAPON,Power Weapon,FALSE,4,UNIT,,,,,
INTERCESSORS__SERGEANT_MELEE__THUNDER_HAMMER,INTERCESSORS,SERGEANT_MELEE,Sergeant Melee,THUNDER_HAMMER,Thunder Hammer,FALSE,5,UNIT,,,,,
INTERCESSORS__SERGEANT_RIFLE__BOLT_RIFLE,INTERCESSORS,SERGEANT_RIFLE,Sergeant Rifle,BOLT_RIFLE,Bolt Rifle,TRUE,1,UNIT,,,,,
INTERCESSORS__SERGEANT_RIFLE__CHAINSWORD,INTERCESSORS,SERGEANT_RIFLE,Sergeant Rifle,CHAINSWORD,Chainsword,FALSE,2,UNIT,,,,,
INTERCESSORS__SERGEANT_RIFLE__HAND_FLAMER,INTERCESSORS,SERGEANT_RIFLE,Sergeant Rifle,HAND_FLAMER,Hand Flamer,FALSE,3,UNIT,,,,,
INTERCESSORS__SERGEANT_RIFLE__PLASMA_PISTOL,INTERCESSORS,SERGEANT_RIFLE,Sergeant Rifle,PLASMA_PISTOL,Plasma Pistol,FALSE,4,UNIT,,,,,
INTERCESSORS__SERGEANT_RIFLE__POWER_WEAPON,INTERCESSORS,SERGEANT_RIFLE,Sergeant Rifle,POWER_WEAPON,Power Weapon,FALSE,5,UNIT,,,,,
VICTRIX_HONOUR_GUARD__CHAPTER_ANCIENT__NONE,VICTRIX_HONOUR_GUARD,CHAPTER_ANCIENT,Chapter Ancient,NONE,0 Chapter Ancient,TRUE,1,UNIT,,1,,,
VICTRIX_HONOUR_GUARD__CHAPTER_ANCIENT__ANCIENT,VICTRIX_HONOUR_GUARD,CHAPTER_ANCIENT,Chapter Ancient,ANCIENT,1 Chapter Ancient,FALSE,2,UNIT,,1,,,
VICTRIX_HONOUR_GUARD__CHAPTER_CHAMPION__NONE,VICTRIX_HONOUR_GUARD,CHAPTER_CHAMPION,Chapter Champion,NONE,0 Chapter Champion,TRUE,1,UNIT,,1,,,
VICTRIX_HONOUR_GUARD__CHAPTER_CHAMPION__CHAMPION,VICTRIX_HONOUR_GUARD,CHAPTER_CHAMPION,Chapter Champion,CHAMPION,1 Chapter Champion,FALSE,2,UNIT,,1,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_RANGED__CAPTAIN_RANGED_DEFAULT,CAPTAIN_FIST_PLASMA,CAPTAIN_RANGED,Ranged Weapon,CAPTAIN_RANGED_DEFAULT,Heavy Bolt Pistol + Master-crafted Bolter,TRUE,1,UNIT,,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_RANGED__CAPTAIN_RANGED_VOLKITE,CAPTAIN_FIST_PLASMA,CAPTAIN_RANGED,Ranged Weapon,CAPTAIN_RANGED_VOLKITE,Neo-volkite Pistol,FALSE,2,UNIT,,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_RANGED__CAPTAIN_RANGED_PLASMA,CAPTAIN_FIST_PLASMA,CAPTAIN_RANGED,Ranged Weapon,CAPTAIN_RANGED_PLASMA,Plasma Pistol,FALSE,3,UNIT,,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_RANGED__CAPTAIN_RANGED_SHIELD,CAPTAIN_FIST_PLASMA,CAPTAIN_RANGED,Ranged Weapon,CAPTAIN_RANGED_SHIELD,Heavy Bolt Pistol + Relic Shield,FALSE,4,UNIT,,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_MELEE__CAPTAIN_MELEE_POWER_WEAPON,CAPTAIN_FIST_PLASMA,CAPTAIN_MELEE,Melee Weapon,CAPTAIN_MELEE_POWER_WEAPON,Master-crafted Power Weapon,TRUE,1,UNIT,,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_MELEE__CAPTAIN_MELEE_POWER_FIST,CAPTAIN_FIST_PLASMA,CAPTAIN_MELEE,Melee Weapon,CAPTAIN_MELEE_POWER_FIST,Power Fist,FALSE,2,UNIT,,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_RANGED__CAPTAIN_JUMP_SHIELD,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,Ranged Weapon,CAPTAIN_JUMP_SHIELD,Relic Shield,FALSE,4,,,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_MELEE__CAPTAIN_JUMP_THUNDER_HAMMER,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_MELEE,Melee Weapon,CAPTAIN_JUMP_THUNDER_HAMMER,Thunder Hammer,FALSE,4,,,,,,
CAPTAIN_ON_BIKE__COB_RANGED__COB_HBP,CAPTAIN_ON_BIKE,COB_RANGED,Ranged Weapon,COB_HBP,Heavy Bolt Pistol,TRUE,1,UNIT,,,,,
CAPTAIN_ON_BIKE__COB_RANGED__COB_PLASMA,CAPTAIN_ON_BIKE,COB_RANGED,Ranged Weapon,COB_PLASMA,Plasma Pistol,FALSE,2,UNIT,,,,,
CAPTAIN_ON_BIKE__COB_MELEE__COB_POWER_WEAPON,CAPTAIN_ON_BIKE,COB_MELEE,Melee Weapon,COB_POWER_WEAPON,Master-crafted Power Weapon,TRUE,1,UNIT,,,,,
CAPTAIN_ON_BIKE__COB_MELEE__COB_THUNDER_HAMMER,CAPTAIN_ON_BIKE,COB_MELEE,Melee Weapon,COB_THUNDER_HAMMER,Thunder Hammer,FALSE,2,UNIT,,,,,
LIEUTENANT__LT_PISTOL__LT_PISTOL_BOLT,LIEUTENANT,LT_PISTOL,Pistol,LT_PISTOL_BOLT,Bolt Pistol,TRUE,1,UNIT,,,,,
LIEUTENANT__LT_PISTOL__LT_PISTOL_HEAVY,LIEUTENANT,LT_PISTOL,Pistol,LT_PISTOL_HEAVY,Heavy Bolt Pistol,FALSE,2,UNIT,,,,,
LIEUTENANT__LT_PISTOL__LT_PISTOL_VOLKITE,LIEUTENANT,LT_PISTOL,Pistol,LT_PISTOL_VOLKITE,Neo-volkite Pistol,FALSE,3,UNIT,,,,,
LIEUTENANT__LT_BOLTER_SLOT__LT_BOLTER,LIEUTENANT,LT_BOLTER_SLOT,Master-crafted Bolter Slot,LT_BOLTER,Master-crafted Bolter,TRUE,1,UNIT,,,,,
LIEUTENANT__LT_BOLTER_SLOT__LT_BOLTER_POWER,LIEUTENANT,LT_BOLTER_SLOT,Master-crafted Bolter Slot,LT_BOLTER_POWER,Master-crafted Power Weapon,FALSE,2,UNIT,,,,,
LIEUTENANT__LT_BOLTER_SLOT__LT_BOLTER_PLASMA,LIEUTENANT,LT_BOLTER_SLOT,Master-crafted Bolter Slot,LT_BOLTER_PLASMA,Plasma Pistol,FALSE,3,UNIT,,,,,
LIEUTENANT__LT_BOLTER_SLOT__LT_BOLTER_FIST,LIEUTENANT,LT_BOLTER_SLOT,Master-crafted Bolter Slot,LT_BOLTER_FIST,Power Fist,FALSE,4,UNIT,,,,,
LIEUTENANT__LT_MELEE_SLOT__LT_MELEE_CERAMITE,LIEUTENANT,LT_MELEE_SLOT,Ceramite Fists Slot,LT_MELEE_CERAMITE,Ceramite Fists,TRUE,1,UNIT,,,,,
LIEUTENANT__LT_MELEE_SLOT__LT_MELEE_POWER,LIEUTENANT,LT_MELEE_SLOT,Ceramite Fists Slot,LT_MELEE_POWER,Master-crafted Power Weapon,FALSE,2,UNIT,,,,,
LIEUTENANT__LT_MELEE_SLOT__LT_MELEE_FIST,LIEUTENANT,LT_MELEE_SLOT,Ceramite Fists Slot,LT_MELEE_FIST,Power Fist,FALSE,3,UNIT,,,,,
LIEUTENANT__LT_SHIELD__LT_SHIELD_NONE,LIEUTENANT,LT_SHIELD,Storm Shield,LT_SHIELD_NONE,None,TRUE,1,UNIT,,,,,
LIEUTENANT__LT_SHIELD__LT_SHIELD_STORM,LIEUTENANT,LT_SHIELD,Storm Shield,LT_SHIELD_STORM,Storm Shield,FALSE,2,UNIT,,,,,
LIEUTENANT_IN_PHOBOS_ARMOUR__PHOBOS_RANGED__PHOBOS_PISTOL,LIEUTENANT_IN_PHOBOS_ARMOUR,PHOBOS_RANGED,Ranged Weapon,PHOBOS_PISTOL,Special-issue Bolt Pistol,TRUE,1,UNIT,,,,,
LIEUTENANT_IN_PHOBOS_ARMOUR__PHOBOS_RANGED__PHOBOS_CARBINE,LIEUTENANT_IN_PHOBOS_ARMOUR,PHOBOS_RANGED,Ranged Weapon,PHOBOS_CARBINE,Master-crafted Bolt Carbine,FALSE,2,UNIT,,,,,
CHAPLAIN_IN_TERMINATOR_ARMOUR__TERM_CHAPLAIN_RANGED__STORM_BOLTER,CHAPLAIN_IN_TERMINATOR_ARMOUR,TERM_CHAPLAIN_RANGED,Ranged Wargear,STORM_BOLTER,Storm Bolter,TRUE,1,UNIT,,,,,
CHAPLAIN_IN_TERMINATOR_ARMOUR__TERM_CHAPLAIN_RANGED__RELIC_SHIELD,CHAPLAIN_IN_TERMINATOR_ARMOUR,TERM_CHAPLAIN_RANGED,Ranged Wargear,RELIC_SHIELD,Relic Shield,FALSE,2,UNIT,,,,,
ANCIENT__ANCIENT_WARGEAR__BOLT_RIFLE,ANCIENT,ANCIENT_WARGEAR,Bolt Rifle Slot,BOLT_RIFLE,Bolt Rifle,TRUE,1,UNIT,,,,,
ANCIENT__ANCIENT_WARGEAR__POWER_WEAPON,ANCIENT,ANCIENT_WARGEAR,Bolt Rifle Slot,POWER_WEAPON,Power Weapon,FALSE,2,UNIT,,,,,
ASSAULT_INTERCESSORS__SERGEANT_RANGED__HBP,ASSAULT_INTERCESSORS,SERGEANT_RANGED,Sergeant Ranged,HBP,Heavy Bolt Pistol,TRUE,1,UNIT,,,,,
ASSAULT_INTERCESSORS__SERGEANT_RANGED__HAND_FLAMER,ASSAULT_INTERCESSORS,SERGEANT_RANGED,Sergeant Ranged,HAND_FLAMER,Hand Flamer,FALSE,2,UNIT,,,,,
ASSAULT_INTERCESSORS__SERGEANT_RANGED__PLASMA,ASSAULT_INTERCESSORS,SERGEANT_RANGED,Sergeant Ranged,PLASMA,Plasma Pistol,FALSE,3,UNIT,,,,,
ASSAULT_INTERCESSORS__SERGEANT_MELEE__CHAIN,ASSAULT_INTERCESSORS,SERGEANT_MELEE,Sergeant Melee,CHAIN,Chainsword,TRUE,1,UNIT,,,,,
ASSAULT_INTERCESSORS__SERGEANT_MELEE__POWER_FIST,ASSAULT_INTERCESSORS,SERGEANT_MELEE,Sergeant Melee,POWER_FIST,Power Fist,FALSE,2,UNIT,,,,,
ASSAULT_INTERCESSORS__SERGEANT_MELEE__POWER_WEAPON,ASSAULT_INTERCESSORS,SERGEANT_MELEE,Sergeant Melee,POWER_WEAPON,Power Weapon,FALSE,3,UNIT,,,,,
ASSAULT_INTERCESSORS__SERGEANT_MELEE__THUNDER_HAMMER,ASSAULT_INTERCESSORS,SERGEANT_MELEE,Sergeant Melee,THUNDER_HAMMER,Thunder Hammer,FALSE,4,UNIT,,,,,
JUMP_INTERCESSORS__SQUAD_PLASMA__NONE,ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,SQUAD_PLASMA,Assault Intercessors with Jump Packs,NONE,Heavy Bolt Pistols,TRUE,1,UNIT,,,,,
JUMP_INTERCESSORS__SQUAD_PLASMA__PLASMA,ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,SQUAD_PLASMA,Assault Intercessors with Jump Packs,PLASMA,Plasma Pistol (1 per 5 models),FALSE,2,UNIT,,,,,
JUMP_INTERCESSORS__SERGEANT_RANGED__HBP,ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,SERGEANT_RANGED,Sergeant Ranged,HBP,Heavy Bolt Pistol,TRUE,1,UNIT,,,,,
JUMP_INTERCESSORS__SERGEANT_RANGED__HAND_FLAMER,ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,SERGEANT_RANGED,Sergeant Ranged,HAND_FLAMER,Hand Flamer,FALSE,2,UNIT,,,,,
JUMP_INTERCESSORS__SERGEANT_RANGED__PLASMA,ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,SERGEANT_RANGED,Sergeant Ranged,PLASMA,Plasma Pistol,FALSE,3,UNIT,,,,,
JUMP_INTERCESSORS__SERGEANT_MELEE__CHAIN,ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,SERGEANT_MELEE,Sergeant Melee,CHAIN,Chainsword,TRUE,1,UNIT,,,,,
JUMP_INTERCESSORS__SERGEANT_MELEE__POWER_FIST,ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,SERGEANT_MELEE,Sergeant Melee,POWER_FIST,Power Fist,FALSE,2,UNIT,,,,,
JUMP_INTERCESSORS__SERGEANT_MELEE__POWER_WEAPON,ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,SERGEANT_MELEE,Sergeant Melee,POWER_WEAPON,Power Weapon,FALSE,3,UNIT,,,,,
HEAVY_INTERCESSORS__HEAVY_WEAPON__NONE,HEAVY_INTERCESSORS,HEAVY_WEAPON,Heavy Intercessors,NONE,Heavy Bolt Rifles,TRUE,1,UNIT,,,,,
HEAVY_INTERCESSORS__HEAVY_WEAPON__HEAVY_BOLTER,HEAVY_INTERCESSORS,HEAVY_WEAPON,Heavy Intercessors,HEAVY_BOLTER,Heavy Bolter (1 per 5 models),FALSE,2,UNIT,,,,,
HELLBLASTERS__SERGEANT_PISTOL__BOLT,HELLBLASTER_SQUAD,SERGEANT_PISTOL,Sergeant Pistol,BOLT,Bolt Pistol,TRUE,1,UNIT,,,,,
HELLBLASTERS__SERGEANT_PISTOL__PLASMA,HELLBLASTER_SQUAD,SERGEANT_PISTOL,Sergeant Pistol,PLASMA,Plasma Pistol,FALSE,2,UNIT,,,,,
DESOLATION__ROCKET_TYPE__SUPERFRAG,DESOLATION_SQUAD,ROCKET_TYPE,Rocket Launcher,SUPERFRAG,Superfrag Rocket Launcher,TRUE,1,UNIT,,,,,
DESOLATION__ROCKET_TYPE__SUPERKRAK,DESOLATION_SQUAD,ROCKET_TYPE,Rocket Launcher,SUPERKRAK,Superkrak Rocket Launcher,FALSE,2,UNIT,,,,,
DESOLATION__SERGEANT_LAUNCHER__STANDARD,DESOLATION_SQUAD,SERGEANT_LAUNCHER,Sergeant Launcher,STANDARD,Standard Rocket Launcher,TRUE,1,UNIT,,,,,
DESOLATION__SERGEANT_LAUNCHER__VENGOR,DESOLATION_SQUAD,SERGEANT_LAUNCHER,Sergeant Launcher,VENGOR,Vengor Launcher,FALSE,2,UNIT,,,,,
INFILTRATORS__HELIX__NONE,INFILTRATORS,HELIX_GAUNTLET,Helix Gauntlet,NONE,No Helix Gauntlet,TRUE,1,UNIT,,1,,,
