Unit_ID,Unit Name,"M""",T,SV,W,LD,OC,Keywords,Hyperlink
LIEUTENANT_WITH_COMBI_WEAPON,Lieutenant with Combi-weapon,"6""",4,3+,4,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, PHOBOS, LIEUTENANT, LIEUTENANT WITH COMBI-WEAPON",https://wahapedia.ru/wh40k11ed/factions/space-marines/Lieutenant-with-Combi-weapon
LIEUTENANT_FIST_PLASMA,Lieutenant,"6""",4,3+,4,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, TACTICUS, LIEUTENANT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Lieutenant
LIEUTENANT_SWORD_AND_SHIELD,Lieutenant (Shield),"6""",4,3+ / 4++,4,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, TACTICUS, LIEUTENANT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Lieutenant
LIEUTENANT_IN_PHOBOS_ARMOUR,Lieutenant in Phobos Armour,"6""",4,3+,4,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, PHOBOS, LIEUTENANT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Lieutenant-In-Phobos-Armour
LIEUTENANT_IN_REIVER_ARMOUR,Lieutenant in Reiver Armour,"6""",4,3+,4,6+,1,"INFANTRY, CHARACTER, SMOKE, GRENADES, IMPERIUM, PHOBOS, LIEUTENANT, LIEUTENANT IN REIVER ARMOUR",https://wahapedia.ru/wh40k11ed/factions/space-marines/Lieutenant-In-Reiver-Armour
LION_ELJONSON,Lion El’Jonson,"8""",9,2+ / 3++,10,5,4,"MONSTER, CHARACTER, EPIC HERO, IMPERIUM, PRIMARCH, LION EL’JONSON, MOBILE",https://wahapedia.ru/wh40k11ed/factions/space-marines/Lion-El-jonson
OUTRIDER_SQUAD,Outriders,"12""",5,3+,4,6,2,"MOUNTED, GRENADES, IMPERIUM, OUTRIDER SQUAD, RAVENWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Outrider-Squad
PREDATOR_DESTRUCTOR,Predator Destructor,"10""",10,3+,11,6,3,"VEHICLE, SMOKE, IMPERIUM, PREDATOR DESTRUCTOR, FRAME",https://wahapedia.ru/wh40k11ed/factions/space-marines/Predator-Destructor
RAVENWING_COMMAND_SQUAD,Ravenwing Command,"12""",5,3+ / 5++,4,6+,2,"MOUNTED, GRENADES, IMPERIUM, RAVENWING, RAVENWING COMMAND SQUAD, CHARACTER",https://wahapedia.ru/wh40k11ed/factions/space-marines/Ravenwing-Command-Squad
REDEMPTOR_PLASMA,Redemptor,"8""",10,2+,12,6,4,"VEHICLE, WALKER, IMPERIUM, DREADNOUGHT, REDEMPTOR DREADNOUGHT, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Redemptor-Dreadnought
REIVERS,Reivers,"6""",4,3+,2,6,1,"INFANTRY, GRENADES, SMOKE, IMPERIUM, PHOBOS, REIVER SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Reiver-Squad
REPULSOR,Repulsor,"10""",12,3+,16,6,5,"VEHICLE, SMOKE, TRANSPORT, IMPERIUM, REPULSOR, DEATHWING, FRAME",https://wahapedia.ru/wh40k11ed/factions/space-marines/Repulsor
REPULSOR_EXECUTIONER,Repulsor Executioner,"10""",12,3+,16,6,5,"VEHICLE, SMOKE, TRANSPORT, IMPERIUM, REPULSOR EXECUTIONER, DEATHWING, FRAME",https://wahapedia.ru/wh40k11ed/factions/space-marines/Repulsor-Executioner
RHINO,Rhino,"12""",9,3+,10,6,2,"VEHICLE, SMOKE, TRANSPORT, DEDICATED TRANSPORT, IMPERIUM, RHINO, FRAME",https://wahapedia.ru/wh40k11ed/factions/space-marines/Rhino
SCOUTS,Scouts,"6""",4,4+,2,6,1,"INFANTRY, GRENADES, SMOKE, IMPERIUM, SCOUT SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Scout-Squad
STERNGUARD_VETS,Sternguard Vets,"6""",4,3+,2,6,1,"INFANTRY, GRENADES, IMPERIUM, TACTICUS, STERNGUARD VETERAN SQUAD, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Sternguard-Veteran-Squad
STORM_SPEEDER_HAILSTRIKE,Storm Speeder Hailstrike,"14""",9,3+,11,6,3,"VEHICLE, FLY, IMPERIUM, STORM SPEEDER HAILSTRIKE, FRAME, RAVENWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Storm-Speeder-Hailstrike
STORM_SPEEDER_HAMMERSTRIKE,Storm Speeder Hammerstrike,"14""",9,3+,11,6,3,"VEHICLE, FLY, IMPERIUM, STORM SPEEDER HAMMERSTRIKE, FRAME, RAVENWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Storm-Speeder-Hammerstrike
STORM_SPEEDER_THUNDERSTRIKE,Storm Speeder Thunderstrike,"14""",9,3+,11,6,3,"VEHICLE, FLY, IMPERIUM, STORM SPEEDER THUNDERSTRIKE, FRAME, RAVENWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Storm-Speeder-Thunderstrike
SUBODEN_KHAN,Suboden Khan,"12""",5,3+ / 4++,8,6,2,"MOUNTED, CHARACTER, EPIC HERO, IMPERIUM, GRENADES, CAPTAIN, SUBODEN KHAN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Suboden-Khan
SUPPRESSOR_SQUAD,Suppressors,"12""",4,3+,2,6,1,"INFANTRY, GRENADES, SMOKE, JUMP PACK, FLY, IMPERIUM, SUPPRESSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Suppressor-Squad
TECHMARINE,Techmarine,"6""",4,2+,4,6,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, TACTICUS, TECHMARINE",https://wahapedia.ru/wh40k11ed/factions/space-marines/Techmarine
TERMINATOR_ASSAULT_SQUAD,Assault Terminators,"5""",5,2+ / 4++,3,6,1,"INFANTRY, IMPERIUM, TERMINATORS, TERMINATOR ASSAULT SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Terminator-Assault-Squad
TERMINATOR_SQUAD,Terminators,"5""",5,2+ / 4++,3,6,1,"INFANTRY, IMPERIUM, TERMINATOR, TERMINATOR SQUAD, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Terminator-Squad
URIEL_VENTRIS,Uriel Ventris,"6""",4,3+ / 4++,5,6,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, TACTICUS, CAPTAIN, URIEL VENTRIS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Uriel-Ventris
VANGUARD_VETERAN_SQUAD_WITH_JUMP_PACKS,Vanguard Vets with Jump Packs,"12""",4,3+ / 4++,2,6,1,"INFANTRY, GRENADES, JUMP PACK, FLY, IMPERIUM, VANGUARD VETERAN SQUAD, VANGUARD VETERAN SQUAD WITH JUMP PACKS, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Vanguard-Veteran-Squad-With-Jump-Packs
VICTRIX_HONOUR_GUARD,Victrix Honour Guard,"6""",4,2+,3,6,2,"INFANTRY, IMPERIUM, TACTICUS, VICTRIX HONOUR GUARD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Victrix-Honour-Guard
VICTRIX_HONOUR_GUARD_ANCIENT,Victrix with Ancient,"6""",4,2+,3,6,2,"INFANTRY, IMPERIUM, TACTICUS, VICTRIX HONOUR GUARD, EPIC HERO, ANCIENT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Victrix-Honour-Guard
VICTRIX_HONOUR_GUARD_CHAMPION,Victrix with Champion,"6""",4,2+,3,6,2,"INFANTRY, IMPERIUM, TACTICUS, VICTRIX HONOUR GUARD, EPIC HERO, CHAMPION",https://wahapedia.ru/wh40k11ed/factions/space-marines/Victrix-Honour-Guard
VICTRIX_HONOUR_GUARD_CHAMPION_ANCIENT,Victrix with Champion & Ancient,"6""",4,2+,3,6,2,"INFANTRY, IMPERIUM, TACTICUS, VICTRIX HONOUR GUARD, EPIC HERO, ANCIENT, CHAMPION",https://wahapedia.ru/wh40k11ed/factions/space-marines/Victrix-Honour-Guard
VULKAN_HESTAN,Vulkan He’stan,"6""",4,2+ / 4++,5,6,1,"INFANTRY, CHARACTER, EPIC HERO, GRENADES, IMPERIUM, CAPTAIN, VULKAN HE’STAN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Vulkan-He-stan
drop_pod,Drop Pod,-,7,3+,8,6+,0,"VEHICLE, TRANSPORT, DEDICATED TRANSPORT, IMPERIUM, FRAME, DROP POD",https://www.wahapedia.ru/wh40k11ed/factions/space-marines/Drop-Pod
apothecary,Apothecary,"6""",4,3+,4,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, TACTICUS, APOTHECARY",https://www.wahapedia.ru/wh40k11ed/factions/space-marines/Apothecary
apothecary_biologis,Apothecary Biologis,"5""",6,3+,5,6+,3,"INFANTRY, CHARACTER, IMPERIUM, GRAVIS, APOTHECARY, BIOLOGIS",https://www.wahapedia.ru/wh40k11ed/factions/space-marines/Apothecary-Biologis
