Unit_ID,Unit Name,Ability_IDs,Core_Ability_IDs,Weapon_IDs,"M""",T,SV,W,LD,OC,Keywords,Hyperlink,Points_Label_1,Points_Cost_1,Points_Label_2,Points_Cost_2,Points_Label_3,Points_Cost_3,Points_Label_4,Points_Cost_4
BLADEGUARD_VETS,Bladeguard Vets,BLADEGUARD,,"HEAVY_BOLT_PISTOL, MASTER_CRAFTED_POWER_WEAPON_BLADEGUARD, PLASMA_PISTOL_STANDARD_TROOPS, PLASMA_PISTOL_SUPERCHARGE_TROOPS","6""",4,3+ / 4++,3,6,1,"INFANTRY, GRENADES, IMPERIUM, TACTICUS, BLADEGUARD VETERAN SQUAD, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Bladeguard-Veteran-Squad,x3,80,x6,160,,,,
BRUTALIS,Brutalis,BRUTALIS_CHARGE,DEADLY_DEMISE_D3,"TWIN_MULTI_MELTA, TWIN_IRONHAIL_HEAVY_STUBBER, BRUTALIS_TALONS_STRIKE, BRUTALIS_TALONS_SWEEP","8""",10,2+,12,6,4,"VEHICLE, WALKER, IMPERIUM, DREADNOUGHT, BRUTALIS DREADNOUGHT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Brutalis-Dreadnought-UL,,150,,,,,,
CAANOK_VAR,Caanok Var,"COLD_AND_CALCULATING, CEREBREX_LOGIC_ENGINE, CAANOK_HAMMER","FEEL_NO_PAIN_5, DEEP_STRIKE","STORM_BOLTER_LEADERS, AXIOM_STRIKE, AXIOM_SWEEP","5""",5,2+ / 4++,6,6,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, TERMINATOR, CAPTAIN, CAANOK VAR",https://wahapedia.ru/wh40k11ed/factions/space-marines/Caanok-Var,,90,,,,,,
CALLIDUS_ASSASSIN,Callidus Assassin,"ACROBATIC_ESCAPE, REIGN_OF_CONFUSION","LONE_OPERATIVE, FIGHTS_FIRST, DEEP_STRIKE, INFILTRATORS","NEURAL_SHREDDER, PHASE_SWORD_AND_POISON_BLADES","7""",4,6+ / 4++,4,6,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, OFFICIO ASSASSINORUM, CALLIDUS ASSASSIN",https://wahapedia.ru/wh40k11ed/factions/imperial-agents/Callidus-Assassin,,100,,,,,,
CAPTAIN_FIST_PLASMA,Captain (Fist & Plasma),"RITES_OF_BATTLE, FINEST_HOUR, LEADER_CAPTAIN",,"PLASMA_PISTOL_STANDARD_LEADER, PLASMA_PISTOL_SUPERCHARGE_LEADER, POWER_FIST_CAPTAIN","6""",4,3+ / 4++,5,6,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, TACTICUS, CAPTAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain,,80,,,,,,
CAPTAIN_SWORD_SHIELD,Captain (Sword & Shield),"RITES_OF_BATTLE, FINEST_HOUR, RELIC_SHIELD, LEADER_CAPTAIN",,"HEAVY_BOLT_PISTOL_CAPTAIN, MASTER_CRAFTED_POWER_WEAPON_CHAMPION","6""",4,3+ / 4++,6,6,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, TACTICUS, CAPTAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain,,80,,,,,,
CAPTAIN_IN_GRAVIS_ARMOUR,Captain In Gravis Armour (Fist),"RITES_OF_BATTLE, REFUSE_TO_YIELD, LEADER_CAPTAIN_IN_GRAVIS_ARMOUR",,"BOLTSTORM_GAUNTLET, POWER_FIST_LEADERS, RELIC_FIST","5""",6,3+ / 4++,6,6,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, GRAVIS, CAPTAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain-In-Gravis-Armour,,80,,,,,,
CAPTAIN_IN_TERMINATOR_ARMOUR,Captain In Terminator Armour,"RITES_OF_BATTLE, THE_IMPERIUMS_SWORD, LEADER_CAPTAIN_IN_TERMINATOR_ARMOUR",DEEP_STRIKE,"STORM_BOLTER_LEADERS, RELIC_FIST","5""",5,2+ / 4++,6,6,1,"INFANTRY, CHARACTER, IMPERIUM, TERMINATOR, CAPTAIN, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain-In-Terminator-Armour,,85,,,,,,
CAPTAIN_WITH_JUMP_PACK_HAMMER_SHIELD,Captain with Jump Pack (Hammer & Shield),"ANGELS_WRATH, RITES_OF_BATTLE, RELIC_SHIELD, LEADER_CAPTAIN_WITH_JUMP_PACK",DEEP_STRIKE,THUNDER_HAMMER_JUMP_CAPTAIN,"12""",4,3+ / 4++,6,6,1,"INFANTRY, CHARACTER, JUMP PACK, FLY, GRENADES, IMPERIUM, TACTICUS, CAPTAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain-With-Jump-Pack,,75,,,,,,
NEW_CAPTAIN_WITH_RELIC_SHIELD,Captain with Relic Shield (New),"NEW_RITES_OF_BATTLE, NEW_FINEST_HOUR, NEW_RELIC_SHIELD, LEADER_CAPTAIN",LEADER (New),"NEW_HEAVY_BOLT_PISTOL_CAPTAIN_WITH_RELIC_SHIELD, MASTER_CRAFTED_POWER_WEAPON_CHAMPION","6""",4,3+ / 4++,6,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, TACTICUS, CAPTAIN WITH RELIC SHIELD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain,,80,,,,,,
CENTURION_DEVASTATOR_SQUAD,Centurion Devastator Squad,DECIMATOR_PROTOCOLS,,"CENTURION_TWIN_LASCANNON, CENTURION_MISSILE_LAUNCHER, CENTURION_FISTS","4""",7,2+,4,6,2,"INFANTRY, IMPERIUM, CENTURION, CENTURION DEVASTATOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Centurion-Devastator-Squad,x3,175,x6,365,,,,
CHAPLAIN_BIKE,Chaplain (Bike),"LITANY_OF_HATE, CATECHISM_OF_FIRE, LEADER_CHAPLAIN_ON_BIKE",,"TWIN_BOLT_RIFLE, ABSOLVOR_BOLT_PISTOL, CROZIUS_ARCANUM","12""",5,3+ / 4++,5,5,1,"MOUNTED, CHARACTER, GRENADES, IMPERIUM, CHAPLAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Chaplain-On-Bike,,70,,,,,,
CHAPLAIN_TERMINATOR,Chaplain (Terminator),"LITANY_OF_HATE, RECITATION_OF_FAITH, RELIC_SHIELD, LEADER_CHAPLAIN_IN_TERMINATOR_ARMOUR",DEEP_STRIKE,CROZIUS_ARCANUM,"5""",5,2+ / 4++,6,5+,1,"INFANTRY, CHARACTER, IMPERIUM, TERMINATOR, CHAPLAIN, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Chaplain-In-Terminator-Armour,,75,,,,,,
NEW_CHAPLAIN_WITH_JUMP_PACK,Chaplain with Jump Pack (New),"NEW_LITANY_OF_HATE, NEW_EXHORTATION_OF_RAGE, LEADER_CHAPLAIN_WITH_JUMP_PACK","DEEP STRIKE (New), LEADER (New)","NEW_ABSOLVOR_BOLT_PISTOL, CROZIUS_ARCANUM","12""",4,3+ / 4++,4,5+,1,"INFANTRY, CHARACTER, JUMP PACK, FLY, IMPERIUM, CHAPLAIN WITH JUMP PACK",https://wahapedia.ru/wh40k11ed/factions/space-marines/Chaplain-With-Jump-Pack,,75,,,,,,
COMPANY_HEROES,Company Heroes,"COMMAND_SQUAD, ASTARTES_BANNER_CH, COMPOSITION_CH",,"BOLT_PISTOL_X4_CH, BOLT_RIFLE_X1_CH, MASTER_CRAFTED_BOLT_RIFLE_X1_CH, MASTER_CRAFTED_HEAVY_BOLTER_X1_CH, CLOSE_COMBAT_WEAPON_X3_CH, MASTER_CRAFTED_POWER_WEAPON_X1_CH","6""",4,3+,4,6,1,"ALL MODELS: INFANTRY, GRENADES, IMPERIUM, TACTICUS, COMPANY HEROESANCIENT: ANCIENT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Company-Heroes,,105,,,,,,
DARNATH_LYSANDER,Darnath Lysander,"ICON_OF_OBSTINACY, RAMPART, WRATH_OF_DORN, INSPIRING_COMMANDER_LYSANDER",DEEP_STRIKE,FIST_OF_DORN,"5""",5,2+ / 4++,7,6,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, TERMINATOR, CAPTAIN, DARNATH LYSANDER",https://wahapedia.ru/wh40k11ed/factions/space-marines/Darnath-Lysander,,100,,,,,,
DEATHWING_KNIGHTS,Deathwing Knights,"INNER_CIRCLE, Teleport_Homer, WATCHER_IN_THE_DARK, MATHAMMER_DEATHWING_KNIGHTS",DEEP_STRIKE,"GREAT_WEAPON_OF_THE_UNFORGIVEN, MACE_OF_ABSOLUTION","5""",5,2+ / 4++,4,6,1,"INFANTRY, IMPERIUM, DEATHWING, TERMINATOR, DEATHWING KNIGHTS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Deathwing-Knights,5x1,240,5x2,500,,,,
DEATHWING_TERMINATORS,Deathwing Terminators,"DEATHWING, Teleport_Homer, WATCHER_IN_THE_DARK",DEEP_STRIKE,"CHAINFIST, STORM_BOLTER_TERMINATORS, CYCLONE_MISSLINE_FRAG, CYCLONE_MISSLINE_KRAK","5""",5,2+ / 4++,3,6,1,"INFANTRY, IMPERIUM, DEATHWING, TERMINATOR, DEATHWING TERMINATOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Deathwing-Terminator-Squad,x5,165,x10,330,,,,
DESOLATION_SQUAD,Desolation Squad,TARGETER_OPTICS,,"CASTELLAN_LAUNCHER, VENGOR_LAUNCHER, SUPERKRAK_ROCKET_LAUNCHER, BOLT_PISTOL_INTERCESSORS, CLOSE_COMBAT_WEAPON_INTERCESSORS","6""",4,3+,2,6,1,"INFANTRY, GRENADES, IMPERIUM, TACTICUS, DESOLATION SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Desolation-Squad,,180,,,,,,
ELIMINATOR_SQUAD,Eliminator Squad,"MARK_THE_TARGET, REPOSITION_UNDER_COVERING_FIRE","INFILTRATORS, STEALTH","BOLT_SNIPER_RIFLE, BOLT_PISTOL_INTERCESSORS, CLOSE_COMBAT_WEAPON_INTERCESSORS","6""",4,3+,2,6,1,"INFANTRY, GRENADES, IMPERIUM, PHOBOS, ELIMINATOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Eliminator-Squad,,75,,,,,,
ERADICATOR_SQUAD_HEAVY_BOLTERS,Eradicator Squad (Heavy Bolters),TOTAL_OBLITERATION,,"BOLT_PISTOL_INTERCESSORS, HEAVY_BOLTER_ERADICATORS, CLOSE_COMBAT_WEAPON_INTERCESSORS","5""",6,3+,3,6,1,"INFANTRY, IMPERIUM, GRAVIS, ERADICATOR SQUAD, ERADICATOR SQUAD WITH HEAVY BOLTERS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Eradicator-Squad,x3,80,x6,160,,,,
ERADICATOR_SQUAD_MELTA,Eradicator Squad (Melta),TOTAL_OBLITERATION,,"MULTI_MELTA_ERADICATORS, MELTA_RIFLE, CLOSE_COMBAT_WEAPON_INTERCESSORS","5""",6,3+,3,6,1,"INFANTRY, GRENADES, IMPERIUM, GRAVIS, ERADICATOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Eradicator-Squad,x3,90,x6,180,,,,
NEW_ERADICATOR_SQUAD_WITH_HEAVY_BOLTERS,Eradicator Squad with Heavy Bolters (New),TOTAL_OBLITERATION,,"NEW_BOLT_PISTOL, HEAVY_BOLTER_ERADICATORS, CLOSE_COMBAT_WEAPON_INTERCESSORS","5""",6,3+,3,6+,1,"INFANTRY, IMPERIUM, GRAVIS, ERADICATOR SQUAD, ERADICATOR SQUAD WITH HEAVY BOLTERS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Eradicator-Squad,x3,80,x6,160,,,,
GLADIATOR_LANCER,Gladiator Lancer,AQUILON_OPTICS,"DEADLY_DEMISE_D3, DAMAGED_1_4","LANCER_LASER_DESTROYER, ICARUS_ROCKET_POD, IRONHAIL_HEAVY_STUBBER, STORM_BOLTER_X2, ARMOURED_HULL","10""",10,3+,12,6,3,"VEHICLE, SMOKE, IMPERIUM, GLADIATOR LANCER",https://wahapedia.ru/wh40k11ed/factions/space-marines/Gladiator-Lancer,,160,,,,,,
GLADIATOR_REAPER,Gladiator Reaper,ROTATING_DEATH,"DEADLY_DEMISE_D3, DAMAGED_1_4","TWIN_HEAVY_ONSLAUGHT_GATLING_CANNON, ICARUS_ROCKET_POD, IRONHAIL_HEAVY_STUBBER, TEMPEST_BOLTER_X2, ARMOURED_HULL","10""",10,3+,12,6,3,"VEHICLE, SMOKE, IMPERIUM, GLADIATOR REAPER",https://wahapedia.ru/wh40k11ed/factions/space-marines/Gladiator-Reaper,,160,,,,,,
GLADIATOR_VALIANT,Gladiator Valiant,FEROCIOUS_ASSAULT,"DEADLY_DEMISE_D3, DAMAGED_1_4","TWIN_LAS_TALON, TWIN_MULTI_MELTA, ICARUS_ROCKET_POD, IRONHAIL_HEAVY_STUBBER, ARMOURED_HULL","10""",10,3+,12,6,3,"VEHICLE, SMOKE, IMPERIUM, GLADIATOR VALIANT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Gladiator-Valiant,,150,,,,,,
HEAVY_INTERCESSORS,Heavy Intercessors,UNYIELDING_IN_THE_FACE_OF_THE_FOE,,"HEAVY_BOLTER_HEAVY_INTERCESSORS, HEAVY_BOLT_RIFLE, BOLT_PISTOL_INTERCESSORS, CLOSE_COMBAT_WEAPON_INTERCESSORS","5""",6,3+,3,6,2,"INFANTRY, BATTLELINE, GRENADES, IMPERIUM, GRAVIS, HEAVY INTERCESSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Heavy-Intercessor-Squad,x5,100,x10,200,,,,
HELLBLASTER_SQUAD,Hellblaster Squad,FOR_THE_CHAPTER,,"PLASMA_INCINERATOR_STANDARD, PLASMA_INCINERATOR_SUPERCHARGE, BOLT_PISTOL_INTERCESSORS, PLASMA_PISTOL_STANDARD_TROOPS, PLASMA_PISTOL_SUPERCHARGE_TROOPS, CLOSE_COMBAT_WEAPON_INTERCESSORS","6""",4,3+,2,6+,1,"INFANTRY, GRENADES, IMPERIUM, TACTICUS, HELLBLASTER SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Hellblaster-Squad,x5,110,x10,220,,,,
IMPULSOR_Orbital,Impulsor,"ASSAULT_VEHICLE, SHIELD_DOME, TRANSPORT_IMPULSOR","FIRING_DECK_6, DEADLY_DEMISE_D3",STORM_BOLTER_X2,"12""",9,3+,11,6+,2,"VEHICLE, TRANSPORT, DEDICATED TRANSPORT, IMPERIUM, IMPULSOR",https://wahapedia.ru/wh40k11ed/factions/space-marines/Impulsor,,70,,,,,,
INCEPTORS_BOLTERS,Inceptors (Bolters),METEORIC_DESCENT,DEEP_STRIKE,"ASSAULT_BOLTERS, CLOSE_COMBAT_WEAPON_INTERCESSORS","10""",6,3+,3,6,1,"INFANTRY, JUMP PACK, FLY, IMPERIUM, GRAVIS, INCEPTOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Inceptor-Squad,x3,125,x6,250,,,,
INCEPTORS_PLASMA,Inceptors (Plasma),METEORIC_DESCENT,DEEP_STRIKE,"PLASMA_EXTERMINATORS_STANDARD, PLASMA_EXTERMINATORS_SUPERCHARGE, CLOSE_COMBAT_WEAPON_INTERCESSORS","10""",6,3+,3,6,1,"INFANTRY, JUMP PACK, FLY, IMPERIUM, GRAVIS, INCEPTOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Inceptor-Squad,x3,125,x6,250,,,,
INCURSORS,Incursors,"MULTI_SPECTRUM_ARRAY, HAYWIRE_MINE",SCOUTS_6,"OCCULUS_BOLT_CARBINE, BOLT_PISTOL_INTERCESSORS, PAIRED_COMBAT_BLADES","6""",4,3+,2,6,1,"INFANTRY, GRENADES, SMOKE, IMPERIUM, PHOBOS, INCURSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Incursor-Squad,,85,,,,,,
INFERNUS_SQUAD,Infernus,INCENDIARY_TERROR,,"PYREBLASTER, BOLT_PISTOL_INTERCESSORS, CLOSE_COMBAT_WEAPON_INTERCESSORS","6""",4,3+,2,6,1,"INFANTRY, GRENADES, IMPERIUM, TACTICUS, INFERNUS SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Infernus-Squad,x5,85,x10,180,,,,
INFILTRATORS,Infiltrators,"OMNI_SCRAMBLERS, HELIX_GAUNTLET, INFILTRATOR_COMMS_ARRAY",INFILTRATORS,"MARKSMAN_BOLT_CARBINE, BOLT_PISTOL_INTERCESSORS, CLOSE_COMBAT_WEAPON_INTERCESSORS","6""",4,3+,2,6,1,"INFANTRY, GRENADES, SMOKE, IMPERIUM, PHOBOS, INFILTRATOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Infiltrator-Squad,,110,,,,,,
INNER_CIRCLE_COMPANIONS,Inner Circle Companions,"BRAZIERS_OF_JUDGEMENT, ENMITY_FOR_THE_UNWORTHY",,"HEAVY_BOLT_PISTOL, CALIBANITE_GREATSWORD_STRIKE, CALIBANITE_GREATSWORD_SWEEP","6""",4,3+,3,6,2,"INFANTRY, IMPERIUM, DEATHWING, TACTICUS, INNER CIRCLE COMPANIONS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Inner-Circle-Companions,x3,80,x6,160,,,,
NEW_INTERCESSOR_SQUAD,Intercessors (New),"NEW_OBJECTIVE_SECURED, NEW_HAIL_OF_BOLTS, NEW_INTERCESSOR_SQUAD_LOADOUT",,"NEW_BOLT_PISTOL, BOLT_RIFLE_INTERCESSORS, ASTARTES_GRENADE_LAUNCHER_FRAG, ASTARTES_GRENADE_LAUNCHER_KRAK, NEW_CHAINSWORD_INTERCESSORS, CLOSE_COMBAT_WEAPON_INTERCESSORS","6""",4,3+,2,6+,2,"INFANTRY, BATTLELINE, GRENADES, IMPERIUM, TACTICUS, INTERCESSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Intercessor-Squad,x5,80,x10,150,,,,
INTERCESSORS,Intercessors,"OBJECTIVE_SECURED, NEW_HAIL_OF_BOLTS",,"BOLT_RIFLE_INTERCESSORS, ASTARTES_GRENADE_LAUNCHER_FRAG, ASTARTES_GRENADE_LAUNCHER_KRAK, BOLT_PISTOL_INTERCESSORS, CLOSE_COMBAT_WEAPON_INTERCESSORS, PLASMA_PISTOL_STANDARD_TROOPS, PLASMA_PISTOL_SUPERCHARGE_TROOPS, THUNDER_HAMMER_TROOPS","6""",4,3+,2,6,2,"INFANTRY, BATTLELINE, GRENADES, IMPERIUM, TACTICUS, INTERCESSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Intercessor-Squad,,80,,,,,,
INVADER_ATV_GATTLING_CANNON,Invader ATV (Gattling Cannon),OUTRIDER_ESCORT,,"ONSLAUGHT_GATLING_CANNON, TWIN_BOLT_RIFLE, BOLT_PISTOL_INTERCESSORS, CLOSE_COMBAT_WEAPON_ATV","12""",5,3+,8,6,2,"MOUNTED, GRENADES, IMPERIUM, INVADER ATV, RAVENWING, FRAME",https://wahapedia.ru/wh40k11ed/factions/space-marines/Invader-ATV,,60,,,,,,
INVADER_ATV_MELTA,Invader ATV (Melta),OUTRIDER_ESCORT,,"MULTI_MELTA_ATV, TWIN_BOLT_RIFLE, BOLT_PISTOL_INTERCESSORS, CLOSE_COMBAT_WEAPON_ATV","12""",5,3+,8,6,2,"MOUNTED, GRENADES, IMPERIUM, INVADER ATV, RAVENWING, FRAME",https://wahapedia.ru/wh40k11ed/factions/space-marines/Invader-ATV,,60,,,,,,
INVICTOR_FLAMER,Invictor (Incendium Cannon),COMBAT_SUPPORT,"SCOUTS_8, DEADLY_DEMISE_D3","INCENDIUM_CANNON, HEAVY_BOLTER_INVICTOR, TWIN_IRONHAIL_HEAVY_STUBBER, FRAGSTORM_GRENADE_LAUNCHER, INVICTOR_FIST","8""",8,3+,12,6,4,"VEHICLE, WALKER, IMPERIUM, PHOBOS, INVICTOR TACTICAL WARSUIT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Invictor-Tactical-Warsuit,,125,,,,,,
INVICTOR_AUTOCANNON,Invictor (Twin-Autocannon),COMBAT_SUPPORT,"SCOUTS_8, DEADLY_DEMISE_D3","TWIN_IRONHAIL_AUTOCANNON, HEAVY_BOLTER_INVICTOR, TWIN_IRONHAIL_HEAVY_STUBBER, FRAGSTORM_GRENADE_LAUNCHER, INVICTOR_FIST","8""",8,3+,12,6,4,"VEHICLE, WALKER, IMPERIUM, PHOBOS, INVICTOR TACTICAL WARSUIT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Invictor-Tactical-Warsuit,,125,,,,,,
IRON_FATHER_FEIRROS,Iron Father Feirros,"INSPIRING_COMMANDER_FEIRROS, RITES_OF_TEMPERING, IRON_FATHER, MASTER_OF_THE_FORGE",,"GORGONS_WRATH,  BOLT_PISTOL_LEADERS, HARROWHAND, MEDUSAN_MANIPULI","5""",6,2+,6,6,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, GRAVIS, IRON FATHER FEIRROS, ADEPTUS ASTARTES, IRON HANDS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Iron-Father-Feirros,,85,,,,,,
JUDICIAR,Judiciary,"TEMPORMORTIS, SILENT_FURY, LEADER_JUDICIAR, SUPPORT_JUDICIAR",,"ABSOLVOR_BOLT_PISTOL, EXECUTIONER_RELIC_BLADE","6""",4,3+,4,5,1,"INFANTRY, CHARACTER, IMPERIUM, TACTICUS, JUDICIAR",https://wahapedia.ru/wh40k11ed/factions/space-marines/Judiciar,,55,,,,,,
