Weapon_ID,Weapon Name,"R""",A,WS,St,AP,D
MONGOL_BOW,Mongol bow,"24""",2,2,5,-1,2
MULTI_MELTA_ATV,Multi-melta (ATV),"18""",2,3,9,-4,D6
MULTI_MELTA_ERADICATORS,Multi-melta,"18""",2,4,9,-4,D6
MULTI_MELTA_VEHICLE,Multi-melta,"18""",2,3,9,-4,D6
MULTI_MELTA_X1,Multi-melta,"18""",2,4,9,-4,D6
NEURAL_SHREDDER,Neural shredder,"12""",D6,-,5,-2,1
OCCULUS_BOLT_CARBINE,Occulus bolt carbine,"24""",2,3,4,0,1
OMNISSIAN_POWER_AXE,Omnissian power axe,-,4,3,6,-2,2
ONSLAUGHT_GATLING_CANNON,Onslaught gatling cannon,"24""",8,3,5,0,1
ONSLAUGHT_GATLING_CANNON_SUBODEN_KHAN,Onslaught gatling cannon,"24""",8,2,5,0,1
PAIRED_COMBAT_BLADES,Paired combat blades,-,3,3,4,-1,1
PAIRED_COMBAT_BLADES_LIEUTENANT,Paired combat blades,-,5,2,4,-1,1
PHASE_SWORD_AND_POISON_BLADES,Phase sword and poison blades,-,5,2,5,-4,2
PLASMA_EXTERMINATORS_STANDARD,Plasma exterminators – standard,"18""",2,3,7,-2,2
PLASMA_EXTERMINATORS_SUPERCHARGE,Plasma exterminators – supercharge,"18""",2,3,8,-3,3
PLASMA_INCINERATOR_STANDARD,Plasma incinerator – standard,"24""",2,3,7,-2,1
PLASMA_INCINERATOR_SUPERCHARGE,Plasma incinerator – supercharge,"24""",2,3,8,-3,2
PLASMA_PISTOL_STANDARD_LEADER,Plasma pistol - standard,"12""",1,2,7,-2,1
PLASMA_PISTOL_SUPERCHARGE_LEADER,Plasma pistol - supercharge,"12""",1,2,8,-3,2
PLASMA_PISTOL_STANDARD_TROOPS,Plasma pistol - standard (Sgt),"12""",1,3,7,-2,1
PLASMA_PISTOL_SUPERCHARGE_TROOPS,Plasma pistol - supercharge (Sgt),"12""",1,3,8,-3,2
PLASMA_STORM_BATTERY_STANDARD,Plasma storm battery – standard,"36""",D6+1,3,8,-2,2
PLASMA_STORM_BATTERY_SUPERCHARGE,Plasma storm battery – supercharge,"36""",D6+1,3,9,-3,3
PLASMA_TALON_STANDARD,Plasma talon – standard,"18""",2,3,7,-2,1
PLASMA_TALON_SUPERCHARGE,Plasma talon – supercharge,"18""",2,3,8,-3,2
POWER_FIST_ANCIENT,Power fist,-,4,2,8,-2,2
POWER_FIST_CAPTAIN,Power fist,-,5,2,8,-2,2
POWER_FIST_LIEUTENANT,Power fist,-,4,2,8,-2,2
POWER_FIST_STERNGUARD_SGT,Power fist (Sgt),-,4,3,8,-2,2
POWER_FIST_TERMINATORS,Power fist,-,3,3,8,-2,2
POWER_FIST_TROOPS,Power fist (Sgt),-,3,3,8,-2,2
POWER_SWORD_SUBODEN_KHAN,Power sword,-,8,2,5,-2,1
POWER_WEAPON_KNIGHTS,Power weapon,-,5,2,6,-2,2
POWER_WEAPON_TERMINATOR_SERGEANT,Power weapon (Terminator Sgt),-,4,3,5,-2,1
PREDATOR_AUTOCANNON,Predator autocannon,"48""",4,3,9,-1,3
PYREBLASTER,Pyreblaster,"12""",D6,N/A,5,-1,1
REDEMPTOR_FIST,Redemptor fist,-,5,3,12,-2,3
RELIC_FIST,Relic fist,-,5,2,8,-2,2
RELIC_WEAPON_KNIGHTS,Relic Weapon (Knights),-,6,2,7,-2,2
REPULSOR_DEFENSIVE_ARRAY,Repulsor defensive array,"24""",18,3,4,0,1
REPULSOR_EXECUTIONER_DEFENSIVE_ARRAY,Repulsor Executioner defensive array,"24""",10,3,4,0,1
SCOUT_SNIPER_RIFLE,Scout sniper rifle,"36""",1,3,4,-2,2
SERVO_ARM,Servo-arm,-,1,3,8,-2,3
SMITE_FOCUSED_WITCHFIRE,Smite - focused witchfire,"24""",D6,3,6,-2,D3
SMITE_WITCHFIRE,Smite - witchfire,"24""",D6,3,5,-1,D3
SPEAR_OF_VULKAN,Spear of Vulkan,-,6,2,6,-2,2
SPECIAL_ISSUE_BOLT_PISTOL_REIVERS,Special issue bolt pistol,"12""",1,3,4,-1,1
STERNGUARD_BOLT_PISTOL,Sternguard bolt pistol,"12""",1,3,4,0,1
STERNGUARD_BOLT_RIFLE,Sternguard bolt rifle,"24""",2,3,4,-1,1
STERNGUARD_HEAVY_BOLTER,Sternguard heavy bolter,"36""",3,4,5,-1,2
STORM_BOLTER_LEADERS,Storm bolter,"24""",2,2,4,0,1
STORM_BOLTER_TERMINATORS,Storm bolter,"24""",2,3,4,0,1
STORM_BOLTER_VEHICLE,Storm bolter,"24""",2,3,4,0,1
STORM_BOLTER_X2,Storm bolter,"24""",4,3,4,0,1
STORMFURY_MISSILE_LAUNCHER,Stormfury missile launcher,"48""",1,3,12,-3,D6+1
STORMFURY_MISSILES,Stormfury missiles,"48""",1,2,12,-3,D6+1
STORMTOOTH_LANCE,Stormtooth lance,-,6,2,6,-2,2
SUNDERING_STRIKE,Sundering Strike,-,6,2,5,-2,2
SUPERFRAG_ROCKET_LAUNCHER,Superfrag rocket launcher,"48""",D6+1,4,5,0,1
SUPERKRAK_ROCKET_LAUNCHER,Superkrak rocket launcher,"48""",1,4,10,-2,D6+1
SWORD_OF_IDAEUS,Sword of Idaeus,-,6,2,6,-2,2
TEMPEST_BOLTER_X2,Tempest bolter x2,"24""",8,3,4,-1,1
THE_RAVENS_TALONS,The Raven’s Talons,-,7,2,5,-2,2
THE_SWORD_OF_SECRETS,The Sword of Secrets,-,6,2,6,-4,2
THE_SWORD_OF_SILENCE,The Sword of Silence,-,6,2,6,-2,2
THE_VERDICT_OF_HALCYON_ANCIENT_EXECUTIONER_RELIC_BLADE,The Verdict of Halcyon - Ancient Executioner relic blade,-,5,2,9,-3,3
THUNDER_HAMMER,Thunder hammer,-,3,3,8,-2,2
THUNDER_HAMMER_ANCIENT,Thunder hammer,-,4,3,8,-2,2
THUNDER_HAMMER_TERMINATORS,Thunder hammer,-,3,3,8,2,2
THUNDER_HAMMER_TROOPS,Thunder hammer (Sgt),-,3,4,8,-2,2
THUNDERSTRIKE_LAS_TALON,Thunderstrike las-talon,"36""",2,2,9,-3,D6+1
TWIN_ASSAULT_CANNON,Twin assault cannon,"24""",6,3,6,0,1
TWIN_BOLT_RIFLE,Twin bolt rifle,"24""",2,3,4,-1,1
TWIN_HEAVY_BOLTER,Twin heavy bolter,"36""",3,3,5,-1,2
TWIN_HEAVY_ONSLAUGHT_GATLING_CANNON,Twin heavy onslaught gatling cannon,"24""",12,3,6,0,1
TWIN_ICARUS_IRONHAIL_HEAVY_STUBBER,Twin Icarus ironhail heavy stubber,"36""",3,3,4,0,1
TWIN_ICARUS_ROCKET_POD,Twin Icarus rocket pod,"24""",D3,3,8,-1,2
TWIN_IRONHAIL_AUTOCANNON,Twin ironhail autocannon,"48""",3,3,9,-1,3
TWIN_IRONHAIL_HEAVY_STUBBER,Twin ironhail heavy stubber,"36""",3,3,4,0,1
TWIN_LASCANNON,Twin lascannon,"48""",1,3,12,-3,D6+1
TWIN_LIGHTNING_CLAWS,Twin lightning claws,-,6,3,5,-2,1
TWIN_MULTI_MELTA,Twin multi-melta,"18""",2,3,9,-4,D6
TWIN_POWER_FISTS,Twin power fists,-,3,3,8,-2,2
TWIN_STORM_BOLTER,Twin storm bolter,"24""",2,3,4,0,1
TYRNAK_AND_FENRIR,Tyrnak and Fenrir,-,6,2,5,-1,1
VANGUARD_VETERAN_WEAPON,Vanguard Veteran weapon,-,4,3,5,-1,1
VENGOR_LAUNCHER,Vengor launcher,"48""",D6,2,7,-1,2
VICTRIX_POWER_SWORD,Victrix power sword,-,5,2,5,-2,2
HEAVY_BOLT_PISTOL_CAPTAIN_WITH_RELIC_SHIELD,Heavy bolt pistol (Captain with Relic Shield),"18""",1,2,4,-1,1
BOLT_PISTOL,Bolt pistol,"12""",1,3,4,0,1
CLOSE_COMBAT_WEAPON_ANCIENT,Close-combat weapon (Ancient),-,5,2,4,0,1
CHAINSWORD_INTERCESSORS,Chainsword (Intercessors),-,5,3,4,-1,1
HEAVY_BOLT_PISTOL_VANGUARD_VETERANS,Heavy bolt pistol (Vanguard Veterans),"18""",1,3,4,-1,1
PLASMA_PISTOL_STANDARD_VANGUARD_VETERANS,Plasma pistol - standard (Vanguard Veterans),"12""",D3,3,7,-2,1
PLASMA_PISTOL_SUPERCHARGE_VANGUARD_VETERANS,Plasma pistol - supercharge (Vanguard Veterans),"12""",1,3,8,-3,2
MASTER_CRAFTED_POWER_WEAPON_VANGUARD_VETERANS,Master-crafted power weapon (Vanguard Veterans),-,3,3,5,-2,2
THUNDER_HAMMER_JUMP_CAPTAIN,Thunder hammer,-,5,3+,8,-2,2
TWIN_LAS_TALON,Twin las-talon,"36""",2,3+,10,-3,D6+1
MASTER_CRAFTED_POWER_WEAPON_LIEUTENANT,Master-crafted power weapon,-,5,2+,5,-2,2
MASTER_CRAFTED_SPECIAL_ISSUE_BOLT_PISTOL_REIVER_LT,Master-crafted special issue bolt pistol,"12""",1,2+,4,-1,2
CAPTAIN_JUMP_HEAVY_BOLT_PISTOL,Heavy bolt pistol,"18""",1,2,4,-1,1
CAPTAIN_JUMP_PLASMA_PISTOL_STANDARD,Plasma pistol – standard,"12""",1,2,7,-2,1
CAPTAIN_JUMP_PLASMA_PISTOL_SUPERCHARGE,Plasma pistol – supercharge,"12""",1,2,8,-3,2
CAPTAIN_JUMP_HAND_FLAMER,Hand flamer,"12""",D6,N/A,3,0,1
CAPTAIN_JUMP_ASTARTES_CHAINSWORD,Astartes chainsword,-,7,2,4,-1,1
CAPTAIN_JUMP_POWER_FIST,Power fist,-,5,2,8,-2,2
CAPTAIN_JUMP_RELIC_WEAPON,Relic weapon,-,6,2,5,-2,2
CAPTAIN_JUMP_THUNDER_HAMMER,Thunder hammer,-,5,3,8,-2,2
CAPTAIN_BOLT_PISTOL,Bolt pistol,"12""",1,2,4,0,1
CAPTAIN_HEAVY_BOLT_PISTOL,Heavy bolt pistol,"18""",1,2,4,-1,1
CAPTAIN_MASTER_CRAFTED_BOLTER,Master-crafted bolter,"24""",2,2,4,-1,2
CAPTAIN_NEO_VOLKITE_PISTOL,Neo-volkite pistol,"12""",1,2,5,0,2
CAPTAIN_PLASMA_PISTOL_STANDARD,Plasma pistol – standard,"12""",1,2,7,-2,1
CAPTAIN_PLASMA_PISTOL_SUPERCHARGE,Plasma pistol – supercharge,"12""",1,2,8,-3,2
CAPTAIN_CLOSE_COMBAT_WEAPON,Close combat weapon,-,6,2,4,0,1
CAPTAIN_MASTER_CRAFTED_POWER_WEAPON,Master-crafted power weapon,-,6,2,5,-2,2
CAPTAIN_POWER_FIST,Power fist,-,5,2,8,-2,2
GRAVIS_CAPTAIN_MC_HEAVY_BOLT_RIFLE,Master-crafted heavy bolt rifle,"30""",2,2,5,-1,3
GRAVIS_CAPTAIN_MC_POWER_WEAPON,Master-crafted power weapon,-,6,2,5,-2,2
GRAVIS_CAPTAIN_BOLTSTORM_GAUNTLET,Boltstorm gauntlet,"12""",3,2,4,-1,1
GRAVIS_CAPTAIN_POWER_FIST,Power fist,-,5,2,8,-2,2
GRAVIS_CAPTAIN_RELIC_CHAINSWORD,Relic chainsword,-,3,2,4,-1,2
GRAVIS_CAPTAIN_RELIC_BLADE,Relic blade,-,2,2,5,-2,2
GRAVIS_CAPTAIN_RELIC_FIST,Relic fist,-,1,2,8,-2,2
CAPTAIN_TERM_STORM_BOLTER,Storm bolter,"24""",2,2,4,0,1
CAPTAIN_TERM_COMBI_WEAPON,Combi-weapon,"24""",1,3,4,0,1
CAPTAIN_TERM_RELIC_WEAPON,Relic weapon,-,6,2,5,-2,2
CAPTAIN_TERM_RELIC_FIST,Relic fist,-,5,2,8,-2,2
PHOBOS_CAPTAIN_BOLT_PISTOL,Bolt pistol,"12""",1,2,4,0,1
PHOBOS_CAPTAIN_INSTIGATOR_BOLT_CARBINE,Instigator bolt carbine,"24""",1,2,4,-2,2
PHOBOS_CAPTAIN_COMBAT_KNIFE,Combat knife,-,6,2,4,-1,1
LIEUTENANT_BOLT_PISTOL,Bolt pistol,"12""",1,2,4,0,1
LIEUTENANT_HEAVY_BOLT_PISTOL,Heavy bolt pistol,"18""",1,2,4,-1,1
LIEUTENANT_MASTER_CRAFTED_BOLTER,Master-crafted bolter,"24""",2,2,4,-1,2
LIEUTENANT_PLASMA_PISTOL_STANDARD,Plasma pistol – standard,"12""",1,2,7,-2,1
LIEUTENANT_PLASMA_PISTOL_SUPERCHARGE,Plasma pistol – supercharge,"12""",1,2,8,-3,2
LIEUTENANT_NEO_VOLKITE_PISTOL,Neo-volkite pistol,"12""",1,2,5,0,2
LIEUTENANT_CLOSE_COMBAT_WEAPON,Close combat weapon,-,5,2,4,0,1
LIEUTENANT_MASTER_CRAFTED_POWER_WEAPON,Master-crafted power weapon,-,5,2,5,-2,2
LIEUTENANT_POWER_FIST,Power fist,-,4,2,8,-2,2
LIEUTENANT_PHOBOS_BOLT_PISTOL,Bolt pistol,"12""",1,2,4,0,1
LIEUTENANT_PHOBOS_SCOPED_BOLT_CARBINE,Master-crafted scoped bolt carbine,"24""",2,2,4,0,2
LIEUTENANT_PHOBOS_PAIRED_COMBAT_BLADES,Paired combat blades,-,5,2,4,-1,1
CHAPLAIN_JUMP_BOLT_PISTOL,Bolt pistol,"12""",1,3,4,0,1
CHAPLAIN_JUMP_BOLTGUN,Boltgun,"24""",2,3,4,0,1
CHAPLAIN_JUMP_COMBI_WEAPON,Combi-weapon,"24""",1,4,4,0,1
CHAPLAIN_JUMP_GRAV_PISTOL,Grav-pistol,"12""",1,3,4,-1,2
CHAPLAIN_JUMP_HAND_FLAMER,Hand flamer,"12""",D6,N/A,3,0,1
CHAPLAIN_JUMP_INFERNO_PISTOL,Inferno pistol,"6""",1,3,8,-4,D3
CHAPLAIN_JUMP_PLASMA_PISTOL_STANDARD,Plasma pistol – standard,"12""",1,3,7,-2,1
CHAPLAIN_JUMP_PLASMA_PISTOL_SUPERCHARGE,Plasma pistol – supercharge,"12""",1,3,8,-3,2
CHAPLAIN_JUMP_STORM_BOLTER,Storm bolter,"24""",2,3,4,0,1
CHAPLAIN_JUMP_POWER_FIST,Power fist,-,4,2,8,-2,2
CHAPLAIN_JUMP_ABSOLVOR_BOLT_PISTOL,Absolvor bolt pistol,"18""",1,3,5,-1,2
APOTHECARY_ABSOLVOR_BOLT_PISTOL,Absolvor bolt pistol,"18""",1,3,5,-1,2
APOTHECARY_REDUCTOR_PISTOL,Reductor pistol,"3""",1,3,4,-4,2
APOTHECARY_CLOSE_COMBAT_WEAPON,Close combat weapon,-,4,3,4,0,1
TWIN_LIGHTNING_CLAWS_TERMINATORS,Twin lightning claws,-,6,3,5,-2,1
APOTHECARY_BIOLOGIS_ABSOLVOR_BOLT_PISTOL,Absolvor bolt pistol,"18""",1,3,5,-1,2
APOTHECARY_BIOLOGIS_CLOSE_COMBAT_WEAPON,Close combat weapon,-,4,3,4,0,1
HEAVY_BOLT_PISTOL_AETHON,Heavy bolt pistol,"18""",1,2,4,-1,1
BOLT_PISTOL_X4_CH,Bolt pistol x4,"12""",4,3,4,0,1
BOLT_RIFLE_X1_CH,Bolt rifle,"24""",2,3,4,-1,1
MASTER_CRAFTED_BOLT_RIFLE_X1_CH,Master-crafted bolt rifle,"24""",2,2,4,-1,2
MASTER_CRAFTED_HEAVY_BOLTER_X1_CH,Master-crafted heavy bolter,"36""",3,3,5,-1,3
CLOSE_COMBAT_WEAPON_X3_CH,Close combat weapon x3,-,15,3,4,0,1
MASTER_CRAFTED_POWER_WEAPON_X1_CH,Master-crafted power weapon,-,6,2,5,-2,2
