Ability_ID,Ability Name,Short_Description,Long_Description,Tags,Tag Categories,Visibility_ID,Default_Active
ENCEPHALIC_DIFFUSION_AURA_AND_PSYCHIC,Encephalic Diffusion (Aura and Psychic),"Enemy 6"": -1 to Hit. If Below Half-strength, -1 to Wound. [ENEMY -1 TO HIT]","While an enemy unit is within 6"" of this model, each time a model in that unit makes an attack, subtract 1 from the Hit roll, and, if that enemy unit is Below Half-strength, subtract 1 from the Wound roll as well.",[ENEMY -1 TO HIT],[Info Only],2,
FEAR_OF_THE_UNSEEN_AURA,Fear of the Unseen (Aura),"While within 6"", enemy is LD -1.

If below Starting strength, take battle-shock test enemy in Command Ph","While an enemy unit is within 6"" of this model, worsen the Leadership characteristic of models in that unit by 1.

In addition, in the Battle-shock step of your opponent’s Command phase, if such an enemy unit is below its Starting Strength, it must take a Battle-shock test.",,,2,
FEEDER_TENDRILS,Feeder Tendrils,"When this model destroys a Character, you gain 1CP. [GAIN 1 CP]","Each time this model destroys an enemy Character model, you gain 1CP.",[GAIN 1 CP],[Unit Rules],2,
FEEDING_FRENZY,Feeding Frenzy,"Each Melee vs a unit below its Starting Strength, add +1 To Hit.

If target is also Below Half-strength, add +1 To Wound. [+1 TO HIT] [+1 TO WOUND]","Each time this model makes a - attack that targets a unit that is below its Starting Strength, add 1 to the Hit roll. 

If that target is also Below Half-strength, add 1 to the Wound roll as well.",[+1 TO HIT] [+1 TO WOUND],[Melee - Combat Modifiers] [Melee - Combat Modifiers],2,
GRASPING_TENDRILS,Grasping Tendrils,Enemy (not TITANIC) in Engagement trying to Fall Back: 3+ they Remain Stationary.,"Each time an enemy unit (excluding TITANIC units) within Engagement Range of one or more units from your army with this ability is selected to Fall Back, you can roll one D6: on a 3+, that enemy unit must Remain Stationary instead.",,,2,
GRISLY_SPECTACLE,Grisly Spectacle,"Destroy a model, all take battle shock within 6""","Each time this model is selected to fight, after resolving its attacks, if one or more enemy units were destroyed by those attacks, each enemy unit within 6"" of this model must take a Battle-shock test.",,,2,
GUARDIAN_ORGANISM,Guardian Organism,"If led by CHARACTER, while alive, they grant 5+ FNP to character. [FNP 5+]","While a CHARACTER model is leading this unit, that CHARACTER has the FNP 5+ ability.",[FNP 5+],[Unit Rules],2,
HIVE_COMMANDER,Hive Commander,"At start of Command Phase, 
gain 1 CP. [GAIN 1 CP]","At the start of your Command phase, if this model is on the battlefield, you gain 1CP.",[GAIN 1 CP],[Unit Rules],2,
HYPERSENSORY_ARRAY,Hypersensory Array,Free Rapid Ingress and Free Heroic Intervention even if already used the stratagem [INGRESS] [HEROIC INTERVENTION 0CP],"Once per battle round, you can target this unit with the Rapid Ingress or Heroic Intervention Stratagem for 0CP, and can do so even if you have already targeted a different unit with that Stratagem this turn.",[INGRESS] [HEROIC INTERVENTION 0CP],[Movement Rules] [Unit Rules],2,
HYPERTOXIC_MIASMA_AURA,Hypertoxic Miasma (Aura),"End of Movement: each enemy 6"" takes MW (2-3: 1, 4-5: D3, 6: D6).","At the end of your Movement phase, roll one D6 for each enemy unit within 6"" of this model: on a 2-3, that unit suffers 1 mortal wound; on a 4-5, that unit suffers D3 mortal wounds; on a 6, that unit suffers D6 mortal wounds.",,,2,
HYPNOTIC_GAZE_PSYCHIC,Hypnotic Gaze (Psychic),"Fight phase, select enemy within Engagement Range: -1 To Hit. [ENEMY -1 TO HIT]","At the start of the Fight phase, select one enemy unit within Engagement Range of this model. Until the end of the phase, each time a model in that unit makes an attack, subtract 1 from the Hit roll.",[ENEMY -1 TO HIT],[Info Only],2,
MALIGN_PRESENCE_AURA,Malign Presence (Aura),"Each time: 12"" cost +1 CP","If this model is your WARLORD, each time your opponent targets a unit from their army with a Stratagem, if that unit is within 12"" of this model, increase the cost of that use of that Stratagem by 1CP.",,,2,
NEURAL_DISRUPTION,Neural Disruption,"Battleshock within12""","In your Command phase, select one enemy unit within 12"" of this model. That unit must take a Battle-shock test.",,,2,
NEUROCYTES,Neurocytes,Extends Synapse,"While this unit is within Synapse Range of a friendly TYRANIDS unit (excluding NEUROGAUNT units), it has the SYNAPSE keyword.",,,2,
NEUROLOIDS,Neuroloids,"In Command, select 2 units within 18"", they will stay in synapse.","In your Command phase, you can select up to two friendly TYRANIDS units within 18"" of this model’s unit. Until the start of your next Command phase, the selected units are always considered to be within Synapse Range of your army.",,,2,
NODE_LASH_PSYCHIC,Node Lash (Psychic),"Leading = +1 To Hit.
Target Battle-shocked = +1 To Wound. [+1 TO HIT] [+1 TO HIT] [+1 TO WOUND] [+1 TO WOUND]","While this model is leading a unit, each time a model in that unit makes an attack, add 1 to the Hit roll. If the target is Battle-shocked, add 1 to the Wound roll as well.",[+1 TO HIT] [+1 TO HIT] [+1 TO WOUND] [+1 TO WOUND],[Melee - Combat Modifiers] [Range - Combat Modifiers] [Melee - Combat Modifiers] [Range - Combat Modifiers],2,
ONSLAUGHT_AURA_PSYCHIC,Onslaught (Aura + Psychic),"Friendly 6"": ranged weapons have ASSAULT and LETHAL HITS. [ASSAULT] [LETHAL HITS]","While a friendly TYRANIDS unit is within 6"" of this model, ranged weapons equipped by models in that unit have the [ASSAULT] and [LETHAL HITS] abilities.",[ASSAULT] [LETHAL HITS],[Range - Weapon Rules] [Range - Weapon Rules],2,
PAROXYSM_PSYCHIC,Paroxysm (Psychic),"Start of Fight, select enemy within 12"" and visible. Roll D6: on a 1, this Psyker suffers D3 mortal; 2+, until the end of the phase, subtract 1 from the Attacks of weapons in that unit.","At the start of the Fight phase, you can select one enemy unit within 12"" of and visible to this model and roll one D6: on a 1, this Psyker suffers D3 mortal wounds; on a 2+, until the end of the phase, subtract 1 from the Attacks characteristic of weapons equipped by models in that unit.",,,2,
PHEROMONE_TRAIL,Pheromone Trail,"Once per battle round, Rapid Ingress Stratagem for 0CP. [INGRESS]","Once per battle round, you can target one model with this ability with the Rapid Ingress Stratagem for 0CP.",[INGRESS],[Movement Rules],2,
POUNCING_LEAP,Pouncing Leap,Heroic Intervention any number of times this phase. That use is -1 CP. [HEROIC INTERVENTION 0CP],"You can target this unit with the Heroic Intervention Stratagem, regardless of any other uses of that Stratagem this phase. If you do:
- That use is -1 CP.
- That use does not prevent any uses of that Stratagem on other units this phase.",[HEROIC INTERVENTION 0CP],[Unit Rules],2,
PSYCHIC_TERROR_PSYCHIC,Psychic Terror (Psychic),"If a Neurotyrant is on the battlefield, Shadow in the Warp, subtract -1 from the Battle-shock test of enemy.","If one or more models from your army with this ability are on the battlefield when you unleash the Shadow in the Warp, subtract 1 from the Battle-shock test each enemy unit on the battlefield must take as a result.",,,2,
PSYCHOLOGICAL_SABOTEUR_AURA,Psychological Saboteur (Aura),"If Battleshock: -1 from Hit rolls, +1 To Wound them [ENEMY -1 TO HIT] [+1 TO WOUND] [+1 TO WOUND]","While an enemy unit is within 12"" of this model, if that unit is Battle-shocked:
- Each time a model in that unit makes an attack, subtract 1 from the Hit roll.
- Each time a friendly TYRANIDS model makes an attack that targets that unit, add 1 to the Wound roll.",[ENEMY -1 TO HIT] [+1 TO WOUND] [+1 TO WOUND],[Info Only] [Melee - Combat Modifiers] [Range - Combat Modifiers],2,
RAVENER_PRIME,Ravener Prime,"Prime Wounds = 6
Prime Claws and talons","Prime Wounds = 6
Prime Claws and talons",,,2,
RESILIENT_ORGANISM,Resilient Organism,"Once per Battle, Damage is 0","Once per battle, when an attack is allocated to this model, you can change the Damage characteristic of that attack to 0.",,,2,
SEED_SPORE_MINES,Seed Spore Mines,"Instead of Shooting, set up a Spore mine anywhere within 48"" and 8"" away from enemy.","Once per turn, in your Shooting phase, when selected to shoot, one unit with this ability can use it instead of making any attacks with its ranged weapons. If it does, you can add one new SPORE MINES unit to your army and set it up anywhere on the battlefield that is wholly within 48"" of this unit and more than 8"" horizontally away from all enemy units. That SPORE MINES unit contains 1 model for each model in this unit.",,,2,
SERPENTINE_FIEND,Serpentine Fiend,Move thru terrain,"This model can move through terrain features, but cannot end a move within a wall, a floor, etc. This model can be set up or end a move on any floor level of RUINS, but if that level is not the ground floor, it can only do so if its base does not overhang the floor at that level.",,,2,
SINGULAR_PURPOSE,Singular Purpose,"Pick an objective; OC 15 & FNP 5+

Pick an enemy: Re-roll Hit / Wound [FNP 5+]","At the start of the first battle round, select one of the following:
- Select one enemy unit. Until the end of the battle, each time this model makes an attack that targets that unit, you can re-roll the Hit roll and you can re-roll the Wound roll.
- Select one objective marker. Until the end of the battle, while this model is within range of that objective marker, it has the FNP 5+ ability and an Objective Control characteristic of 15.",[FNP 5+],[Unit Rules],2,
SKULKING_HORRORS,Skulking Horrors,"Enemy ends a move within 8"": if unengaged, Normal move D6"".","In your opponent’s Movement phase, if an enemy unit ends a move within 8"" of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to D6"".",,,2,
SPAWN_TERMAGANTS,Spawn Termagants,"Command Phase: Termagaunts 6"" generate D3+3","In your Command phase, you can select one friendly Termagants unit within 6"" of this model and return up to D3+3 destroyed Termagant models to that unit. A Termagants unit cannot be selected for this ability more than once per phase.",,,2,
SPIRIT_LEECH_AURA_AND_PSYCHIC,Spirit Leech (Aura & Psychic),"Enemy 6"" fails Battle-shock: D3 mortal wounds and this unit regains D3.","While an enemy unit is within 6"" of this unit, if this unit contains a Neurothrope, each time that enemy unit fails a Battle-shock test, it suffers D3 mortal wounds and one model in this unit regains up to D3 lost wounds.",,,2,
SPORE_MINES,Spore Mines,"M T SV W LD OC
4"" 1 7+ 1 8+ 0
Enemy cannot start/end Advance within 6"". Also, if it ends within 3"", roll a D6. 2-5 = 1 mortal, 6 = D3 mortal.","M T SV W LD OC
4"" 1  7+  1  8+  0

Bio-minefield: Enemy units cannot start or end an Advance move within 6"" of this unit.

Floating Death: Each time an enemy unit ends a move within 3"" of a model in this unit, and each time a model in this unit ends a move within 3"" of an enemy unit, roll one D6: on a 2-5, that enemy unit suffers 1 mortal wound; on a 6, that enemy unit suffers D3 mortal wounds. The model in this unit that caused that roll is then destroyed.",,,2,
SUBTERRANEAN_HUNTER,Subterranean Hunter,"End of ANY Fight phase
If not Engaged, go to Reserves [STRATEGIC RESERVES]","At the end of the Fight phase, if this unit is not within Engagement Range of one or more enemy units, you can remove it from the battlefield and place it into Strategic Reserves.",[STRATEGIC RESERVES],[Movement Rules],2,
SUBTERRANEAN_TUNNELS,Subterranean Tunnels,"Deep Strike more than 6"". Cannot charge this turn. [DEEP STRIKE]","In your Movement phase, when this model is set up on the battlefield using the Deep Strike ability, it can use a subterranean tunnel.

If it does, this model can be set up anywhere on the battlefield that is more than 6"" horizontally away from all enemy units, but until the end of the turn, it is not eligible to declare a charge.",[DEEP STRIKE],[Unit Rules],2,
LEADER_BROODLORD,Leader: Broodlord,LEADER: GENESTEALERS,LEADER: GENESTEALERS,,,3,
LEADER_HIVE_TYRANT,Leader: Hive Tyrant,LEADER: TYRANT GUARD,LEADER: TYRANT GUARD,,,3,
LEADER_HYPERADAPTED_RAVENERS,Leader: Hyperadapted Raveners,LEADER: RAVENERS,LEADER: RAVENERS,,,3,
LEADER_NEUROTYRANT,Leader: Neurotyrant,"LEADER: NEUROGAUNTS, TYRANT GUARD, ZOANTHROPES","LEADER: NEUROGAUNTS, TYRANT GUARD, ZOANTHROPES",,,3,
LEADER_OLD_ONE_EYE,Leader: Old One Eye,LEADER: CARNIFEXES,LEADER: CARNIFEXES,,,3,
LEADER_THE_SWARMLORD,Leader: The Swarmlord,LEADER: TYRANT GUARD,LEADER: TYRANT GUARD,,,3,
LEADER_WINGED_TYRANID_PRIME,Leader: Winged Tyranid Prime,"LEADER: GARGOYLES, TYRANID WARRIORS WITH MELEE BIO-WEAPONS, TYRANID WARRIORS WITH RANGED BIO-WEAPONS","LEADER: GARGOYLES, TYRANID WARRIORS WITH MELEE BIO-WEAPONS, TYRANID WARRIORS WITH RANGED BIO-WEAPONS",,,3,
SWALLOW_WHOLE,Swallow Whole,"GAPING MAW + Critical Wounds vs INFANTRY, MOUNTED or BEASTS
Result: Regain D3+2 wounds","Each time an attack with this model’s gaping maw targets an INFANTRY, MOUNTED or BEASTS unit, each successful unmodified Wound roll is a Critical Wound. Each time an INFANTRY, MOUNTED or BEASTS model is destroyed as a result of an attack made by this model’s gaping maw, this model regains up to D3+2 lost wounds.",,,2,
SYMBIOTIC_TARGETING,Symbiotic Targeting,"After this model shoots, friendly Tyranids re-roll Hit 1s vs that enemy. [RE-ROLL 1S TO HIT]","In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks. Until the end of the phase, each time a friendly TYRANIDS model makes an attack that targets that unit, re-roll a Hit roll of 1.",[RE-ROLL 1S TO HIT],[Range - Combat Modifiers],2,
TERROR_FROM_THE_DEEP,Terror From The Deep,"Deep Strike: each enemy 12"" takes D3 MW (2-4) or 3 MW + Battle-shock (5+). [DEEP STRIKE]","Each time this model is set up on the battlefield using the Deep Strike ability, roll one D6 for each enemy unit within 12"" of this model: on a 2-4, that unit suffers D3 mortal wounds; on a 5+, that unit suffers 3 mortal wounds and must take a Battle-shock test.",[DEEP STRIKE],[Unit Rules],2,
TRYGON_PRIME,Trygon Prime,Trygon Prime  Enhancement included in points and weapon profiles.,"Trygon Prime  Enhancement included in points and weapon profiles. Including the CHARACTER, SYNAPSE +1 WS and +1 Strength.",,,2,
UNNATURAL_RESILIENCE,Unnatural Resilience,FNP 4+ vs mortal wounds. [FNP 4+],This model has the FNP 4+ ability against mortal wounds.,[FNP 4+],[Unit Rules],2,
UNSTOPPABLE_MONSTER,Unstoppable Monster,"EACH Command, regain D3 wounds.","At the start of each player’s Command phase, this model regains up to D3 lost wounds.",,,2,
VANGUARD_PREDATOR,Vanguard Predator,"Re-roll To Hit of 1.
Target on obj, re-roll To Wound of 1 [RE-ROLL 1S TO HIT] [RE-ROLL 1S TO HIT] [RE-ROLL 1S TO WOUND] [RE-ROLL 1S TO WOUND]","Each time a model in this unit makes an attack, re-roll a Hit roll of 1. If the target is within range of one or more objective markers, re-roll a Wound roll of 1 as well.",[RE-ROLL 1S TO HIT] [RE-ROLL 1S TO HIT] [RE-ROLL 1S TO WOUND] [RE-ROLL 1S TO WOUND],[Melee - Combat Modifiers] [Range - Combat Modifiers] [Melee - Combat Modifiers] [Range - Combat Modifiers],2,
VICIOUS_INSIGHT,Vicious Insight,Leading. Unit has DEVASTATING WOUNDS. [DEVASTATING WOUNDS] [DEVASTATING WOUNDS],"While this model is leading a unit, weapons equipped by models in that unit have the [DEVASTATING WOUNDS] ability.",[DEVASTATING WOUNDS] [DEVASTATING WOUNDS],[Melee - Weapon Rules] [Range - Weapon Rules],2,
WARP_FIELD_AURA_AND_PSYCHIC,Warp Field (Aura & Psychic),"Friendly 6"" have 6++ [INVULNERABLE SAVE 6+]","While a friendly TYRANIDS unit is within 6"" of this unit, models in that unit have a 6+ invulnerable save.",[INVULNERABLE SAVE 6+],[Unit Rules],2,
WILL_OF_THE_HIVE_MIND,Will of the Hive Mind,"Once per battle round, units within 12"" have -1 CP cost.","Once per battle round, one model from your army with this ability can use it when a friendly Tyranids unit within 12"" of that model is targeted with a Stratagem. If it does, reduce the CP cost of that usage of that Stratagem by 1CP",,,2,
WINGED_SWARM,Winged Swarm,"After shooting, if unengaged: Normal move 6"". Cannot charge that turn.","In your Shooting phase, after this unit has shot, if it is not within Engagement Range of any enemy units, it can make a Normal move of up to 6"". If it does, until the end of the turn, this unit is not eligible to declare a charge.",,,2,
HARPOON_BARBS,Harpoon Barbs,"Once per turn, enemy that Falls Back from Engagement: 2+ suffers D6 mortal wounds.","Once per turn, when an enemy unit within Engagement Range of this model is selected to Fall Back, roll one D6: on a 2+, that unit suffers D6 mortal wounds.",,,2,
FOUL_SPORES_AURA,Foul Spores (Aura),"Friendly TYRANIDS within 6"" have Stealth. [STEALTH]","Friendly TYRANIDS units within 6"" of this unit have the Stealth ability.",[STEALTH],[Unit Rules],2,
TYRANNOFEX_ACID_SPRAY_POINTS,Acid Spray,+10 Pts [+10 Pts],Each Tyrannofex equipped with an Acid Spray costs +10 points.,[+10 Pts],[Points],3,
TYRANNOFEX_RUPTURE_CANNON_POINTS,Rupture Cannon,+20 Pts [+20 Pts],Each Tyrannofex equipped with a Rupture Cannon costs +20 points.,[+20 Pts],[Points],3,
ALPHA_WARRIOR_TYRANID_PRIME_WITH_LASH_WHIP,Alpha Warrior,UNIT all weapons: SUSTAIN 1 [SUSTAINED HITS 1] [SUSTAINED HITS 1],Weapons equipped by models in this model's unit have the [SUSTAINED HITS 1] ability.,[SUSTAINED HITS 1] [SUSTAINED HITS 1],[Melee - Weapon Rules] [Range - Weapon Rules],2,
AGGRESSIVE_LEADER_BEAST,Aggressive Leader-beast,"Enemy shoots and destroys a model
Surge up to D6""","In your opponent's Shooting phase, when an enemy unit has shot, if a model in this unit was destroyed by those attacks, this unit can make a surge move of up to D6"".",,,2,
LEADER_TYRANID_PRIME_WITH_LASH_WHIP,Leader: Tyranid Prime with Lash Whip,"Leader: Gaunts, Warriors","LEADER: HORMAGAUNTS, TERMAGANTS, TYRANID WARRIORS WITH MELEE BIO-WEAPONS, TYRANID WARRIORS WITH RANGED BIO-WEAPONS",,,3,
