Loadout_Option_ID,Required_Group_ID,Compatible_Option_ID,Rule_Order,Option_Order,Compatibility_ID
CARNIFEXES__EXTRA_SCYTHING_TALONS__HEAVY_VENOM_CANNON,SCYTHING_TALONS,CARNIFEX_SCYTHING_TALONS,1,1,CARNIFEXES__EXTRA_SCYTHING_TALONS__HEAVY_VENOM_CANNON__TO__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS
CARNIFEXES__EXTRA_SCYTHING_TALONS__HEAVY_VENOM_CANNON,SCYTHING_TALONS,DEATHSPITTERS_WITH_SLIMER_MAGGOTS,1,2,CARNIFEXES__EXTRA_SCYTHING_TALONS__HEAVY_VENOM_CANNON__TO__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS
CARNIFEXES__EXTRA_SCYTHING_TALONS__HEAVY_VENOM_CANNON,SCYTHING_TALONS,DEVOURERS_WITH_BRAINLEECH_WORMS,1,3,CARNIFEXES__EXTRA_SCYTHING_TALONS__HEAVY_VENOM_CANNON__TO__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS
CARNIFEXES__EXTRA_SCYTHING_TALONS__HEAVY_VENOM_CANNON,SCYTHING_TALONS,CARNIFEX_CRUSHING_CLAWS,1,4,CARNIFEXES__EXTRA_SCYTHING_TALONS__HEAVY_VENOM_CANNON__TO__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS
CARNIFEXES__EXTRA_SCYTHING_TALONS__STRANGLETHORN_CANNON,SCYTHING_TALONS,CARNIFEX_SCYTHING_TALONS,1,1,CARNIFEXES__EXTRA_SCYTHING_TALONS__STRANGLETHORN_CANNON__TO__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS
CARNIFEXES__EXTRA_SCYTHING_TALONS__STRANGLETHORN_CANNON,SCYTHING_TALONS,DEATHSPITTERS_WITH_SLIMER_MAGGOTS,1,2,CARNIFEXES__EXTRA_SCYTHING_TALONS__STRANGLETHORN_CANNON__TO__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS
CARNIFEXES__EXTRA_SCYTHING_TALONS__STRANGLETHORN_CANNON,SCYTHING_TALONS,DEVOURERS_WITH_BRAINLEECH_WORMS,1,3,CARNIFEXES__EXTRA_SCYTHING_TALONS__STRANGLETHORN_CANNON__TO__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS
CARNIFEXES__EXTRA_SCYTHING_TALONS__STRANGLETHORN_CANNON,SCYTHING_TALONS,CARNIFEX_CRUSHING_CLAWS,1,4,CARNIFEXES__EXTRA_SCYTHING_TALONS__STRANGLETHORN_CANNON__TO__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS,SCYTHING_TALONS,CARNIFEX_SCYTHING_TALONS,1,1,CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS__TO__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS,SCYTHING_TALONS,DEATHSPITTERS_WITH_SLIMER_MAGGOTS,1,2,CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS__TO__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS,SCYTHING_TALONS,DEVOURERS_WITH_BRAINLEECH_WORMS,1,3,CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS__TO__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS,SCYTHING_TALONS,CARNIFEX_CRUSHING_CLAWS,1,4,CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS__TO__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS
CARNIFEXES__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS,BIO_PLASMA,NONE,1,1,CARNIFEXES__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS__TO__BIO_PLASMA__NONE
CARNIFEXES__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS,BIO_PLASMA,BIO_PLASMA,1,2,CARNIFEXES__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS__TO__BIO_PLASMA__BIO_PLASMA
CARNIFEXES__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS,BIO_PLASMA,NONE,1,1,CARNIFEXES__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS__TO__BIO_PLASMA__NONE
CARNIFEXES__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS,BIO_PLASMA,BIO_PLASMA,1,2,CARNIFEXES__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS__TO__BIO_PLASMA__BIO_PLASMA
CARNIFEXES__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS,BIO_PLASMA,NONE,1,1,CARNIFEXES__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS__TO__BIO_PLASMA__NONE
CARNIFEXES__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS,BIO_PLASMA,BIO_PLASMA,1,2,CARNIFEXES__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS__TO__BIO_PLASMA__BIO_PLASMA
CARNIFEXES__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS,BIO_PLASMA,NONE,1,1,CARNIFEXES__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS__TO__BIO_PLASMA__NONE
CARNIFEXES__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS,BIO_PLASMA,BIO_PLASMA,1,2,CARNIFEXES__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS__TO__BIO_PLASMA__BIO_PLASMA
CARNIFEXES__BIO_PLASMA__NONE,SPINE_BANKS,NONE,1,1,CARNIFEXES__BIO_PLASMA__NONE__TO__SPINE_BANKS__NONE
CARNIFEXES__BIO_PLASMA__NONE,SPINE_BANKS,SPINE_BANKS,1,2,CARNIFEXES__BIO_PLASMA__NONE__TO__SPINE_BANKS__SPINE_BANKS
CARNIFEXES__BIO_PLASMA__BIO_PLASMA,SPINE_BANKS,NONE,1,1,CARNIFEXES__BIO_PLASMA__BIO_PLASMA__TO__SPINE_BANKS__NONE
CARNIFEXES__BIO_PLASMA__BIO_PLASMA,SPINE_BANKS,SPINE_BANKS,1,2,CARNIFEXES__BIO_PLASMA__BIO_PLASMA__TO__SPINE_BANKS__SPINE_BANKS
