Unit_ID,Unit Name,Ability_IDs,Core_Ability_IDs,Weapon_IDs,"M""",T,SV,W,LD,OC,Keywords,Hyperlink,Points_Label_1,Points_Cost_1,Points_Label_2,Points_Cost_2,Points_Label_3,Points_Cost_3,Points_Label_4,Points_Cost_4,Points_Label_5,Points_Cost_5
HIVE_TYRANT,Hive Tyrant,"WILL_OF_THE_HIVE_MIND, ONSLAUGHT_AURA_PSYCHIC, LEADER_HIVE_TYRANT",DEADLY_DEMISE_D3,"MONSTROUS_BONESWORD_AND_LASH_WHIP, MONSTROUS_SCYTHING_TALONS","8""",10,2+ / 4++,10,7,3,"MONSTER, CHARACTER, PSYKER, GREAT DEVOURER, SYNAPSE, HIVE TYRANT",https://wahapedia.ru/wh40k11ed/factions/tyranids/Hive-Tyrant,,195,,,,,,,,
HORMAGAUNTS,Hormagaunts,BOUNDING_LEAP,,HORMAGAUNT_TALONS,"10""",3,5+,1,8,2,"INFANTRY, BATTLELINE, GREAT DEVOURER, ENDLESS MULTITUDE, HORMAGAUNTS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Hormagaunts,x10,70,10x2,140,x20,120,,,,
HYPERADAPTED_RAVENERS,Hyperadapted Raveners,"ALPHA_INVADER, HYPERSENSORY_ARRAY, RAVENER_PRIME, LEADER_HYPERADAPTED_RAVENERS",DEEP_STRIKE,"VENOM_BOLT, RAVENER_HEAVY_CLAWS_AND_TALONS, PRIME_CLAWS_AND_TALONS","10""",5,4+,3,7,1,"ALL MODELS: INFANTRY, GREAT DEVOURER, VANGUARD INVADER, BURROWERS, HYPERADAPTED RAVENERS
RAVENER PRIME: CHARACTER, SYNAPSE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Hyperadapted-Raveners,x5,165,5x2,330,5x3,505,,,,
LICTOR,Lictor,"FEEDER_TENDRILS, PHEROMONE_TRAIL","FIGHTS_FIRST, INFILTRATORS, LONE_OPERATIVE, STEALTH",LICTOR_CLAWS_AND_TALONS,"8""",6,4+,6,7,1,"INFANTRY, GREAT DEVOURER, VANGUARD INVADER, LICTOR",https://wahapedia.ru/wh40k11ed/factions/tyranids/Lictor,x1,60,x2,120,x3,180,,,,
MALECEPTOR,Maleceptor,ENCEPHALIC_DIFFUSION_AURA_AND_PSYCHIC,"DEADLY_DEMISE_D3, DAMAGED_1_5","PSYCHIC_OVERLOAD, MASSIVE_SCYTHING_TALONS_STRIKE_MALECEPTOR, MASSIVE_SCYTHING_TALONS_SWEEP_MALECEPTOR","8""",11,3+ / 4++,14,7,4,"MONSTER, PSYKER, GREAT DEVOURER, SYNAPSE, MALECEPTOR",https://wahapedia.ru/wh40k11ed/factions/tyranids/Maleceptor,x1,180,x2,360,,,,,,
MAWLOC,Mawloc,TERROR_FROM_THE_DEEP,"DEEP_STRIKE, DAMAGED_1_5","DISTENSIBLE_JAW, MAWLOC_SCYTHING_TALONS","10""",10,3+,14,8,4,"MONSTER, GREAT DEVOURER, VANGUARD INVADER, MAWLOC, BURROWER",https://wahapedia.ru/wh40k11ed/factions/tyranids/Mawloc,,135,,,,,,,,
NEUROGAUNTS,Neurogaunts,NEUROCYTES,,CHITINOUS_CLAWS_AND_TEETH,"6""",3,6+,1,8,1,"INFANTRY, GREAT DEVOURER, ENDLESS MULTITUDE, NEUROGAUNTS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Neurogaunts,x11,45,x22,90,,,,,,
NEUROLICTOR,Neurolictor,"FEEDER_TENDRILS, NEURAL_DISRUPTION, PSYCHOLOGICAL_SABOTEUR_AURA","INFILTRATORS, LONE_OPERATIVE, STEALTH",PIERCING_CLAWS_AND_TALONS,"8""",5,4+ / 4++,7,7,1,"INFANTRY, GREAT DEVOURER, VANGUARD INVADER, SYNAPSE, NEUROLICTOR",https://wahapedia.ru/wh40k11ed/factions/tyranids/Neurolictor,,80,,,,,,,,
NEUROTYRANT,Neurotyrant,"NODE_LASH_PSYCHIC, PSYCHIC_TERROR_PSYCHIC, NEUROLOIDS, LEADER_NEUROTYRANT",,"PSYCHIC_SCREAM, NEUROTYRANT_CLAWS_AND_LASHES","6""",8,4+ / 4++,9,7,3,"MONSTER, CHARACTER, FLY, PSYKER, GREAT DEVOURER, SYNAPSE, NEUROTYRANT",https://wahapedia.ru/wh40k11ed/factions/tyranids/Neurotyrant,,115,,,,,,,,
NORN_ASSIMILATOR,Norn Assimilator,"SINGULAR_PURPOSE, HARPOON_BARBS","DEADLY_DEMISE_D6, DAMAGED_1_5","TOXINJECTOR_HARPOON, TOXINJECTOR_HARPOON_MELEE, MONSTROUS_SCYTHING_TALONS_NORN","10""",11,2+,16,7+,5,"MONSTER, GREAT DEVOURER, SYNAPSE, HARVESTER, NORN ASSIMILATOR",https://wahapedia.ru/wh40k11ed/factions/tyranids/Norn-Assimilator,1st,250,2nd+,270,,,,,,
NORN_EMISSARY,Norn Emissary,"SINGULAR_PURPOSE, UNNATURAL_RESILIENCE","DEADLY_DEMISE_D6, DAMAGED_1_5","PSYCHIC_TENDRIL_NEUROPARASITE, PSYCHIC_TENDRIL_NEUROBLAST, PSYCHIC_TENDRIL_NEUROLANCE, MONSTROUS_SCYTHING_TALONS_NORN, MONSTROUS_RENDING_CLAWS_NORN","10""",11,2+ / 4++,16,7,5,"MONSTER, PSYKER, GREAT DEVOURER, SYNAPSE, NORN EMISSARY",https://wahapedia.ru/wh40k11ed/factions/tyranids/Norn-Emissary,,250,,,,,,,,
OLD_ONE_EYE,Old One Eye,"ALPHA_LEADER, UNSTOPPABLE_MONSTER, LEADER_OLD_ONE_EYE",FEEL_NO_PAIN_5,"OLD_ONE_EYES_CLAWS_AND_TALONS_SWEEP, OLD_ONE_EYES_CLAWS_AND_TALONS_STRIKE","8""",9,2+,9,8,3,"MONSTER, CHARACTER, EPIC HERO, GREAT DEVOURER, OLD ONE EYE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Old-One-Eye,,140,,,,,,,,
PSYCHOPHAGE,Psychophage,"BIO_STIMULUS, FEEDING_FRENZY","DEADLY_DEMISE_1, FEEL_NO_PAIN_5","PSYCHOCLASTIC_TORRENT, TALONS_AND_BETENTACLED_MAW","12""",9,3+,10,8,3,"MONSTER, GREAT DEVOURER, SMOKE, HARVESTER, PSYCHOPHAGE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Psychophage,,110,,,,,,,,
PYROVORE,Pyrovore,BURNING_SPRAY,DEADLY_DEMISE_1,"FLAMESPURT, CHITIN_BARBED_LIMBS","5""",6,3+,5,8,1,"INFANTRY, GREAT DEVOURER, HARVESTER, PYROVORES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Pyrovores,,45,,,,,,,,
RAVENERS,Raveners,DEATH_FROM_BELOW,DEEP_STRIKE,RAVENER_CLAWS_AND_TALONS,"10""",5,4+,3,8,1,"INFANTRY, GREAT DEVOURER, VANGUARD INVADER, RAVENERS, BURROWERS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Raveners,x5,125,5x2,250,5x3,385,,,,
SCREAMER_KILLER,Screamer-Killer,DEATH_SCREAM,DEADLY_DEMISE_1,"BIO_PLASMIC_SCREAM, SCREAMER_KILLER_TALONS","8""",9,2+,10,8,3,"MONSTER, GREAT DEVOURER, SCREAMER-KILLER",https://wahapedia.ru/wh40k11ed/factions/tyranids/Screamer-killer,,125,,,,,,,,
TERMAGANTS,Termagants,SKULKING_HORRORS,,"FLESHBORER, CHITINOUS_CLAWS_AND_TEETH_GAUNTS","6""",3,5+,1,8,2,"INFANTRY, BATTLELINE, GREAT DEVOURER, ENDLESS MULTITUDE, TERMAGANTS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Termagants,x10,60,10x2,120,10x3,180,x20,110,20x2,240
TERVIGON,Tervigon,"SPAWN_TERMAGANTS, BROOD_PROGENITOR_AURA_AND_PSYCHIC","DEADLY_DEMISE_D6, DAMAGED_1_5","STINGER_SALVOES, MASSIVE_SCYTHING_TALONS_STRIKE, MASSIVE_SCYTHING_TALONS_SWEEP","8""",11,2+,16,7,5,"MONSTER, CHARACTER, PSYKER, GREAT DEVOURER, SYNAPSE, TERVIGON",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tervigon,,160,,,,,,,,
THE_RED_TERROR,The Red Terror,"SWALLOW_WHOLE, SUBTERRANEAN_HUNTER, SERPENTINE_FIEND",DEEP_STRIKE,"GAPING_MAW_RED_TERROR, SCYTHING_TALONS_RED_TERROR","10""",8,3+,9,8,3,"CHARACTER, EPIC HERO, GREAT DEVOURER, MONSTER, BURROWER, VANGUARD INVADER, THE RED TERROR",https://wahapedia.ru/wh40k11ed/factions/tyranids/The-Red-Terror,,130,,,,,,,,
THE_SWARMLORD,The Swarmlord,"HIVE_COMMANDER, MALIGN_PRESENCE_AURA, DOMINATION_OF_THE_HIVE_MIND_AURA, LEADER_THE_SWARMLORD",DEADLY_DEMISE_D3,"SYNAPTIC_PULSE, BONE_SABRES","8""",10,2+ / 4++,10,7,3,"MONSTER, CHARACTER, EPIC HERO, PSYKER, GREAT DEVOURER, SYNAPSE, HIVE TYRANT, THE SWARMLORD",https://wahapedia.ru/wh40k11ed/factions/tyranids/The-Swarmlord,,210,,,,,,,,
TOXICRENE,Toxicrene,"GRASPING_TENDRILS, HYPERTOXIC_MIASMA_AURA",DEADLY_DEMISE_D3,"MASSIVE_TOXIC_LASHES_RANGE, MASSIVE_TOXIC_LASHES_MELEE","8""",11,3+,14,8,1,"MONSTER, GREAT DEVOURER, TOXICRENE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Toxicrene,,135,,,,,,,,
TRYGON,Trygon,SUBTERRANEAN_TUNNELS,"DEEP_STRIKE, DAMAGED_1_5","BIO_ELECTRIC_PULSE, TRYGON_SCYTHING_TALONS","10""",10,3+,14,8,4,"MONSTER, GREAT DEVOURER, VANGUARD INVADER, TRYGON",https://wahapedia.ru/wh40k11ed/factions/tyranids/Trygon,,140,,,,,,,,
TRYGON_HQ,Trygon HQ,SUBTERRANEAN_TUNNELS,"DEEP_STRIKE, DAMAGED_1_5","BIO_ELECTRIC_PULSE, TRYGON_SCYTHING_TALONS","10""",10,3+,14,8,4,"MONSTER, GREAT DEVOURER, VANGUARD INVADER, TRYGON, CHARACTER",https://wahapedia.ru/wh40k11ed/factions/tyranids/Trygon,,140,,,,,,,,
TRYGON_PRIME,Trygon Prime,"SUBTERRANEAN_TUNNELS, TRYGON_PRIME","DEEP_STRIKE, DAMAGED_1_5","BIO_ELECTRIC_PULSE, TRYGON_SCYTHING_TALONS_TRYGON_PRIME","10""",10,3+,14,8,4,"MONSTER, GREAT DEVOURER, VANGUARD INVADER, TRYGON, CHARACTER, SYNAPSE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Trygon,,160,,,,,,,,
TYRANID_WARRIORS_WITH_MELEE_BIO_WEAPONS,Tyranid Warriors With Melee Bio-weapons,ADAPTIVE_INSTINCTS,,TYRANID_WARRIOR_CLAWS_AND_TALONS_MELEE_WARRIORS,"6""",5,4+,3,7,2,"INFANTRY, GREAT DEVOURER, SYNAPSE, TYRANID WARRIORS WITH MELEE BIO-WEAPONS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tyranid-Warriors-With-Melee-Bio-weapons,x3,75,x6,150,,,,,,
TYRANID_WARRIORS_WITH_RANGED_BIO_WEAPONS,Tyranid Warriors With Ranged Bio-weapons,ADAPTABLE_PREDATORS,,"DEATHSPITTER, TYRANID_WARRIOR_CLAWS_AND_TALONS","6""",5,4+,3,7,2,"INFANTRY, GREAT DEVOURER, SYNAPSE, TYRANID WARRIORS WITH RANGED BIO-WEAPONS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tyranid-Warriors-With-Ranged-Bio-weapons,x3,60,,,,,,,,
TYRANNOFEX_ACID_SPRAY,Tyrannofex - Acid Spray,RESILIENT_ORGANISM,"DEADLY_DEMISE_D6, DAMAGED_1_5","ACID_SPRAY_TYRANNOFEX, STINGER_SALVOES, POWERFUL_LIMBS_TYRANNOFEX","9""",12,2+,16,8,5,"MONSTER, GREAT DEVOURER, TYRANNOFEX",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tyrannofex,,200,,,,,,,,
TYRANNOFEX_RUPTURE_CANNON,Tyrannofex - Rupture cannon,RESILIENT_ORGANISM,"DEADLY_DEMISE_D6, DAMAGED_1_5","RUPTURE_CANNON, STINGER_SALVOES, POWERFUL_LIMBS_TYRANNOFEX","9""",12,2+,16,8,5,"MONSTER, GREAT DEVOURER, TYRANNOFEX",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tyrannofex,,200,,,,,,,,
TYRANT_GUARD_BONE_CLEAVER,Tyrant Guard - Bone cleaver,GUARDIAN_ORGANISM,,BONE_CLEAVER_WITH_LASH_WHIP_AND_RENDING_CLAWS,"6""",8,3+,4,8,1,"INFANTRY, GREAT DEVOURER, TYRANT GUARD",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tyrant-Guard,,80,,,,,,,,
TYRANT_GUARD_CLAWS,Tyrant Guard - Claws,GUARDIAN_ORGANISM,,CRUSHING_CLAWS_AND_RENDING_CLAWS,"6""",8,3+,4,8,1,"INFANTRY, GREAT DEVOURER, TYRANT GUARD",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tyrant-Guard,x3,80,x6,160,,,,,,
VENOMTHROPES,Venomthropes,FOUL_SPORES_AURA,STEALTH,TOXIC_LASHES,"6""",5,4+,3,8,1,,https://wahapedia.ru/wh40k11ed/factions/tyranids/Venomthropes,,55,,,,,,,,
VON_RYANS_LEAPERS,Von Ryan's Leapers,POUNCING_LEAP,"FIGHTS_FIRST, INFILTRATORS, STEALTH",LEAPERS_TALONS,"10""",5,4+ / 6++,3,8,1,"INFANTRY, GREAT DEVOURER, VANGUARD INVADER, VON RYAN’S LEAPERS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Von-Ryan-s-Leapers,,60,,,,,,,,
WINGED_HIVE_TYRANT,Winged Hive Tyrant,"WILL_OF_THE_HIVE_MIND, PAROXYSM_PSYCHIC","DEEP_STRIKE, DEADLY_DEMISE_D3","MONSTROUS_BONESWORD_AND_LASH_WHIP, MONSTROUS_SCYTHING_TALONS","12""",9,2+ / 4++,10,7,3,"MONSTER, CHARACTER, PSYKER, FLY, GREAT DEVOURER, SYNAPSE, VANGUARD INVADER, HIVE TYRANT, WINGED HIVE TYRANT",https://wahapedia.ru/wh40k11ed/factions/tyranids/Winged-Hive-Tyrant,,185,,,,,,,,
WINGED_TYRANID_PRIME,Winged Tyranid Prime,"ALPHA_WARRIOR, DEATH_BLOW, LEADER_WINGED_TYRANID_PRIME",DEEP_STRIKE,PRIME_TALONS,"12""",5,4+,6,7,1,"INFANTRY, CHARACTER, FLY, GREAT DEVOURER, SYNAPSE, VANGUARD INVADER, WINGED TYRANID PRIME",https://wahapedia.ru/wh40k11ed/factions/tyranids/Winged-Tyranid-Prime,,65,,,,,,,,
ZOANTHROPES,Zoanthropes,"SPIRIT_LEECH_AURA_AND_PSYCHIC, WARP_FIELD_AURA_AND_PSYCHIC",,"WARP_BLAST_WITCHFIRE, WARP_BLAST_FOCUSED_WITCHFIRE, CHITINOUS_CLAWS_AND_TEETH_ZOANTHROPES","5""",5,5+ / 4++,3,7,1,"INFANTRY, PSYKER, FLY, GREAT DEVOURER, SYNAPSE, ZOANTHROPES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Zoanthropes,x3,100,x6,200,3x2,200,,,,
