Tag_ID,Display_Tag,Title,Category,Affects,Description,Editable,Effect_Type,Target,Stat,Operation,Value,Sort_Order
INFO_ENEMY_MINUS_1_TO_HIT,ENEMY -1 TO HIT,Enemy -1 To Hit,Informational - Enemy,Display only,An affected enemy suffers -1 to hit as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,905
INFO_OUTGOING_RANGE_MINUS_1_TO_HIT,OUTGOING RANGE -1 TO HIT,Outgoing Ranged -1 To Hit,Informational - Outgoing,Display only,Outgoing ranged attacks suffer -1 to hit in the condition described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,906
INFO_ENEMY_AUTOPASS_HAZARD,ENEMY AUTO-PASS HAZARD,Enemy Auto-pass Hazard,Informational - Enemy,Display only,An affected enemy automatically passes hazard rolls in the condition described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,907
INFO_TARGET_GETS_COVER,TARGET GETS COVER,Target Gets Cover,Informational - Enemy,Display only,The affected target receives the Benefit of Cover as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,908
INFO_ENEMY_MINUS_1_BATTLESHOCK,ENEMY -1 BATTLE-SHOCK,Enemy -1 Battle-shock,Informational - Enemy,Display only,An affected enemy suffers -1 to its Battle-shock roll as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,909
INFO_ENEMY_MINUS_2_BATTLESHOCK,ENEMY -2 BATTLE-SHOCK,Enemy -2 Battle-shock,Informational - Enemy,Display only,An affected enemy suffers -2 to its Battle-shock roll as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,910
INFO_ENEMY_MINUS_1_LD,ENEMY -1 LD,Enemy -1 Leadership,Informational - Enemy,Display only,An affected enemy suffers -1 Leadership as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,911
INFO_ENEMY_MINUS_2_M,ENEMY -2 M”,Enemy -2 Movement,Informational - Enemy,Display only,An affected enemy suffers -2 Movement as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,912
INFO_ENEMY_GROUNDED,ENEMY GROUNDED,Enemy Grounded,Informational - Enemy,Display only,An affected enemy is grounded as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,913
INFO_INCOMING_RANGE_HIT_1_3_FAILS,INCOMING RANGE HIT 1-3 FAILS,Incoming Ranged Hits 1-3 Fail,Informational - Incoming,Display only,Incoming ranged attacks fail on unmodified hit rolls of 1-3 as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,914
