Ability_ID,Ability Name,Short Description,Long Description
ASSAULT,ASSAULT,Unit can shoot using Assault Shooting,ASSAULT: Units containing one or more models with an [ASSAULT] weapon can shoot using Assault Shooting.
BLAST,BLAST,Add +1 attack die per 5 target models,"BLAST: Each time you gather attack dice for a [BLAST] weapon, add one additional attack die for every five models that were in the target unit in the Select Targets step, rounding down. If this ability takes the form [BLAST X], add X additional attack dice for every five target models instead."
CLEAVE (New),CLEAVE (New),Add +X attack dice per 5 target models if targeting one unit,"CLEAVE: This ability always takes the form [CLEAVE X]. Each time you gather attack dice for a [CLEAVE] weapon, if you only selected one target for all of that weapon’s attacks, add X additional attack dice for every five models that were in the target unit in the Select Targets step, rounding down."
CLEAVE 1,CLEAVE 1,Add +1 melee attack per 5 target models,"CLEAVE 1: When determining this melee weapon’s number of attacks, add 1 for every five models in the target unit, rounding down."
CLEAVE 2,CLEAVE 2,Add +2 attack dice per 5 target models if targeting one unit,"CLEAVE 2: Each time you gather attack dice for this weapon, if you only selected one target for all of this weapon’s attacks, add 2 additional attack dice for every five models that were in the target unit in the Select Targets step, rounding down."
CLOSE-QUARTERS,CLOSE-QUARTERS,Can shoot while engaged; must target engaged enemy,"CLOSE-QUARTERS: This weapon can be shot while the bearer’s unit is within Engagement Range, but must target one of those enemy units."
CLOSE-QUARTERS (New),CLOSE-QUARTERS (New),Unit can shoot using Close-Quarters Shooting,"CLOSE-QUARTERS: Units containing one or more models with a [CLOSE-QUARTERS] weapon can shoot using Close-Quarters Shooting. When using another shooting type, for each model in that unit, excluding MONSTER and VEHICLE models, select either one or more of its [CLOSE-QUARTERS] weapons or one or more of its other ranged weapons to make attacks with."
DAMAGED_1_10,Damaged 1-10,-1 to Hit while at 1-10 wounds remaining,"Damaged 1-5: While this model has 1-5 wounds remaining, subtract 1 from the Hit roll each time this model makes an attack."
DAMAGED_1_4,Damaged 1-4,-1 to Hit while at 1-4 wounds remaining,"Damaged 1-4: While this model has 1-4 wounds remaining, subtract 1 from the Hit roll each time this model makes an attack."
DAMAGED_1_5,Damaged 1-5,-1 to Hit while at 1-5 wounds remaining,"Damaged 1-5: While this model has 1-5 wounds remaining, subtract 1 from the Hit roll each time this model makes an attack."
DEADLY DEMISE (New),Deadly Demise (New),"On destruction, roll 6: units within 6"" suffer X mortal wounds","Deadly Demise: This ability always takes the form Deadly Demise X. Each time a model in this unit is destroyed, after units embarked within it have made their emergency disembark moves, roll one D6. On a 6, that model suffers a deadly demise. Each unit within 6"" of that model suffers a number of mortal wounds denoted by X. If X is a random number, roll separately for each unit within 6""."
DEADLY_DEMISE_1,Deadly Demise 1,"On 6, units within 6"" suffer 1 mortal wound","Deadly Demise 1: When this model is destroyed, roll one D6 before removing it from play. On a 6, each unit within 6"" suffers 1 mortal wound."
DEADLY_DEMISE_2D6,Deadly Demise 2D6,"On 6, units within 6"" suffer 2D6 mortal wounds","Deadly Demise D6: When this model is destroyed, roll one D6 before removing it from play. On a 6, each unit within 6"" suffers D6 mortal wounds. Roll separately for each affected unit."
DEADLY_DEMISE_D3,Deadly Demise D3,"On 6, units within 6"" suffer D3 mortal wounds","Deadly Demise D3: When this model is destroyed, roll one D6 before removing it from play. On a 6, each unit within 6"" suffers D3 mortal wounds. Roll separately for each affected unit."
DEADLY_DEMISE_D6,Deadly Demise D6,"On 6, units within 6"" suffer D6 mortal wounds","Deadly Demise D6: When this model is destroyed, roll one D6 before removing it from play. On a 6, each unit within 6"" suffers D6 mortal wounds. Roll separately for each affected unit."
DEEP STRIKE (New),Deep Strike (New),"Ingress: set up more than 8"" from enemies","Deep Strike: Each time this unit makes an ingress move, if every model in this unit has this ability, it can be set up anywhere on the battlefield that is more than 8"" horizontally from all enemy units, even within your opponent’s deployment zone."
DEEP_STRIKE,Deep Strike,"Set up in Reserves; arrive more than 9"" from enemies","Deep Strike: During the Declare Battle Formations step, if every model in this unit has this ability, you can set it up in Reserves instead of on the battlefield. In your Reinforcements step, set it up more than 9"" horizontally away from all enemy models."
DEVASTATING WOUNDS,DEVASTATING WOUNDS,Critical Wounds inflict mortal wounds; no saves,"DEVASTATING WOUNDS: Each time an attack with this weapon scores a Critical Wound, no saving throw can be made and the target suffers mortal wounds equal to the weapon’s Damage characteristic."
DEVASTATING WOUNDS (New),DEVASTATING WOUNDS (New),Critical Wound: inflict Damage as mortal wounds; excess does not spill over,"DEVASTATING WOUNDS: Each time an attack made with a [DEVASTATING WOUNDS] weapon results in a Critical Wound, the attack sequence ends and the target unit suffers mortal wounds equal to that weapon’s Damage characteristic. These mortal wounds are inflicted after resolving any normal damage inflicted by those attacks. Mortal wounds inflicted by a [DEVASTATING WOUNDS] weapon can damage a maximum of one model for each Critical Wound. Any remaining mortal wounds inflicted by that attack are lost."
EXTRA ATTACKS,EXTRA ATTACKS,Attack with this plus another melee weapon,"EXTRA ATTACKS: Each time the bearer fights, it makes attacks with this weapon in addition to one other melee weapon it is equipped with."
EXTRA ATTACKS (New),EXTRA ATTACKS (New),Attack with these weapons in addition to one other melee weapon,"EXTRA ATTACKS: Each time a unit containing one or more models with an [EXTRA ATTACKS] weapon fights, those models make attacks with those weapons in addition to any others. In the Select Weapons step, for each of those models, select all of that model’s [EXTRA ATTACKS] weapons and one of that model’s other melee weapons, if possible."
FEEL NO PAIN (New),Feel No Pain (New),Roll X+ to prevent a lost wound,"Feel No Pain: This ability always takes the form Feel No Pain X+. Each time a model with this ability would lose a wound, roll one D6. On an X+, that wound is not lost."
FEEL_NO_PAIN_5,Feel No Pain 5+,Ignore lost wounds on 5+,"Feel No Pain 5+: Each time this model would lose a wound, roll one D6. On a 5+, that wound is not lost."
FEEL_NO_PAIN_6,Feel No Pain 6+,Ignore lost wounds on 6+,"Feel No Pain 6+: Each time this model would lose a wound, roll one D6. On a 6+, that wound is not lost."
FIGHTS FIRST (New),Fights First (New),Unit is a Fights First unit while every model has this ability,"Fights First: While every model in a unit has this ability, that unit is a Fights First unit."
FIGHTS_FIRST,Fights First,Fight in the Fights First step,"Fights First: Units with this ability that are eligible to fight do so in the Fights First step, provided every model in the unit has this ability."
FIRING_DECK_11,Firing Deck 11,Firing Deck 11,"Firing Deck: This ability always takes the form Firing Deck X. In your Shooting phase, each time this TRANSPORT is selected to shoot, if one or more units are embarked within it, select up to X embarked models, excluding models whose units have already been selected to shoot this phase. For each selected model, select one of its ranged weapons, excluding [ONE SHOT] weapons. Until this TRANSPORT has resolved all of its attacks, it has all selected weapons in addition to its other weapons. Until the end of the turn, units embarked within this TRANSPORT are not eligible to shoot."
FIRING_DECK_12,Firing Deck 12,Firing Deck 12,"Firing Deck: This ability always takes the form Firing Deck X. In your Shooting phase, each time this TRANSPORT is selected to shoot, if one or more units are embarked within it, select up to X embarked models, excluding models whose units have already been selected to shoot this phase. For each selected model, select one of its ranged weapons, excluding [ONE SHOT] weapons. Until this TRANSPORT has resolved all of its attacks, it has all selected weapons in addition to its other weapons. Until the end of the turn, units embarked within this TRANSPORT are not eligible to shoot."
FIRING_DECK_6,Firing Deck 6,Firing Deck 6,"Firing Deck: This ability always takes the form Firing Deck X. In your Shooting phase, each time this TRANSPORT is selected to shoot, if one or more units are embarked within it, select up to X embarked models, excluding models whose units have already been selected to shoot this phase. For each selected model, select one of its ranged weapons, excluding [ONE SHOT] weapons. Until this TRANSPORT has resolved all of its attacks, it has all selected weapons in addition to its other weapons. Until the end of the turn, units embarked within this TRANSPORT are not eligible to shoot."
HAZARDOUS,HAZARDOUS,"After use, failed Hazardous test causes mortals","HAZARDOUS: After this unit resolves attacks, make one Hazardous test for each Hazardous weapon used. For each failed test, one equipped model suffers 3 mortal wounds."
HAZARDOUS (New),HAZARDOUS (New),"After shooting or fighting, make Hazard rolls for selected weapons","HAZARDOUS: Each time a unit is selected to shoot or selected to fight, after that unit has resolved all of its attacks, make a number of Hazard rolls for that unit equal to the number of [HAZARDOUS] weapons selected in the Select Weapons step."
HEAVY,HEAVY,Add +1 to Hit if Remained Stationary,"HEAVY: Each time an attack is made with this weapon, if the bearer’s unit Remained Stationary this turn, add 1 to that attack’s Hit roll."
HEAVY (New),HEAVY (New),"Add +1 to Hit if unengaged, not newly set up, and moved no more than 3""","HEAVY: In your Shooting phase, each time an attack is made with a [HEAVY] weapon, add 1 to the Hit roll if all of the following apply to the attacking unit: that unit is unengaged; that unit was not set up on the battlefield this turn; no model in that unit has moved more than 3"" this turn."
HOVER (New),Hover (New),"Takes to the Skies without subtracting 2""","Hover: Each time this unit takes to the skies, do not subtract 2"" from the maximum distance."
HUNTERz: MONSTER/VEHICLE,HUNTER: MONSTER/VEHICLE,Critical Hits automatically wound MONSTER/VEHICLE,"HUNTER: MONSTER/VEHICLE: Each time an attack made with this weapon against a MONSTER or VEHICLE unit results in a Critical Hit, that attack automatically wounds the target."
IGNORES COVER,IGNORES COVER,Target cannot get Benefit of Cover,"IGNORES COVER: Each time an attack is made with this weapon, the target cannot have the Benefit of Cover against that attack."
IGNORES COVER (New),IGNORES COVER (New),Target cannot receive Benefit of Cover,"IGNORES COVER: Each time an attack is made with an [IGNORES COVER] weapon, the target cannot have the Benefit of Cover against that attack, including from rules that give a model or unit the Benefit of Cover."
INDIRECT FIRE,INDIRECT FIRE,Can shoot targets not visible; penalties if none visible,"INDIRECT FIRE: This weapon can target units that are not visible. If no target models are visible, subtract 1 from Hit rolls, unmodified Hit rolls of 1-3 fail, and the target has Benefit of Cover."
INDIRECT FIRE (New),INDIRECT FIRE (New),Unit can shoot using Indirect Shooting,INDIRECT FIRE: Units containing one or more models with an [INDIRECT FIRE] weapon can shoot using Indirect Shooting.
INFILTRATORS,Infiltrators,"Deploy anywhere more than 9"" from enemy deployment and models","Infiltrators: During deployment, if every model in this unit has this ability, it can be set up anywhere on the battlefield that is more than 9"" horizontally away from the enemy deployment zone and all enemy models."
INFILTRATORS (New),Infiltrators (New),"Deploy more than 8"" from enemy deployment zone and enemy units","Infiltrators: During deployment, if every model in a unit has this ability, it can be set up anywhere on the battlefield that is more than 8"" horizontally from your opponent’s deployment zone and all enemy units."
LANCE,LANCE,Add +1 to Wound after Charge,"LANCE: Each time an attack is made with this weapon, if the bearer made a Charge move this turn, add 1 to that attack’s Wound roll."
LANCE (New),LANCE (New),Add +1 to Wound after Charge,"LANCE: Each time an attack is made with a [LANCE] weapon, if the attacking model’s unit made a Charge move this turn, add 1 to the Wound roll."
LEADER (New),Leader (New),See Attached Units rules,Leader: See Attached Units.
LEADER_CAPTAIN,Leader: Captain,Can lead listed non-Terminator and non-Gravis units,"Leader: This model can be attached to the following units: Assault Intercessor Squad; Bladeguard Veteran Squad; Company Heroes; Hellblaster Squad; Infernus Squad; Intercessor Squad; Sternguard Veteran Squad; Tactical Squad; Victrix Honour Guard. This model cannot be attached to a Bladeguard Veteran Squad unless equipped with a relic shield, and cannot be attached to a Hellblaster Squad unless equipped with a plasma pistol."
LEADER_LIEUTENANT,Leader: Lieutenant,Can lead listed units and can join one Captain or Chapter Master,Leader: This model can be attached to the following units: Assault Intercessor Squad; Bladeguard Veteran Squad; Company Heroes; Hellblaster Squad; Infernus Squad; Intercessor Squad; Sternguard Veteran Squad; Tactical Squad. You can attach this model to a unit it can lead even if one Captain or Chapter Master model has already been attached to it.
LEADER_SUBODEN_KHAN,Leader: Suboden Khan,Can lead Outriders,Leader: This model can be attached to Outrider Squad units.
LETHAL HITS,LETHAL HITS,Critical Hits automatically wound,"LETHAL HITS: Each time an attack is made with this weapon, a Critical Hit automatically wounds the target."
LETHAL HITS (New),LETHAL HITS (New),Critical Hit can automatically wound,"LETHAL HITS: Each time an attack made with a [LETHAL HITS] weapon results in a Critical Hit, you can choose for that attack to automatically wound the target. If you do, no Wound roll is made for that attack."
LONE_OPERATIVE,Lone Operative,"Cannot be shot unless attacker is within 12""","Lone Operative: Unless part of an Attached unit, this unit can only be selected as the target of a ranged attack if the attacking model is within 12""."
LONE_OPERATIVE_NEW,Lone Operative (New),"Not visible beyond 12""; INDIRECT FIRE cannot target beyond 12""","Lone Operative: Unless part of an Attached unit, this unit is not visible to enemy models unless they are within 12"" of this unit, and it cannot be targeted by [INDIRECT FIRE] weapons unless the attacking model is within 12"" of this unit. If this ability takes the form Lone Operative X"", replace 12"" with X""."
MELTA_2,MELTA 2,Add +2 Damage within half range,"Melta X: Each time a model makes an attack with a [MELTA] weapon, if the target unit was within half range of that weapon in the Select Targets step, until the attacking unit’s attacks have been resolved, add X to that weapon’s Damage characteristic."
ONE_SHOT,ONE SHOT,Can only attack once per battle,"One Shot: Each weapon with this ability can only be selected to make attacks with once per battle. If a destroyed model is returned to a unit, any One Shot weapons already used cannot be selected again. If a new unit is added to an army, its One Shot weapons can each be selected once per battle."
PISTOL,PISTOL,Can shoot in Engagement Range; cannot shoot with non-Pistols,"PISTOL: This weapon can be shot while the bearer’s unit is within Engagement Range, but must target one of those enemy units. Non-MONSTER and non-VEHICLE models cannot shoot Pistols and non-Pistol weapons together."
PISTOL_NEW,Pistol (New),Identical to CLOSE-QUARTERS,Pistol: [PISTOL] and [CLOSE-QUARTERS] are identical for all rules purposes. See [CLOSE-QUARTERS].
PRECISION,PRECISION,Can allocate wounds to visible CHARACTER in Attached unit,"PRECISION: Each time an attack made with this weapon wounds an Attached unit, if a CHARACTER model in that unit is visible, the attacker can allocate that attack to that CHARACTER model."
PRECISION_NEW,Precision (New),Visible CHARACTER group can become the allocation group,"Precision: While resolving attacks made with one or more [PRECISION] weapons, at the start of the Allocation Order step, if the target unit contains one or more CHARACTER models visible to one or more attacking models, the active player can select one allocation group containing one of those visible CHARACTER models. Until those attacks are resolved, or until that CHARACTER group is destroyed, that CHARACTER group is the current allocation group."
PSYCHIC,PSYCHIC,Wounds from this weapon count as Psychic Attacks,"PSYCHIC: If this weapon causes a unit to suffer one or more wounds, those wounds are considered to have been inflicted by a Psychic Attack."
PSYCHIC_NEW,Psychic (New),"Ignore BS, WS, and Hit roll modifiers","Psychic: Each time an attack is made with a [PSYCHIC] weapon, you can ignore any or all modifiers to that attack’s BS or WS characteristic and any or all modifiers to the Hit roll. Attacks made with [PSYCHIC] weapons are known as psychic attacks."
RAPID FIRE 1,RAPID FIRE 1,Add +1 attacks within half range,"RAPID FIRE 1: Each time this weapon targets a unit within half this weapon’s range, increase this weapon’s Attacks characteristic by 1."
RAPID FIRE 2,RAPID FIRE 2,Add +2 attacks within half range,"RAPID FIRE 2: Each time this weapon targets a unit within half this weapon’s range, increase this weapon’s Attacks characteristic by 2."
RAPID FIRE 3,RAPID FIRE 3,Add +3 attacks within half range,"RAPID FIRE 3: Each time this weapon targets a unit within half this weapon’s range, increase this weapon’s Attacks characteristic by 3."
RAPID FIRE 4,RAPID FIRE 4,Add +4 attacks within half range,"RAPID FIRE 4: Each time this weapon targets a unit within half this weapon’s range, increase this weapon’s Attacks characteristic by 4."
RAPID FIRE 8,RAPID FIRE 8,Add +8 attacks within half range,"RAPID FIRE 8: Each time this weapon targets a unit within half this weapon’s range, increase this weapon’s Attacks characteristic by 8."
RAPID FIRE D3,RAPID FIRE D3,Add +D3 attacks within half range,"RAPID FIRE D3: Each time this weapon targets a unit within half this weapon’s range, increase this weapon’s Attacks characteristic by D3."
RAPID_FIRE_NEW,Rapid Fire (New),Add +X attack dice within half range,"Rapid Fire X: Each time you gather attack dice for a [RAPID FIRE] weapon, add X additional attack dice if the target unit was within half range of that weapon in the Select Targets step."
SCOUTS_6,"Scouts 6""",Pre-battle: deploy from Reserves or make Scout Move,"Scouts X"": In the Resolve Pre-battle Abilities step, if every model in a unit has this ability, choose one: 

if the unit is in Strategic Reserves, set it up wholly within your deployment zone; 

if the unit is wholly within your deployment zone, it can make a Scout Move up to X""; 

or if the unit is embarked within a Dedicated Transport wholly within your deployment zone and every embarked model has Scouts, that Dedicated Transport can make a Scout Move."
SCOUTS_8,"Scouts 8""",Pre-battle: deploy from Reserves or make Scout Move,"Scouts X"": In the Resolve Pre-battle Abilities step, if every model in a unit has this ability, choose one: 

if the unit is in Strategic Reserves, set it up wholly within your deployment zone; 

if the unit is wholly within your deployment zone, it can make a Scout Move up to X""; 

or if the unit is embarked within a Dedicated Transport wholly within your deployment zone and every embarked model has Scouts, that Dedicated Transport can make a Scout Move."
SNAGGED,SNAGGED,Hit MONSTER/VEHICLE: Add +2 to Charge and blocks Overwatch,"SNAGGED: Each time this weapon scores a hit against a MONSTER or VEHICLE unit, until the end of the turn, if the bearer selects that unit as a charge target, add 2 to that Charge roll and that enemy unit cannot fire Overwatch at the bearer."
STEALTH,Stealth,-1 to ranged Hit rolls against this unit,"Stealth: If every model in this unit has this ability, each time a ranged attack is made against it, subtract 1 from that attack’s Hit roll."
STEALTH_NEW,Stealth (New),Gain Benefit of Cover against ranged attacks,"Stealth: If every model in a unit has this ability, each time a ranged attack targets that unit, that unit has the Benefit of Cover against that attack."
SUPER_HEAVY_WALKER_NEW,Super-Heavy Walker (New),Move through models and short terrain; optional MOBILE keyword,"Super-Heavy Walker: Each time a unit with this ability makes a Normal, Advance, or Fall Back move, models in that unit can move through models, including MONSTER and VEHICLE models but excluding TITANIC models, and can move horizontally through terrain features that are 4"" or less in height. Before moving, you can select for all models in that unit to have the MOBILE keyword until that move ends. If you do, when that move ends, roll one D6: on a 1, that unit is Battle-shocked."
SUPPORT_NEW,Support (New),Can be assigned to front-line squads,Support: See Attached Units.
SUSTAINED HITS 1,SUSTAINED HITS 1,Critical Hits score 1 additional hit,"SUSTAINED HITS 1: Each time an attack is made with this weapon, a Critical Hit scores 1 additional hit."
SUSTAINED HITS 2,SUSTAINED HITS 2,Critical Hits score 2 additional hits,"SUSTAINED HITS 2: Each time an attack is made with this weapon, a Critical Hit scores 2 additional hits."
SUSTAINED_HITS_NEW,Sustained Hits (New),Critical Hit scores X additional hits,"Sustained Hits X: Each time an attack made with a [SUSTAINED HITS] weapon results in a Critical Hit, that attack results in X additional hits on the target."
TORRENT_NEW,TORRENT,Automatically hits,"Torrent: Each time an attack is made with a [TORRENT] weapon, that attack automatically hits the target."
TWIN_LINKED_NEW,TWIN-LINKED,Re-roll the Wound roll,"Twin-Linked: Each time an attack is made with a [TWIN-LINKED] weapon, you can re-roll the Wound roll."
