Ability_ID,Ability Name,Short Description,Long Description
TRANSPORT_BATTLEWAGON,Transport (Battlewagon),"Transport capacity 22 Orks Infantry (Mega Armour/Jump Pack = 2, Ghaz = 4)",Transport: This model has a transport capacity of 22 ORKS INFANTRY models. Each MEGA ARMOUR / JUMP PACK model takes up the space of 2 models. Each GHAZGHKULL THRAKA model takes up the space of 4 models.
TRANSPORT_KILL_RIG,Transport (Kill Rig),Transport capacity 12 BEAST SNAGGA INFANTRY,Transport: This model has a transport capacity of 12 BEAST SNAGGA INFANTRY models.
TRANSPORT_SQUIGGOTH,Transport (Squiggoth),"Transport 10 Orks, Cannot Mega Armour or Ghaz","This model has a transport capacity of 10 ORKS INFANTRY models. If this model is equipped with a kannon, it has a transport capacity of 6 ORKS INFANTRY models. It cannot transport MEGA ARMOUR, JUMP PACK or Ghazghkull Thraka models."
TRANSPORT_STOMPA,Transport (Stompa),"Transport capacity 22 Orks Infantry (Mega/Jump=2, Ghaz=4)",This model has a transport capacity of 22 ORKS INFANTRY models. Each MEGA ARMOUR/JUMP PACK model takes up the space of 2 models. Each GHAZGHKULL THRAKA model takes up the space of 4 models.
TRANSPORT_TRUKK,Transport (Trukk),Capacity 12 ORKS INFANTRY (Mega Armour = 2; no Ghaz/Jump Pack),This model has a transport capacity of 12 ORKS INFANTRY models. It cannot transport GHAZGHKULL THRAKA/JUMP PACK models. Each MEGA ARMOUR model takes up the space of 2 models.
TROPHY_HUNTERS,Trophy Hunters,+1 to charge rolls,Trophy Hunters: This unit has +1 to charge rolls
UNIT_COMPOSITION_SQUIGHOG_BOYZ,Unit Composition,1 Nob + 3 Squighog Boyz,1-2 Nob On Smasha Squig 3-6 Squighog Boyz Every Nob on Smasha Squig is equipped with: slugga; big choppa; squig jaws. Every Squighog Boy is equipped with: saddlegit weapons; stikka; squig jaws.
UNIT_COMPOSITION_WARBIKERS,Unit Composition,"1 Boss Nob on Warbike, 2-5 Warbikers; Boss Nob has W4","Unit Composition: 1 Boss Nob on Warbike and 2-5 Warbikers. Every model is equipped with twin dakkagun and close combat weapon. Each Warbiker can be equipped with 1 slugga or 1 choppa. The Boss Nob on Warbike can be equipped with 1 slugga, 1 big choppa, or 1 power klaw. Boss Nob on Warbike has W4."
UNIT_COMPOSITION_BURNAS,Unit Composition (Burnas),1 Spanner to 4 Burnas,UNIT COMPOSITION 1-2 Spanners 4-8 Burna Boyz Every Spanner is equipped with: close combat weapon; big shoota. Every Burna Boy is equipped with: burna; cuttin’ flames.
WAAAGH_BANNER,Waaagh! Banner,This unit has +1 to charge rolls.,Waaagh! Banner: This unit has +1 to charge rolls.
WAAAGH_EFFIGY_AURA,Waaagh! Effigy (Aura),"Friendly ORKS within 12"": Add +1 to Battle-shock tests","Waaagh! Effigy (Aura): While a friendly ORKS unit is within 12"" of this model, each time you take a Battle-shock test for that unit, add 1 to that test."
WAAAGH_ENERGY,Waaagh! Energy,Psyker level 1 – uses listed psychic abilities.,Waaagh! Energy (psyker level 1): This model has the psychic abilities listed in the Psychic Abilities section (see left).
WAAAGH_WAZDAKKA,Waaagh! Wazdakka,IF Warlord: Warbikers gain Battleline,"Waaagh! Wazdakka: If this model is your WARLORD, WARBIKER units from your army have the BATTLELINE keyword."
WARGEAR_OPTIONS_NEW_BOYZ,Wargear Options - Boyz (New),Boss Nob can replace kustom shoota with kombi-shoota and kombi-rokkit,Wargear Options: The Boss Nob can have its 1 kustom shoota replaced with 1 kombi-shoota and 1 kombi-rokkit.
WARGEAR_OPTIONS_DEFFKOPTAS,Wargear Options (Deffkoptas),1 of 3 = kustom mega-blasta.,"For every 3 models in this unit, 1 Deffkopta can have its kopta rokkits replaced with 1 kustom mega-blasta."
WILD_RIDE,Wild Ride,"Ignore modifiers to Move, Advance or Charge",Wild Ride: You can ignore any or all modifiers to this unit’s Move characteristic and to Advance and Charge rolls made for this unit.
AERIAL_MANOEUVRE,Aerial Manoeuvre,"End of opponent’s turn: if unengaged, can return to Strategic Reserves","Aerial Manoeuvre: At the end of your opponent’s turn, if this unit is unengaged, you can place this unit in strategic reserves."
AMMO_RUNTS,Ammo Runts,Once per battle: +1 to Hit on ranged attacks,"Ammo Runts (Once per battle, per unit): In your Shooting phase, when this unit is selected to shoot, you can use this ability. If you do, this unit’s ranged attacks have +1 to hit rolls. Place any number of Ammo Runt tokens next to the unit, removing them when this ability is used."
BEASTSCENT,Beastscent (Psychic Level 1),Disembarking unit gets +1 to wound vs MONSTER/VEHICLE (risk battle-shock on 1),"Beastscent (psychic level 1): In your Movement phase, when a unit embarked within this unit is selected to make a disembark move, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. If you do: • On a 1, this unit is battle-shocked • That disembarking unit’s attacks that target a MONSTER/VEHICLE unit have +1 to wound rolls until the end of the turn"
BOMB_SQUIGS_TANKBUSTAS,Bomb Squigs (Tankbustas),"Once per turn (max twice/battle): after Normal move, D3 mortals on 3+ to visible enemy within 12""","Bomb Squigs (Once per turn, twice per battle, per unit): In your Movement phase, when this unit ends a normal move, you can select one visible enemy unit within 12"" of this unit and roll one D6: • On a 3+, that enemy unit suffers D3 mortal wounds. Place two Bomb Squig tokens next to the unit, removing one each time this ability is used."
BRUTAL_IMPACT,Brutal Impact,If charged this turn: attacks have +1 Damage,"Brutal Impact: If this unit made a charge move this turn, this unit’s attacks have +1D"
BUST_EM,Bust ’Em,After shooting: one hit enemy becomes busted. SPEED FREEKS get [LETHAL HITS] vs busted units,"Bust ’Em: In your Shooting phase, when this unit shoots, you can select one enemy unit hit by those attacks. That unit is busted until the end of the turn. • Friendly SPEED FREEKS units that target a busted unit have [LETHAL HITS]."
COMPOSITION_BATTLEWAGON,Unit Composition (Battlewagon),1 Battlewagon. Crushin’ Bulk.,UNIT COMPOSITION • 1 Battlewagon model  This model is equipped with: 1 Crushin' Bulk.  WARGEAR OPTIONS • This model can be equipped with 1 Wreckin' Ball. • This model can be equipped with up to 4 Big Shootas. • This model can be equipped with 1 Grabbin' Klaw.
COMPOSITION_BEAST_SNAGGA_BOYZ,Unit Composition (Beast Snagga Boyz),1-2 Nobs + 9-18 Boys. Optional Thump Gun per 10.,"UNIT COMPOSITION • 1-2 Nob models • 9-18 Beast Snagga Boy models  Every Nob is equipped with: 1 Power Snappa; 1 Slugga. Every Beast Snagga Boy is equipped with: 1 Choppa; 1 Slugga.  WARGEAR OPTIONS • For every 10 models in this unit, 1 Beast Snagga Boy model can be equipped with 1 Thump Gun."
COMPOSITION_BREAKA_BOYZ,Unit Composition (Breaka Boyz),1 Nob + 5 Breaka Boyz.,UNIT COMPOSITION • 1 Nob model • 5 Breaka Boy models  The Nob is equipped with: 1 Choppa; 1 Rokkit Pistol; 1 Smash Hammer. Every Breaka Boy is equipped with: 1 Smash Hammer.
COMPOSITION_DEFFKOPTAS,Unit Composition (Deffkoptas),"3-6 Deffkoptas. Choppa, Rokkit Launcha, Slugga, Spinnin’ Blades.","UNIT COMPOSITION • 3-6 Deffkopta models  Every model is equipped with: 1 Choppa; 1 Rokkit Launcha; 1 Slugga; 1 Spinnin' Blades.  WARGEAR OPTIONS • For every 3 models in this unit, 1 model can have their Rokkit Launcha replaced with 1 Kustom Mega-blasta."
COMPOSITION_FLASH_GITZ,Unit Composition (Flash Gitz),1 Kaptin + 4-9 Flash Gitz. Choppa + Snazzgun.,UNIT COMPOSITION • 1 Kaptin model • 4-9 Flash Gitz models  Every model is equipped with: 1 Choppa; 1 Snazzgun.
COMPOSITION_GHAZGHKULL,Unit Composition (Ghazghkull Thraka),The Prophet of the Waaagh! Epic Hero Warlord,"SUPREME COMMANDER If this model is in your army, it must be your WARLORD.  UNIT COMPOSITION • 1 Ghazghkull Thraka model  This model is equipped with: 1 Adamantine ’Eadbutt; 1 Gork’s Klaw; 1 Mork’s Roar."
COMPOSITION_GRETCHIN,Unit Composition (Gretchin),10-20 Gretchin. Scavenged Shivs + Grot blasta.,UNIT COMPOSITION • 10-20 Gretchin models  Every model is equipped with: 1 Scavenged Shivs; 1 Grot blasta.
COMPOSITION_KILL_RIG,Unit Composition (Kill Rig),"1 Kill Rig. Butcha Boyz, Eavy Lobba, horns, saws, Stikka, Wurrtower.",UNIT COMPOSITION • 1 Kill Rig model  This model is equipped with: 1 Butcha Boyz; 1 'Eavy Lobba; 1 Savage Horns and Hooves; 1 Saw Blades; 1 Stikka Kannon; 1 Wurrtower.
COMPOSITION_KOMMANDOS,Unit Composition (Kommandos),1 Nob + 9 Kommandos. Default Choppa + Slugga.,UNIT COMPOSITION • 1 Nob model • 9 Kommando models  Every model is equipped with: 1 Choppa; 1 Slugga.
COMPOSITION_NOBZ,Unit Composition (Nobz),5-10 Nobz. Default Kustom Krumpa + Kustom Shoota.,"UNIT COMPOSITION • 5-10 Nob models  Every model is equipped with: 1 Kustom Krumpa; 1 Kustom Shoota.  WARGEAR OPTIONS • For every 5 models in this unit, 1 model can have their Kustom Krumpa and Kustom Shoota replaced with 1 Big Skorcha and 1 Kustom Choppa. • For every 5 models in this unit, 1 model can have their Kustom Krumpa and Kustom Shoota replaced with 1 Kustom Big Shoota and 1 Kustom Choppa. • For every 5 models in this unit, 1 model can have their Kustom Krumpa and Kustom Shoota replaced with 1 Big Choppa. • For every 5 models in this unit, 1 model can have their Kustom Shoota replaced with 1 Paired Krumpas. • Any number of models can each have their Kustom Shoota replaced with 1 Kombi-rokkit."
COMPOSITION_SQUIGHOG_BOYZ,Unit Composition (Squighog Boyz),1-2 Nob on Smasha Squig + 3-6 Squighog Boyz.,UNIT COMPOSITION • 1-2 Nob on Smasha Squig models • 3-6 Squighog Boy models  Every Nob on Smasha Squig is equipped with: 1 Big Choppa; 1 Slugga; 1 Squig's Jaws. Every Squighog Boy is equipped with: 1 Saddlegit's Shiv; 1 Squig's Jaws; 1 Stikka.
COMPOSITION_STOMPA,Unit Composition (Stompa),"1 Stompa. 5 Big Shoota, Deffkannon, Mega-choppa, Skorcha, Supa-gatler.",UNIT COMPOSITION • 1 Stompa model  This model is equipped with: 5 Big Shoota; 1 Deffkannon and Supa-rokkits; 1 Mega-choppa; 1 Skorcha; 1 Supa-gatler.
COMPOSITION_STORMBOYZ,Unit Composition (Stormboyz),1 Nob + 4-9 Stormboyz.,UNIT COMPOSITION • 1 Nob model • 4-9 Stormboy models  The Nob is equipped with: 1 Kustom Choppa; 1 Slugga. Every Stormboy is equipped with: 1 Choppa; 1 Slugga.  WARGEAR OPTIONS • The Nob can have their Kustom Choppa replaced with 1 Power Klaw.
COMPOSITION_TANKBUSTAS,Unit Composition (Tankbustas),1 Nob + 5 Tankbustas. Busta Rokkit Launcha / Gitstikka / Rokkit Pistol.,UNIT COMPOSITION • 1 Nob model • 5 Tankbusta models  The Nob is equipped with: 1 Choppa; 2 Rokkit Pistol. Every Tankbusta is equipped with: 1 Busta Rokkit Launcha; 1 Gitstikka.  WARGEAR OPTIONS • The Nob can have their Rokkit Pistol replaced with 1 Smash Hammer. • 1 Tankbusta model can be equipped with one of the following:   ◦ 1 Busta Rokkit Launcha   ◦ 1 Pulsa Rokkit
COMPOSITION_WARBIKERS,Unit Composition (Warbikers),1 Biker Nob + 2-5 Warbikers.,UNIT COMPOSITION • 1 Biker Nob model • 2-5 Warbiker models  The Biker Nob is equipped with: 1 Kustom Choppa; 1 Dual Kombi-rokkit. Every Warbiker is equipped with: 1 Choppa; 1 Dual Dakkagun.
COMPOSITION_WARTRAKK,Unit Composition (Wartrakks),"1-2 Wartrakk. Kustom Choppa, Kustom Shoota, Multi-busta Launcha.",UNIT COMPOSITION • 1-2 Wartrakk models  Every model is equipped with: 1 Kustom Choppa; 1 Kustom Shoota; 1 Multi-busta Launcha.
DAMAGED_10,Damaged 10,"While 1-10 wounds remaining, subtract 1 from hit rolls",CORE: Damaged 10
DAMAGED_6,Damaged 6,"While this model has 1-6 wounds remaining, subtract 1 from hit rolls",CORE: Damaged 6
DA_GRAND_WARLORDS_LADZ,Da Grand Warlord’s Ladz,"Lone Operative while within 3"" of friendly Orks Infantry","Da Grand Warlord’s Ladz: While this unit is within 3"" of another friendly ORKS INFANTRY unit, this unit has Lone Operative."
DEADLY_DEMISE_2D6,Deadly Demise 2D6,"When destroyed, on 6s inflict 2D6 mortal wounds within 6""",CORE: Deadly Demise 2D6
DEADLY_DEMISE_D6,Deadly Demise D6,"When destroyed, roll D6: on 6 inflict D6 mortal wounds on units within 6""",CORE: Deadly Demise D6
DEEP_STRIKE,Deep Strike,Unit has the Deep Strike ability,CORE: Deep Strike
DOWNTRODDEN,Downtrodden,Each 2 Gretchin take 1 transport space (rounding up).,"Downtrodden: For the purposes of transport capacity, each 2 Gretchin models (rounding up) take up the space of 1 model."
FEEL_NO_PAIN_5,Feel No Pain 5+,CORE: Feel No Pain 5+,CORE: Feel No Pain 5+
FINDER_KEEPERZ,Finder Keeperz,Shooting: +1 AP if unit or target is on an objective,"Finder Keeperz: In your Shooting phase, if any of the following apply, this unit’s ranged attacks have +1 AP. • This unit is within range of an objective • The target of that attack is within range of an objective"
FIRING_DECK_11,Firing Deck 11,CORE: Firing Deck 11,CORE: Firing Deck 11
FOUND_EM,Found ’Em!,"Movement: select enemy within 12"" → +3"" detection range until end of turn","Found ’Em!: In your Movement phase, you can select one enemy unit within 12"" of this unit. That unit has +3"" detection range until the end of the turn. Place one Accusatory Grot token next to that enemy unit to remind you."
GET_OUT_DA_WAY,Get Out da Way!,"While charging, can move through models (except MONSTER/VEHICLE)","Get Out da Way!: While making a charge move, this unit can move through models (excluding MONSTER/VEHICLE models)."
HIGH_SPEED_CARNAGE,High-speed Carnage,If charged this turn: melee +1 S and +1 D,"High-speed Carnage: If this unit made a charge move this turn, this unit’s melee attacks have +1S and +1D."
IDOL_OF_BELLIGERENCE,Idol of Belligerence,Embarked unit that disembarks becomes riled up until start of your next turn,"Idol of Belligerence: In your Movement phase, when a unit embarked within this unit is selected to make a disembark move, that unit is riled up until the start of your next turn."
INFILTRATORS,Infiltrators,CORE: Infiltrators,CORE: Infiltrators
INVULNERABLE_SAVE_4,Invulnerable Save 4+,INVULNERABLE SAVE 4+,INVULNERABLE SAVE 4+
INVULNERABLE_SAVE_5,Invulnerable Save 5+,INVULNERABLE SAVE 5+,INVULNERABLE SAVE 5+
INVULNERABLE_SAVE_6,Invulnerable Save 6+,INVULNERABLE SAVE 6+,INVULNERABLE SAVE 6+
MAKARI_HOIST_DAT_BANNER,"Makari, Hoist Dat Banner!",Once per battle: rile up a number of Orks units equal to current battle round,"Makari, Hoist Dat Banner! (Once per battle, per army): In your Movement phase, you can select a number of friendly ORKS units equal to or less than the current battle round number. Those units are riled up until the start of your next turn. Place one Makari token next to the unit, removing it after this ability is used."
MOBBED,Mobbed,"After charge: engaged MONSTER/VEHICLE take Battle-shock (-1, or -2 if 13+ models)","Mobbed: When this unit ends a charge move, each enemy MONSTER/VEHICLE unit engaged with this unit makes a battle-shock roll: • With -1 to that battle-shock roll • Or with -2 to that battle-shock roll if this unit has 13+ models."
MOBILE_FORTRESS,Mobile Fortress,Ranged attacks targeting this model have -1 Damage,Mobile Fortress: Ranged attacks targeting this model have -1 D
NOWHERE_TO_HIDE,Nowhere to Hide,Attacks against hidden units have +1 to hit,Nowhere to Hide: This unit’s attacks that target a hidden unit have +1 to hit rolls.
PAIRED_KRUMPAS,Paired Krumpas,Kustom Krumpa attacks can re-roll hit and wound rolls,Paired Krumpas: Attacks made with this model’s Kustom Krumpa weapon can re-roll hit rolls and wound rolls.
ROKKIT_BARRAGE,Rokkit Barrage,After shooting: one hit enemy unit takes Battle-shock with -1,"Rokkit Barrage: In your Shooting phase, when this unit has shot, select one enemy unit hit by those attacks. That unit makes a battle-shock roll, with -1 to that battle-shock roll."
ROKKIT_CHARGE,Rokkit Charge,"If charged this turn: melee get +1 A, +1 S and [HAZARDOUS]","Rokkit Charge: When this unit is selected to fight, if this unit made a charge move this turn, you can use this ability. If you do, this unit’s melee attacks have: • +1 A and S • [HAZARDOUS]"
SPEEDNOB_SUPPORT,Speednob Support,"Within 3"" of friendly SPEED FREEKS (not Wartrakk): gains Lone Operative","Speednob Support: While each model in this unit is within 3"" of a friendly SPEED FREEKS unit (excluding WARTRAKK models), this unit has Lone Operative."
STEALTH,Stealth,CORE: Stealth,CORE: Stealth
SUPER_HEAVY_WALKER,Super-heavy Walker,CORE: Super-heavy Walker,CORE: Super-heavy Walker
TACTICAL_KNOW_WOTZ,Tactical Know-wotz,Can split into two units of 5 at start; assign Bomb Squig and Found ’Em! separately,"Tactical Know-wotz: In the Declare Battle Formations step, you can split this unit into two units, each with a starting strength of 5. If you do, select which one of those units will have the Bomb Squig ability and which one of those units will have the Found ’Em! ability."
WAAAGH_EFFIGY,Waaagh! Effigy,This unit is always riled up,Waaagh! Effigy: This unit is riled up.
WARPATH,Warpath (Psychic Level 1),Melee attacks gain [LETHAL HITS] and [PSYCHIC] (risk battle-shock on 1),"Warpath (psychic level 1): In the Fight phase, when this unit is selected to fight, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. If you do: • On a 1, this unit is battle-shocked • This unit’s melee attacks have [LETHAL HITS] and [PSYCHIC]."
WURRBOY,Wurrboy (Psyker Level 1),Has the psychic abilities Beastscent and Warpath,Wurrboy (psyker level 1): This model has the psychic abilities listed in the Psychic Abilities section (see left).
