Unit_ID,Unit Name,"M""",T,SV,W,LD,OC,Keywords,Hyperlink
SQUIGHOG_BOYZ,Squighog Boyz,"10""",6,4+ / 6++,3,7+,2,"MOUNTED, BEAST SNAGGA, EXPLOSIVES, MOBILE",https://wahapedia.ru/wh40k11ed/factions/orks/Squighog-Boyz
STOMPA,Stompa,"10""",14,2+ / 5++,30,6+,12,"VEHICLE, FRAME, TITANIC, TOWERING, TRANSPORT, WALKER",https://wahapedia.ru/wh40k11ed/factions/orks/Stompa
STORMBOYZ,Stormboyz,"12""",5,5+,1,7+,1,"INFANTRY, EXPLOSIVES, FLY, JUMP PACK",https://wahapedia.ru/wh40k11ed/factions/orks/Stormboyz
TANKBUSTAS,Tankbustas,"6""",5,4+,2,7+,1,"INFANTRY, EXPLOSIVES",https://wahapedia.ru/wh40k11ed/factions/orks/Tankbustas
TRUKK,Trukk,"12""",8,4+ / 6++,10,7+,2,"VEHICLE, DEDICATED TRANSPORT, FRAME, SPEED FREEKS, TRANSPORT",https://wahapedia.ru/wh40k11ed/factions/orks/Trukk
WARBIKERS,Warbikers,"12""",6,4+ / 6++,3,7+,2,"MOUNTED, EXPLOSIVES, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Warbikers
WARBOSS,Warboss,"6""",6,4+ / 5++,6,6+,1,"INFANTRY, CHARACTER, EXPLOSIVES, WARBOSS",https://wahapedia.ru/wh40k11ed/factions/orks/Warboss
WARTRAKK,Wartrakk,"12""",6,4+ / 6++,7,7+,3,"MOUNTED, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Wartrakk
WAZDAKKA_GUTSMEK,Wazdakka Gutsmek,"14""",8,3+ / 4++,10,6,3,"MOUNTED, VEHICLE, SPEED FREEKS, EPIC HERO, SMOKE, CHARACTER, WAZDAKKA GUTSMEK",https://wahapedia.ru/wh40k11ed/factions/orks/Wazdakka-Gutsmek
WEIRDBOY,Weirdboy,"6""",5,5+,4,7+,1,"INFANTRY, CHARACTER, PSYKER",https://wahapedia.ru/wh40k11ed/factions/orks/Weirdboy
ZODGROD_WORTSNAGGA,Zodgrod Wortsnagga,"6""",5,5+ / 6++,5,7+,1,"INFANTRY, CHARACTER",https://wahapedia.ru/wh40k11ed/factions/orks/Zodgrod-Wortsnagga
MEGANOBZ,Meganobz,"5""",6,2+,3,7+,1,"INFANTRY, EXPLOSIVES, MEGA ARMOUR",https://wahapedia.ru/wh40k11ed/factions/orks/Meganobz
NAZDREG,Nazdreg,"5""",7,2+ / 5++,8,6+,1,"INFANTRY, CHARACTER, EPIC HERO, MEGA ARMOUR, WARBOSS",https://wahapedia.ru/wh40k11ed/factions/orks/Nazdreg
DEFF_DREAD,Deff Dread,"8""",9,2+ / 6++,8,7+,3,"VEHICLE, WALKER",https://wahapedia.ru/wh40k11ed/factions/orks/Deff-Dread
GORKANAUT,Gorkanaut,"9""",12,2+ / 6++,20,7+,8,"VEHICLE, TITANIC, TOWERING, TRANSPORT, WALKER",https://wahapedia.ru/wh40k11ed/factions/orks/Gorkanaut
MORKANAUT,Morkanaut,"9""",12,2+ / 5++,20,7+,8,"VEHICLE, TITANIC, TOWERING, TRANSPORT, WALKER",https://wahapedia.ru/wh40k11ed/factions/orks/Morkanaut
GUNWAGON,Gunwagon,"10""",12,3+ / 6++,16,7+,5,"VEHICLE, FRAME, TRANSPORT, WAGON",https://wahapedia.ru/wh40k11ed/factions/orks/Gunwagon
HUNTA_RIG,Hunta Rig,"10""",10,3+ / 6++,16,7+,5,"MONSTER, BEAST SNAGGA, TRANSPORT, WAGON",https://wahapedia.ru/wh40k11ed/factions/orks/Hunta-Rig
WARBOSS_MEGA_ARMOUR,Warboss in Mega Armour,"5""",7,2+ / 5++,7,6+,1,"INFANTRY, CHARACTER, MEGA ARMOUR, WARBOSS",https://wahapedia.ru/wh40k11ed/factions/orks/Warboss-In-Mega-Armour
BIG_MEK_MEGA_ARMOUR,Big Mek in Mega Armour,"5""",6,2+,5,7+,1,"INFANTRY, BIG MEK, CHARACTER, EXPLOSIVES, MEGA ARMOUR",https://wahapedia.ru/wh40k11ed/factions/orks/Big-Mek-In-Mega-Armour
RUNTHERD,Runtherd,"6""",5,5+,3,7+,1,"INFANTRY, CHARACTER",https://wahapedia.ru/wh40k11ed/factions/orks/Runtherd
PAINBOSS,Painboss,"6""",5,4+ / 6++,4,7+,1,"INFANTRY, BEAST SNAGGA, CHARACTER",https://wahapedia.ru/wh40k11ed/factions/orks/Painboss
MEK_GUNZ,Mek Gunz,"5""",6,4+ / 6++,6,8+,2,"VEHICLE, FRAME, GROTS",https://wahapedia.ru/wh40k11ed/factions/orks/Mek-Gunz
RUKKATRUKK_SQUIGBUGGIE,Rukkatrukk Squigbuggie,"12""",7,4+ / 6++,9,7+,3,"VEHICLE, EXPLOSIVES, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Rukkatrukk-Squigbuggy
WARBUGGIES,Warbuggies,"12""",7,4+ / 6++,9,7+,3,"VEHICLE, EXPLOSIVES, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Warbuggies
BIGED_BOSSBUNKA,Big'ed Bossbunka,-,10,3+,12,7+,0,"FORTIFICATION, VEHICLE",https://wahapedia.ru/wh40k11ed/factions/orks/Big-ed-Bossbunka
BLITZA_BOMMER,Blitza-Bommer,-,9,3+ / 6++,12,7+,-,"VEHICLE, AIRCRAFT, FLY, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Blitza-bommer
DAKKAJET,Dakkajet,-,9,3+ / 6++,12,7+,-,"VEHICLE, AIRCRAFT, FLY, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Dakkajet
BURNA_BOMMER,Burna-Bommer,-,9,3+ / 6++,12,7+,-,"VEHICLE, AIRCRAFT, FLY, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Burna-bommer
WAZBOM_BLASTAJET,Wazbom Blastajet,-,9,3+ / 6++,12,7+,-,"VEHICLE, AIRCRAFT, FLY, SMOKE, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Wazbom-Blastajet
