Ability_ID,Ability Name,Short Description,Long Description
DAKKABLITZ,Dakkablitz,Blitzkannon gets +6 attacks vs non-MONSTER/VEHICLE,"Dakkablitz: In your Shooting phase, while making attacks with this unit, if its blitzkannon targeted a non-MONSTER/VEHICLE unit, that weapon has +6 attacks."
DATS_OUR_LOOT,Dat’s Our Loot!,Re-roll 1s Re-roll ALL if on Objective,"Dat’s Our Loot!: Each time a model in this unit makes a ranged attack, re-roll a Hit roll of 1. If that attack targets a unit that is within range of an objective marker, you can re-roll the Hit roll instead."
DEAD_BRUTAL,Dead Brutal,While WAAAGH! Damage 3,"While the Waaagh! is active for your army, this model’s ’uge choppa has a Damage characteristic of 3."
DEATH_CHOPPY,DEATH CHOPPY,Add +1 Klaw = +1 Attack (already included).,Dead Choppy: The Attacks characteristic of this weapon is increased by 1 for each additional dread klaw this model is equipped with.
DED_GLOWY_AMMO_AURA,Ded Glowy Ammo (Aura),"Enemy 6"" = -1 Toughness","Ded Glowy Ammo (Aura): While an enemy Infantry unit is within 6"" of this model, subtract 1 from the Toughness characteristic of models in that unit."
DEFF_FROM_ABOVE,Deff from Above,If made Ingress move this turn: ranged attacks +1 to hit,"Deff from Above: In your Shooting phase, if this unit made an ingress move this turn, this unit’s ranged attacks have +1 to hit rolls."
DERANGED_SNOTLING_ASSAULT,Deranged Snotling Assault,Enemy Hit = Battle shock,"Deranged Snotling Assault: In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks; that unit must take a Battle-shock test."
NEW_DERANGED_SNOTLING_ASSAULT_BIG_MEK_WITH_SHOKK_ATTACK_GUN,Deranged Snotling Assault,After shooting: one enemy unit hit must take a Battle-shock test.,"Deranged Snotling Assault: After this model shoots, choose one enemy unit hit by at least one of its attacks. That unit takes a Battle-shock test."
DEVASTATING WOUNDS,DEVASTATING WOUNDS,Critical Wounds inflict mortal wounds; no saves,"DEVASTATING WOUNDS: Each time an attack with this weapon scores a Critical Wound, no saving throw can be made and the target suffers mortal wounds equal to the weapon’s Damage characteristic."
DISTRACTION_GROT,Distraction Grot,Once: 5++ in Shooting,"Distraction Grot: Once per battle, in your opponent’s Shooting phase, before making a saving throw for a model in this unit, it can deploy the distraction grot. If it does, until the end of the phase, models in this unit have a 5+ invulnerable save."
DOKS_TOOLZ,Dok’s Toolz,Unit has FNP 5+,Dok’s Toolz: Models in his unit have the Feel No Pain 5+ ability.
NEW_DOKS_TOOLZ_PAINBOY,Dok’s Toolz,Unit has Feel No Pain 5+,Dok’s Toolz: This unit has Feel No Pain 5+.
DRIVE_BY_DAKKA,Drive-by Dakka,"RANGE: Within 9"" = AP -1.","Drive-by Dakka: Each time a model in this unit makes a ranged attack that targets a unit within 9"", improve the Armour Penetration characteristic of that attack by 1."
DRIVE_BY_DAKKA_2,Drive-by Dakka,"-1 AP Ranged within 9""","Drive-by Dakka: Each time a model in this unit makes a ranged attack that targets a unit within 9"", improve the Armour Penetration characteristic of that attack by 1."
FINEST_HOUR,Finest Hour,"Once per battle, start of the Fight, +3 to Attacks in - and get [DEVASTATING WOUNDS]. DEVASTATING WOUNDS: Critical Wounds (ie 6s) = No Saves allowed.","Finest Hour: Once per battle, at the start of the Fight phase, this model can use this ability. If it does, until the end of the phase, add 3 to the Attacks characteristic of - weapons equipped by this model and those weapons have the [DEVASTATING WOUNDS] ability. DEVASTATING WOUNDS: Critical Wounds (ie 6s) = No Saves allowed."
FIRING DECK_12,Firing Deck 12,Transport can temporarily use weapons from X embarked models,"Firing Deck: This ability always takes the form Firing Deck X. In your Shooting phase, each time this TRANSPORT is selected to shoot, if one or more units are embarked within it, select up to X embarked models, excluding models whose units have already been selected to shoot this phase. For each selected model, select one of its ranged weapons, excluding [ONE SHOT] weapons. Until this TRANSPORT has resolved all of its attacks, it has all selected weapons in addition to its other weapons. Until the end of the turn, units embarked within this TRANSPORT are not eligible to shoot."
FIX_DAT_ARMOUR_UP,Fix Dat Armour Up,Return 1 model,"Fix Dat Armour Up: While this model is leading a unit, in your Command phase, you can return 1 destroyed Bodyguard model to that unit."
FIXIT_DA_GROT,Fixit da Grot,Command: regain D3 lost wounds,"Fixit da Grot: At the start of your Command phase, this model regains up to D3 lost wounds."
FLASHIEST_GITZ,Flashiest Gitz,Flash Gitz re-rolls To Hit in Range.,"Flashiest Gitz: While this model is leading a unit, each time a model in that unit makes a ranged attack, you can re-roll the Hit roll."
FUEL_MIXA_GROT,Fuel-mixa Grot,"Advances 6""","Fuel-mixa Grot: Each time this model’s unit Advances, do not make an Advance roll for it. Instead, until the end of the phase, add 6"" to the Move characteristic of models in this model’s unit."
FULL_THROTTLE,Full Throttle,Charge after Advance or Fall back.,Full Throttle: This unit is eligible to declare a charge in a turn in which it Advanced or Fell Back.
GET_DA_GOOD_BITZ,Get Da Good Bitz,Sticky Objectives,"Get Da Good Bitz: At the end of your Command phase, if this unit is within range of an objective marker you control, that objective marker remains under your control, even if you have no models within range of it, until your opponent controls it at the start or end of any turn."
GHAZGHKULLS_WAAAGH_BANNER_AURA,Ghazghkull’s Waaagh! Banner (Aura),"WAAAGH! &12"" of Makari  = LETHAL HITS","Ghazghkull’s Waaagh! Banner (Aura): While an ORKS unit is within 12"" of Makari, if you have called a Waaagh! this round, MELEE weapons in that unit have the [LETHAL HITS] ability. LETHAL HITS: Critical Hits (ie 6s) auto-wound the target."
GROT_ASSISTANT,Grot Assistant,Re-roll # of attacks,"Grot Assistant: Once per battle, after rolling to determine how many attacks the bearer’s shokk attack gun makes, you can re-roll that dice."
NEW_GROT_ASSISTANT_BIG_MEK_WITH_SHOKK_ATTACK_GUN,Grot Assistant,Once per battle: re-roll the shokk attack gun Attacks dice.,"Grot Assistant: Once per battle, after rolling the number of attacks for the bearer's shokk attack gun, you may re-roll that dice. Remove the token after use."
GROT_OILER,Grot Oiler,ONCE. Regain D3 wounds,"Grot Oiler: Once per battle, at the end of your Movement phase, one model in the bearer’s unit regains D3 lost wounds."
GROT_ORDERLY,Grot Orderly,Once a battle: Return D3 Boyz IF below Strength.,"Grot Orderly: Once per battle, in your Command phase, if the bearer is leading a unit that is below its Starting Strength, you can return up to D3 destroyed Bodyguard models to that unit."
NEW_GROT_ORDERLY_PAINBOY,Grot Orderly,Once per battle return D3 destroyed Bodyguards. ,"Grot Orderly: Once per battle, in your Command phase, if this unit is below Starting Strength, you can return up to D3 destroyed Bodyguard models to this unit."
GROT_RIGGERS,Grot Riggers,Regain 1 Wound,"Grot Riggers: At the start of your Command phase, this model regains 1 lost wound."
GUN_CRAZY_SHOW_OFFS,Gun-crazy Show-offs,If Target is the closest = 4 attacks,"Gun-crazy Show-offs: Each time a model in this unit targets the closest eligible target with its snazzgun, until the end of the phase, that weapon has an Attacks characteristic of 4."
HAMMER_OF_WRATH,Hammer of Wrath,Charge = Mortal Wounds per model on 4+.,"Hammer of Wrath: Each time this unit ends a Charge move, select one enemy unit within Engagement Range of it, then roll one D6 for each model in this unit that is within Engagement Range of that enemy unit: for each 4+, that enemy unit suffers 1 mortal wound."
HOGBOSS,Hogboss, +1 To Hit in - if Leading,"Hogboss: While this model is leading a unit, each time a model in that unit makes a - attack, add 1 to the Hit roll."
HOLD_STILL_AND_SAY_AARGH,Hold Still and Say ‘Aargh!’,Urty syringe: D6 Mortals if Critical Wounds.,"Hold Still and Say ‘Aargh!’: Each time an attack made by this model with its ’urty syringe scores a Critical Wound against a unit (excluding VEHICLE units), that unit suffers D6 mortal wounds."
HUNGRY_CHOMPA,Hungry Chompa,Charge = 5+ Critical Wounds,"Hungry Chompa: Each time this model declares a charge, until the end of the turn, each time this model makes an attack, an unmodified successful Wound roll of 5+ scores a Critical Wound."
HUNT_THEM_DOWN,Hunt Them Down,WAAAGH! = Anti-Monster/Vehicle 3+,"Hunt Them Down: During the battle round in which you call a Waaagh!, this model’s big choppa has the [ANTI-MONSTER 3+] and [ANTI-VEHICLE 3+] abilities."
INDISCRIMINATE_DETONATIONS,Indiscriminate Detonations,"After shooting, hit enemy unit is suppressed","Indiscriminate Detonations: In your Shooting phase, when this unit has resolved its attacks, select one enemy unit hit by one or more of those attacks. That enemy unit is suppressed until the start of your next Command phase. While a unit is suppressed, it has -1 to hit rolls."
KOMMANDOS_WARGEAR,Kommandos Wargear,Nob: Slugga and Power Klaw Kommandos: 2 speshul Kommando shoota & CCW 1 burna & CCW 1 rokkit launcha & CCW 5 slugga & choppas,The Boss Nob’s choppa can be replaced with one of the following: 1 big choppa 1 power klaw Up to 2 Kommandos can each have their slugga and choppa replaced with 1 speshul Kommando shoota and 1 close combat weapon. 1 Kommando’s slugga and choppa can be replaced with 1 breacha ram. 1 Kommando’s slugga and choppa can be replaced with 1 burna and 1 close combat weapon. 1 Kommando’s slugga and choppa can be replaced with 1 rokkit launcha and 1 close combat weapon. This unit can be equipped with 1 bomb squig. This unit can be equipped with 1 distraction grot.
KRUMPIN_TIME,Krumpin Time,If riled up: +1 to hit rolls in Fight phase,"Krumpin Time: In the Fight phase, if this unit is riled up, this unit has +1 to hit rolls."
KUNNIN_INFILTRATOR,Kunnin' Infiltrator,"If hidden and unengaged at end of opponent Fight phase, go to SR.","Kunnin' Infiltrator: At the end of your opponent's Fight phase, if each model in this unit is hidden and unengaged, you can place this unit in strategic reserves."
KUSTOM_FORCE_FIELD,Kustom Force Field,This unit has 4+ InSv against ranged attacks.,Kustom Force Field: This unit has 4+ InSv against ranged attacks.
LEADER_BEASTBOSS,Leader: Beastboss,LEADER: BEAST SNAGGA BOYZ,LEADER: BEAST SNAGGA BOYZ
LEADER_BEASTBOSS_ON_SQUIGOSAUR,Leader: Beastboss on Squigosaur,LEADER: SQUIGHOG BOYZ,LEADER: SQUIGHOG BOYZ
LEADER_BIG_MEK,Leader: Big Mek,"LEADER: BOYZ, BREAKA BOYZ, LOOTAS, MEK GUNZ, NOBZ, TANKBUSTAS","LEADER: BOYZ, BREAKA BOYZ, LOOTAS, MEK GUNZ, NOBZ, TANKBUSTAS"
LEADER_BIG_MEK_IN_MEGA_ARMOUR,Leader: Big Mek in Mega Armour,LEADER: MEGANOBZ,LEADER: MEGANOBZ
LEADER_BIG_MEK_WITH_SHOKK_ATTACK_GUN,Leader: Big Mek with Shokk Attack Gun,"LEADER: BOYZ, BREAKA BOYZ, LOOTAS, MEK GUNZ, NOBZ, TANKBUSTAS","LEADER: BOYZ, BREAKA BOYZ, LOOTAS, MEK GUNZ, NOBZ, TANKBUSTAS"
LEADER_BIGBOSS,Leader: Bigboss,"LEADER: BOYZ, BREAKA BOYZ, NOBZ",Leader: This model can be attached to the following units: Boyz; Breaka Boyz; Nobz.
LEADER_BOSS_SNIKROT,Leader: Boss Snikrot,LEADER: KOMMANDOS,LEADER: KOMMANDOS
NEW_LEADER_BOYZ,Leader: Boyz,Can attach to BOYZ,Leader: This model can be attached to the following units: Boyz.
NEW_LEADER_BOYZ_BREAKA_BOYZ_LOOTAS_MEK_GUNZ_NOBZ_TANKBUSTAS,"Leader: Boyz, Breaka Boyz, Lootas, Mek Gunz, Nobz, Tankbustas","Can lead Boyz, Breaka Boyz, Lootas, Mek Gunz, Nobz or Tankbustas.","Leader: This model may attach to Boyz, Breaka Boyz, Lootas, Mek Gunz, Nobz or Tankbustas."
NEW_LEADER_BOYZ_BREAKA_BOYZ_NOBZ,"Leader: Boyz, Breaka Boyz, Nobz","Can attach to Boyz, Breaka Boyz, or Nobz",Leader: This model can be attached to the following units: Boyz; Breaka Boyz; Nobz.
LEADER_DEFFKILLA_WARTRIKE,Leader: Deffkilla Wartrike,LEADER: WARBIKERS,LEADER: WARBIKERS
LEADER_GHAZGHKULL_THRAKA,Leader: Ghazghkull Thraka,"LEADER: BOYZ, BREAKA BOYZ, MEGANOBZ, NOBZ","LEADER: BOYZ, BREAKA BOYZ, MEGANOBZ, NOBZ"
LEADER_MEK,Leader: Mek,"LEADER: BOYZ, LOOTAS, MEK GUNZ, NOBZ, TANKBUSTAS","LEADER: BOYZ, LOOTAS, MEK GUNZ, NOBZ, TANKBUSTAS"
LEADER_MOZROG_SKRAGBAD,Leader: Mozrog Skragbad,LEADER: SQUIGHOG BOYZ,LEADER: SQUIGHOG BOYZ
LEADER_PAINBOSS,Leader: Painboss,LEADER: BEAST SNAGGA BOYZ,LEADER: BEAST SNAGGA BOYZ
LEADER_WARBOSS,Leader: Warboss,"LEADER: BOYZ, BREAKA BOYZ, NOBZ","LEADER: BOYZ, BREAKA BOYZ, NOBZ"
LEADER_WARBOSS_IN_MEGA_ARMOUR,Leader: Warboss in Mega Armour,LEADER: MEGANOBZ,LEADER: MEGANOBZ
LEADER_WEIRDBOY,Leader: Weirdboy,"LEADER: BOYZ, BREAKA BOYZ","LEADER: BOYZ, BREAKA BOYZ"
LEADER_WURRBOY,Leader: Wurrboy,LEADER: BEAST SNAGGA BOYZ,LEADER: BEAST SNAGGA BOYZ
LEADER_ZODGROD_WORTSNAGGA,Leader: Zodgrod Wortsnagga,LEADER: GRETCHIN,LEADER: GRETCHIN
MAKARI,Makari,"Sv: 2++, W:1, Ld: 8, OC: 1 Cannot re-roll Invul Save",
MEKANIAK,Mekaniak,"End of Movement. Select Vehicle 3"", repair D3 wounds and +1 To Hit.","Mekaniak: At the end of your Movement phase, you can select one friendly ORKS VEHICLE model within 3"" of this model. That VEHICLE model regains up to D3 lost wounds, and, until the start of your next Movement phase, each time that VEHICLE model makes an attack, add 1 to the Hit roll. Each model can only be selected for this ability once per turn."
MEKBOY,Mekboy,"IF within 3"" of Vehicle = Lone Operative","Mekboy: While this model is within 3"" of one or more friendly ORKS VEHICLE units, this model has the Lone Operative ability."
MIGHT_IS_RIGHT,Might is Right,"If charged this turn, this model’s melee has +1 A and +1 S.","Might is Right: If this unit made a charge move this turn, this model's melee attacks have: • +1 A • +1 S"
NEW_MIGHT_IS_RIGHT,Might Is Right,Unit in melee get +1 To Hit,Might Is Right: This unit’s melee weapons have +1 to hit rolls.
MIGHT_IS_RIGHT_NOBZ,Might is Right (Nobz),IF Led by Warboss: +1 To Hit.,"IF Led by Warboss: Might is Right: While this model is leading a unit, each time a model in that unit makes a - attack, add 1 to the Hit roll."
MONSTER_HUNTERS,Monster Hunters,Re-rolls To Hit vs MONSTER or VEHICLE,"Monster Hunters: Each time a model in this unit makes an attack that targets a MONSTER or VEHICLE unit, you can re-roll the Hit roll."
MONSTER_HUNTERS_BEASTBOSS,Monster Hunters (Beastboss),LEADING Beastsnagga = Re-rolls To Hit vs MONSTER or VEHICLE,"IF Leading Beastsnagga: Monster Hunters: Each time a model in this unit makes an attack that targets a MONSTER or VEHICLE unit, you can re-roll the Hit roll."
MORE_DAKKA,More Dakka,Ranged attacks have [IGNORES COVER]; if riled up also [SUSTAINED HITS 1].,"More Dakka: This unit's ranged attacks have: • [IGNORES COVER] • If this unit is riled up, [SUSTAINED HITS 1]"
NEW_MORE_DAKKA_BIG_MEK_WITH_SHOKK_ATTACK_GUN,More Dakka,Leading a unit: ranged attacks re-roll Hit rolls of 1.,"More Dakka: While this model leads a unit, models in that unit can re-roll Hit rolls of 1 for ranged attacks."
NOB,Nob,Nob has 2 Wounds,Nob has 2 Wounds
NOB_ON_SMASHA_SQUIG,Nob on Smasha Squig,Nob has 4 Wounds,
NOB_ON_SMASHA_SQUIG_2,Nob On Smasha Squig,Nob = 4 Wounds,
NOB_WITH_TANK_HAMMER_5_SMASH_HAMMERS,Nob with Tank Hammer 5 Smash Hammers,Breaka Boyz 6 Wargear,
ONE_LAST_KILL,One Last Kill,"When destroyed unactivated in Fight phase, 2+ fight then removed.","One Last Kill: In the Fight phase, when this model is destroyed, if this unit has not been selected to fight this phase, roll one D6: • On a 2+, do not remove this model from the battlefield. When this unit has fought, or at the end of the phase (whichever comes first), this model is removed from the battlefield."
PATROL_SQUAD,Patrol Squad,Split into two units,"Patrol Squad: At the start of the Declare Battle Formations step this unit can be split into two units, each containing five models."
PROPHET_OF_DA_GREAT_WAAAGH,Prophet of da Great Waaagh! (Aura),"Friendly Orks within 6"": +1 to hit and +1 to wound on melee","Prophet of da Great Waaagh! (Aura): While a friendly ORKS unit is within 6"" of this unit, that unit’s melee attacks have: • +1 to hit rolls • +1 to wound rolls"
PSYCHIC,PSYCHIC,Wounds from this weapon count as Psychic Attacks,"PSYCHIC: If this weapon causes a unit to suffer one or more wounds, those wounds are considered to have been inflicted by a Psychic Attack."
PULSA_ROKKIT,Pulsa Rokkit,"Once per battle: select MONSTER/VEHICLE within 24"" → +1 AP and [LETHAL HITS] vs it","Pulsa Rokkit (Once per battle, per unit): In your Shooting phase, when this unit is selected to shoot, you can select one enemy MONSTER/VEHICLE unit within 24"" of this unit. If you do, this unit’s attacks that target that unit have: • +1 AP • [LETHAL HITS]."
PYROMANIAKS,Pyromaniaks,"Re-roll To Wound of 1 if within 6"" Re-roll ALL To Wound if on Objective.","Pyromaniaks: Each time a model in this unit makes a ranged attack with a burna that targets an enemy unit within 6"", re-roll a Wound roll of 1. If the target of that attack is also within range of an objective marker, you can re-roll the Wound roll instead."
