Unit_ID,Unit Name,Ability_IDs,Core_Ability_IDs,Weapon_IDs,"M""",T,SV,W,LD,OC,Keywords,Hyperlink,Points_Label_1,Points_Cost_1,Points_Label_2,Points_Cost_2,Points_Label_3,Points_Cost_3,Points_Label_4,Points_Cost_4
BOYZ,Boyz,"AMMO_RUNTS, TIDE_OF_MUSCLE, NEVER_TOO_BUSY_TO_FIGHT",,"BIG_SHOOTA, BURNA, KOMBI_ROKKIT_BUSTA, KOMBI_ROKKIT_SHOOTA, KOMBI_SKORCHA_SHOOTA, KOMBI_SKORCHA_SKORCHA, KUSTOM_SHOOTA, ROKKIT_LAUNCHA_BLASTA, ROKKIT_LAUNCHA_BUSTA, SHOOTA, SLUGGA, BIG_CHOPPA, CHOPPA, KUSTOM_CHOPPA, POWER_KLAW","6""",5,5+,1,7+,2,"INFANTRY, BATTLELINE, EXPLOSIVES, MOB",https://wahapedia.ru/wh40k11ed/factions/orks/Boyz,x10,90,x20,180,,,,
BREAKA_BOYZ,Breaka Boyz,"BOMB_SQUIGS_TANKBUSTAS, TROPHY_HUNTERS, COMPOSITION_BREAKA_BOYZ",,"ROKKIT_PISTOL, CHOPPA, KNUCKLEBUSTAS, SMASH_HAMMER_STANDARD, SMASH_HAMMER_HUNTER, TANKHAMMER","6""",5,4+,2,7+,1,"INFANTRY, EXPLOSIVES",https://wahapedia.ru/wh40k11ed/factions/orks/Breaka-Boyz,x6,135,,,,,,
BURNA_BOYZ,Burna Boyz,"PYROMANIAKS, UNIT_COMPOSITION_BURNAS",,"BURNA, CLOSE_COMBAT_WEAPON_BOYZ, CUTTIN_FLAMES, KUSTOM_MEGA_BLASTA","6""",5,5+,1,7,1,"INFANTRY, BURNA BOYZ",https://wahapedia.ru/wh40k11ed/factions/orks/Burna-Boyz,x5,60,x10,120,,,,
DEFFKILLA_WARTRIKE,Deffkilla Wartrike,"GET_BACK_IN_DA_RACE, FUEL_MIXA_GROB, LEADER_DEFFKILLA_WARTRIKE",DEADLY_DEMISE_1,"BOOMSLIKKA, SNAGGA_KLAW_R, KILLA_JET_BURNA, KILLA_JET_CUTTA, SNAGGA_KLAW_M","12""",6,4+ / 5++,9,6+,3,"MOUNTED, CHARACTER",https://wahapedia.ru/wh40k11ed/factions/orks/Deffkilla-Wartrike,x1,80,,,,,,
DEFFKOPTAS,Deffkoptas,"DEFF_FROM_ABOVE, AERIAL_MANOEUVRE, COMPOSITION_DEFFKOPTAS",DEEP_STRIKE,"ROKKIT_LAUNCHA_BLASTA, ROKKIT_LAUNCHA_BUSTA, KUSTOM_MEGA_BLASTA, SLUGGA, CHOPPA, SPINNIN_BLADES","12""",6,4+ / 6++,4,7+,2,"MOUNTED, EXPLOSIVES, FLY, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Deffkoptas,x3,80,x6,160,,,,
FLASH_GITZ,Flash Gitz,FINDER_KEEPERZ,,"SNAZZGUN, SNAZZGUN_CUTTA, SNAZZGUN_KILL_SHOT, CHOPPA","6""",5,4+,3,7+,1,"INFANTRY, EXPLOSIVES",https://wahapedia.ru/wh40k11ed/factions/orks/Flash-Gitz,x5,105,x10,210,,,,
GHAZGHKULL_THRAKA,Ghazghkull Thraka,"DA_GRAND_WARLORDS_LADZ,MAKARI_HOIST_DAT_BANNER,PROPHET_OF_DA_GREAT_WAAAGH",,"MORKS_ROAR_AIMED, MORKS_ROAR_POINT_BLANK, ADAMANTINE_EADBUTT, GORKS_KLAW","8""",10,2+ / 4++,16,6+,4,"INFANTRY, CHARACTER, EPIC HERO, EXPLOSIVES, WARBOSS",https://wahapedia.ru/wh40k11ed/factions/orks/Ghazghkull-Thraka,x1,300,,,,,,
GRETCHIN,Gretchin,"DOWNTRODDEN,THIEVIN_SCAVENGERS",,"GROT_BLASTA, SCAVENGED_SHIVS","6""",2,6+,1,8+,1,"INFANTRY, GROTS",https://wahapedia.ru/wh40k11ed/factions/orks/Gretchin,x11,45,x20,80,11x2,90,,
KILL_RIG,Kill Rig,"BEASTSCENT,WARPATH,TRANSPORT_KILL_RIG","DAMAGED_1_6, DEADLY_DEMISE_D6, FEEL_NO_PAIN_5, UNSTABLE_ENERGIES","EAVY_LOBBA, STIKKA_KANNON, WURRTOWER, BUTCHA_BOYZ, SAVAGE_HORNS_HOOVES, SAW_BLADES","10""",10,3+ / 6++,16,7+,5,"MONSTER, BEAST SNAGGA, PSYKER, TRANSPORT, WAGON",https://wahapedia.ru/wh40k11ed/factions/orks/Kill-Rig,x1,175,,,,,,
KILLA_KANS,Killa Kans,SPITEFUL_POWER_TRIP,DEADLY_DEMISE_1,"KAN_BLASTA_DAKKA, KAN_BLASTA_KILL_SHOT, KAN_BLASTA_POINT_BLANK, KAN_KLAW","8""",7,3+ / 6++,5,8+,2,"VEHICLE, GROTS, WALKER",https://wahapedia.ru/wh40k11ed/factions/orks/Killa-Kans,x3,130,x6,260,,,,
KOMMANDOS,Kommandos,"FOUND_EM, TACTICAL_KNOW_WOTZ, NOWHERE_TO_HIDE, BOMB_SQUIG, COMPOSITION_KOMMANDOS","INFILTRATORS, STEALTH","BURNA, SPESHUL_KOMMANDO_SHOOTA, ROKKIT_LAUNCHA_BLASTA, ROKKIT_LAUNCHA_BUSTA, SLUGGA, BIG_CHOPPA, BREACHA_RAM, CHOPPA, POWER_KLAW","6""",5,5+,1,7+,1,"INFANTRY, EXPLOSIVES, SMOKE",https://wahapedia.ru/wh40k11ed/factions/orks/Kommandos,x10,125,,,,,,
LOOTAS,Lootas,"DATS_OUR_LOOT, COMPOSITION_LOOTAS",,"DEFFGUN, KUSTOM_MEGA_BLASTA, CLOSE_COMBAT_WEAPON_BOYZ","6""",5,5+,1,7,1,"INFANTRY, LOOTAS",https://wahapedia.ru/wh40k11ed/factions/orks/Lootas,x5,50,x10,100,,,,
GROTSNIK,Mad Dok Grotsnik,"DOKS_TOOLZ, SUPER_RUNTS", FEEL_NO_PAIN_5,"CYBORK_CHOPPA, URTY_SYRINGE","6""",5,5+,5,6,1,"INFANTRY, CHARACTER, EPIC HERO, PAINBOY, MAD DOK GROTSNIK",https://wahapedia.ru/wh40k11ed/factions/orks/Mad-Dok-Grotsnik,,80,,,,,,
MEK,Mek,"KUSTOM_DAKKA, CLEVER_KNOW_WOTZ, SUPPORT_MEK",,"KUSTOM_MEGA_SLUGGA, MEKS_TOOLZ","6""",5,5+,4,7+,1,"INFANTRY, CHARACTER, EXPLOSIVES",https://wahapedia.ru/wh40k11ed/factions/orks/Mek,x1,45,,,,,,
MOZROG_SKRAGBAD,Mozrog Skragbad,"ONE_LAST_KILL,DA_BIGGER_DEY_IZ,BEAST_SNAGGA_FOLLOWING",FEEL_NO_PAIN_5,"THUMP_GUN_MOZROG, BIG_CHOMPAS_JAWS, GUTRIPPA_STANDARD, GUTRIPPA_HUNTER","10""",9,3+ / 4++,10,6+,3,"MONSTER, BEAST SNAGGA, CHARACTER, EPIC HERO",https://wahapedia.ru/wh40k11ed/factions/orks/Mozrog-Skragbad,x1,170,,,,,,
NOBZ,Nobz,"GET_OUT_DA_WAY, AMMO_RUNTS, PAIRED_KRUMPAS, COMPOSITION_NOBZ",,"BIG_SKORCHA, KUSTOM_BIG_SHOOTA, KOMBI_ROKKIT_BUSTA, KOMBI_ROKKIT_SHOOTA, KUSTOM_SHOOTA, BIG_CHOPPA, KUSTOM_CHOPPA, KUSTOM_KRUMPA","6""",5,4+,3,7+,1,"INFANTRY, EXPLOSIVES",https://wahapedia.ru/wh40k11ed/factions/orks/Nobz,x5,125,x10,250,,,,
PAINBOY,Painboy,"CRUDE_SURGERY, CANT_CUT_DAT_BIT, SUPPORT_PAINBOY",,"URTY_SYRINGE, DOKS_TOOLS","6""",5,5+,3,7+,1,"INFANTRY, CHARACTER",https://wahapedia.ru/wh40k11ed/factions/orks/Painboy,x1,45,,,,,,
SQUIGHOG_BOYZ,Squighog Boyz,"BOMB_SQUIG, BRUTAL_IMPACT, COMPOSITION_SQUIGHOG_BOYZ",,"SADDLEGITS_SHIV, SLUGGA, STIKKA_RANGED_SQUIG, STIKKA, BIG_CHOPPA, SQUIGS_JAWS","10""",6,4+ / 6++,3,7+,2,"MOUNTED, BEAST SNAGGA, EXPLOSIVES, MOBILE",https://wahapedia.ru/wh40k11ed/factions/orks/Squighog-Boyz,x4,140,x8,280,,,,
STOMPA,Stompa,"IDOL_OF_BELLIGERENCE,WAAAGH_EFFIGY,TRANSPORT_STOMPA","DAMAGED_1_10, DEADLY_DEMISE_2D6, SUPER_HEAVY_WALKER","BIG_SHOOTA, DEFFKANNON_SUPA_ROKKITS, SKORCHA, SUPA_GATLER_AIMED, SUPA_GATLER_POINT_BLANK, MEGA_CHOPPA","10""",14,2+ / 5++,30,6+,12,"VEHICLE, FRAME, TITANIC, TOWERING, TRANSPORT, WALKER",https://wahapedia.ru/wh40k11ed/factions/orks/Stompa,x1,700,,,,,,
STORMBOYZ,Stormboyz,"ROKKIT_CHARGE, COMPOSITION_STORMBOYZ",DEEP_STRIKE,"SLUGGA, CHOPPA, KUSTOM_CHOPPA, POWER_KLAW","12""",5,5+,1,7+,1,"INFANTRY, EXPLOSIVES, FLY, JUMP PACK",https://wahapedia.ru/wh40k11ed/factions/orks/Stormboyz,x5,70,x10,140,5x2,140,,
TANKBUSTAS,Tankbustas,"ROKKIT_BARRAGE, BOMB_SQUIGS_TANKBUSTAS, PULSA_ROKKIT, COMPOSITION_TANKBUSTAS",,"BUSTA_ROKKIT_STANDARD, BUSTA_ROKKIT_HUNTER, ROKKIT_PISTOL, CHOPPA, GITSTIKKA, SMASH_HAMMER_STANDARD, SMASH_HAMMER_HUNTER","6""",5,4+,2,7+,1,"INFANTRY, EXPLOSIVES",https://wahapedia.ru/wh40k11ed/factions/orks/Tankbustas,x6,145,,,,,,
TRUKK,Trukk,"PILIN_OUT,TRANSPORT_TRUKK","DEADLY_DEMISE_D3, FIRING_DECK_12","DUAL_BIG_SHOOTA, ROKKIT_LAUNCHA_BLASTA, ROKKIT_LAUNCHA_BUSTA, BUZZSAW, GRABBIN_KLAW, SPIKED_RAM","12""",8,4+ / 6++,10,7+,2,"VEHICLE, DEDICATED TRANSPORT, FRAME, SPEED FREEKS, TRANSPORT",https://wahapedia.ru/wh40k11ed/factions/orks/Trukk,x1,60,,,,,,
WARBIKERS,Warbikers,"HIGH_SPEED_CARNAGE, COMPOSITION_WARBIKERS",,"DUAL_KOMBI_ROKKIT_DAKKAGUN, DUAL_KOMBI_ROKKIT_BUSTA, TWIN_DAKKAGUN, CHOPPA, KUSTOM_CHOPPA","12""",6,4+ / 6++,3,7+,2,"MOUNTED, EXPLOSIVES, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Warbikers,x3,75,x6,140,,,,
WARBOSS,Warboss,"BOSS_AMMO_RUNT, MIGHT_IS_RIGHT, INTIMIDATING_MOTIVATION, COMPOSITION_WARBOSS, LEADER_WARBOSS",,"KOMBI_ROKKIT_BUSTA, KOMBI_ROKKIT_SHOOTA, KOMBI_SKORCHA_SHOOTA, KOMBI_SKORCHA_SKORCHA, KUSTOM_SHOOTA, KUSTOM_CHOPPA_WARBOSS, POWER_KLAW_WARBOSS","6""",6,4+ / 5++,6,6+,1,"INFANTRY, CHARACTER, EXPLOSIVES, WARBOSS",https://wahapedia.ru/wh40k11ed/factions/orks/Warboss,x1,100,,,,,,
WARTRAKK,Wartrakk,"SPEEDNOB_SUPPORT,BUST_EM",,"KUSTOM_SHOOTA, MULTI_BUSTA_LAUNCHA, KUSTOM_CHOPPA","12""",6,4+ / 6++,7,7+,3,"MOUNTED, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Wartrakk,x1,70,,,,,,
WAZDAKKA_GUTSMEK,Wazdakka Gutsmek,"FIXIT_DA_GROT, THROTTLEROCKKIT_SHOKKA_ENGINE, WAAAGH_WAZDAKKA","DEADLY_DEMISE_D3, DEEP_STRIKE, LONE_OPERATIVE","GRABBA_DRAGGA_RANGE, PSYKO_GATLER, FIXITS_WRENCH, GRABBA_DRAGGA_MELEE, SPEEDING_BULK_AND_FLAMING_EXHAUST","14""",8,3+ / 4++,10,6,3,"MOUNTED, VEHICLE, SPEED FREEKS, EPIC HERO, SMOKE, CHARACTER, WAZDAKKA GUTSMEK",https://wahapedia.ru/wh40k11ed/factions/orks/Wazdakka-Gutsmek,x1,200,,,,,,
WEIRDBOY,Weirdboy,"DA_JUMP, SUPPORT_WEIRDBOY","DEADLY_DEMISE_D3, UNSTABLE_ENERGIES","POWER_VOMIT, COPPER_STAFF","6""",5,5+,4,7+,1,"INFANTRY, CHARACTER, PSYKER",https://wahapedia.ru/wh40k11ed/factions/orks/Weirdboy,x1,65,,,,,,
ZODGROD_WORTSNAGGA,Zodgrod Wortsnagga,"SUPER_RUNTS, LEADER_ZODGROD_WORTSNAGGA",,"SQUIGSTOPPA, DA_GRABZAPPA","6""",5,5+ / 6++,5,7+,1,"INFANTRY, CHARACTER",https://wahapedia.ru/wh40k11ed/factions/orks/Zodgrod-Wortsnagga,x1,50,,,,,,
MEGANOBZ,Meganobz,"ARROGANT_INVULNERABILITY, KRUMPIN_TIME, COMPOSITION_MEGANOBZ",,"KOMBI_WEAPON_SHOOTA, KOMBI_WEAPON_KILL_SHOT, KOMBI_WEAPON_POINT_BLANK, KUSTOM_SHOOTA_AIMED, KUSTOM_SHOOTA_POINT_BLANK, KILLSAW, POWER_KLAW, TWIN_KILLSAW","5""",6,2+,3,7+,1,"INFANTRY, EXPLOSIVES, MEGA ARMOUR",https://wahapedia.ru/wh40k11ed/factions/orks/Meganobz,x2,75,x3,110,x5,185,x6,225
NAZDREG,Nazdreg,"INTIMIDATING_MOTIVATION, NAZDREGS_KNOW_WOTZ, SUPREME_KUNNIN, LEADER_NAZDREG",DEEP_STRIKE,"KUSTOM_BLASTA_X_GATLER, KUSTOM_BLASTA_X_SHOOTA, KUSTOM_BLASTA_X_SKORCHA, KUSTOM_BLASTA_X_MELEE, MOONCHEWA","5""",7,2+ / 5++,8,6+,1,"INFANTRY, CHARACTER, EPIC HERO, MEGA ARMOUR, WARBOSS",,x1,175,,,,,,
DEFF_DREAD,Deff Dread,"DREAD_ARD, COMPOSITION_DEFF_DREAD",DEADLY_DEMISE_1,"BIG_SHOOTA_BATTLEWAGON, KUSTOM_MEGA_BLASTA, ROKKIT_LAUNCHA_BLASTA, ROKKIT_LAUNCHA_BUSTA, SKORCHA, EXTRA_KLAW, DREAD_KLAW","8""",9,2+ / 6++,8,7+,3,"VEHICLE, WALKER",https://wahapedia.ru/wh40k11ed/factions/orks/Deff-Dread,x1,130,,,,,,
GORKANAUT,Gorkanaut,"GUT_HATCH,BIG_AN_STOMPY,TRANSPORT_GORK_MORK","DAMAGED_7, DEADLY_DEMISE_D6, SUPER_HEAVY_WALKER","DEFFSTORM_MEGA_SHOOTA_AIMED, DEFFSTORM_MEGA_SHOOTA_POINT_BLANK, TWIN_BIG_SHOOTA, ROKKIT_LAUNCHA_BLASTA, ROKKIT_LAUNCHA_BUSTA, SKORCHA, KLAW_OF_GORK_STRIKE","9""",12,2+ / 6++,20,7+,8,"VEHICLE, TITANIC, TOWERING, TRANSPORT, WALKER",https://wahapedia.ru/wh40k11ed/factions/orks/Gorkanaut,x1,325,,,,,,
MORKANAUT,Morkanaut,"GUT_HATCH,BIG_AN_SHOOTY,TRANSPORT_GORK_MORK","DAMAGED_7, DEADLY_DEMISE_D6, SUPER_HEAVY_WALKER","TWIN_BIG_SHOOTA, KUSTOM_MEGA_BLASTA, KUSTOM_MEGA_ZAPPA, ROKKIT_LAUNCHA_BLASTA, ROKKIT_LAUNCHA_BUSTA, KLAW_OF_MORK_STRIKE","9""",12,2+ / 5++,20,7+,8,"VEHICLE, TITANIC, TOWERING, TRANSPORT, WALKER",https://wahapedia.ru/wh40k11ed/factions/orks/Morkanaut,x1,345,,,,,,
GUNWAGON,Gunwagon,"MOBILE_ARSENAL, TRANSPORT_GUNWAGON, COMPOSITION_GUNWAGON","DAMAGED_1_6, DEADLY_DEMISE_D6","BIG_SHOOTA_X4, KANNON_FRAG, KANNON_SHELL, KILLKANNON, LOBBA, ZZAP_GUN, CRUSHIN_BULK, GRABBIN_KLAW, WRECKIN_BALL","10""",12,3+ / 6++,16,7+,5,"VEHICLE, FRAME, TRANSPORT, WAGON",,x1,150,,,,,,
HUNTA_RIG,Hunta Rig,"FULLY_LOADED_BUTCHERY,TRAMPLASAQUIG_CHARGE,TRANSPORT_HUNTA_RIG","DAMAGED_1_6, DEADLY_DEMISE_D6, FEEL_NO_PAIN_5, FIRING_DECK_11","EAVY_LOBBA, STIKKA_KANNON, BUTCHA_BOYZ, SAVAGE_HORNS_HOOVES, SAW_BLADES","10""",10,3+ / 6++,16,7+,5,"MONSTER, BEAST SNAGGA, TRANSPORT, WAGON",https://wahapedia.ru/wh40k11ed/factions/orks/Hunta-Rig,x1,165,,,,,,
WARBOSS_MEGA_ARMOUR,Warboss in Mega Armour,"KNUCKLE_IMPETUS, INTIMIDATING_MOTIVATION, LEADER_WARBOSS_IN_MEGA_ARMOUR",,"BIG_SHOOTA_MA, UGE_CHOPPA","5""",7,2+ / 5++,7,6+,1,"INFANTRY, CHARACTER, MEGA ARMOUR, WARBOSS",https://wahapedia.ru/wh40k11ed/factions/orks/Warboss-In-Mega-Armour,x1,125,,,,,,
BIG_MEK_MEGA_ARMOUR,Big Mek in Mega Armour,"FIX_DAT_ARMOUR, MORE_DAKKA, KUSTOM_FORCE_FIELD, COMPOSITION_BIG_MEK_MA, LEADER_BIG_MEK_IN_MEGA_ARMOUR",,"KOMBI_WEAPON_SHOOTA, KOMBI_WEAPON_KILL_SHOT, KOMBI_WEAPON_POINT_BLANK, KUSTOM_SHOOTA_AIMED, KUSTOM_SHOOTA_POINT_BLANK, TELLEPORT_BLASTA, KILLSAW, POWER_KLAW","5""",6,2+,5,7+,1,"INFANTRY, BIG MEK, CHARACTER, EXPLOSIVES, MEGA ARMOUR",https://wahapedia.ru/wh40k11ed/factions/orks/Big-Mek-In-Mega-Armour,x1,90,,,,,,
RUNTHERD,Runtherd,"THEYLL_LEARN_YA, SUPPORT_RUNTHERD",,"SLUGGA, RUNTHERDS_TOOLS","6""",5,5+,3,7+,1,"INFANTRY, CHARACTER",,x1,10,,,,,,
PAINBOSS,Painboss,"PUSH_DAT_BIT_BACK, HARDY_BILIOUS, RIDIN_WIV_DA_HERD, SUPPORT_PAINBOSS",,BEAST_SNAGGA_KLAW_PAINBOSS,"6""",5,4+ / 6++,4,7+,1,"INFANTRY, BEAST SNAGGA, CHARACTER",https://wahapedia.ru/wh40k11ed/factions/orks/Painboss,x1,60,,,,,,
MEK_GUNZ,Mek Gunz,"MADCAP_ARTILLERY, COMPOSITION_MEK_GUNZ",,"SCAVENGED_SHIVS, BUBBLECHUKKA, KUSTOM_MEGA_KANNON, SMASHA_GUN, TRAKTOR_KANNON","5""",6,4+ / 6++,6,8+,2,"VEHICLE, FRAME, GROTS",https://wahapedia.ru/wh40k11ed/factions/orks/Mek-Gunz,x1,55,x2,110,x3,165,,
RUKKATRUKK_SQUIGBUGGIE,Rukkatrukk Squigbuggie,SQUIG_BARRAGE,DEADLY_DEMISE_1,"SAWN_OFF_SHOTGUN, SQUIG_LAUNCHAS, SAW_BLADES_BUGGY","12""",7,4+ / 6++,9,7+,3,"VEHICLE, EXPLOSIVES, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Rukkatrukk-Squigbuggy,x1,80,x2,160,,,,
WARBUGGIES,Warbuggies,"DRIVE_BY_SKORCHIN, COMPOSITION_WARBUGGIES",DEADLY_DEMISE_1,"EXTRA_DAKKA, RIVET_KANNON_AIMED, RIVET_KANNON_PB, MEK_SPESHUL_AIMED, MEK_SPESHUL_PB, SPIKED_RAM","12""",7,4+ / 6++,9,7+,3,"VEHICLE, EXPLOSIVES, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Warbuggies,x1,70,x2,140,,,,
BIGED_BOSSBUNKA,Big'ed Bossbunka,"RAUCOUS_OCCUPANTS, FORTIFICATION, RAMSHACKLE_COVER, TRANSPORT_BOSSBUNKA, COMPOSITION_BOSSBUNKA","DEADLY_DEMISE_D3, FIRING_DECK_11","BIG_SHOOTA, GAZE_OF_GORK_GLARE, GAZE_OF_GORK_SQUINT",-,10,3+,12,7+,0,"FORTIFICATION, VEHICLE",https://wahapedia.ru/wh40k11ed/factions/orks/Big-ed-Bossbunka,x1,145,,,,,,
BLITZA_BOMMER,Blitza-Bommer,BOOM_BOMB,"DAMAGED_4, DEADLY_DEMISE_D3","BIG_SHOOTA_BATTLEWAGON, DUAL_SUPA_SHOOTA, ARMOURED_IMPACT",-,9,3+ / 6++,12,7+,-,"VEHICLE, AIRCRAFT, FLY, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Blitza-bommer,x1,115,,,,,,
DAKKAJET,Dakkajet,"STRAFING_RUN, COMPOSITION_DAKKAJET","DAMAGED_4, DEADLY_DEMISE_D3","DUAL_SUPA_SHOOTA, ARMOURED_IMPACT",-,9,3+ / 6++,12,7+,-,"VEHICLE, AIRCRAFT, FLY, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Dakkajet,x1,125,,,,,,
BURNA_BOMMER,Burna-Bommer,"BURNA_BOMB, COMPOSITION_BURNA_BOMMER","DAMAGED_4, DEADLY_DEMISE_D3","DUAL_BIG_SHOOTA, DUAL_SUPA_SHOOTA, SKORCHA_MISSILE_RACK, ARMOURED_IMPACT",-,9,3+ / 6++,12,7+,-,"VEHICLE, AIRCRAFT, FLY, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Burna-bommer,x1,125,,,,,,
WAZBOM_BLASTAJET,Wazbom Blastajet,"GO_FER_DA_WEAK_SPOT,WAZBOM_FORCE_FIELD","DAMAGED_4, DEADLY_DEMISE_D3","DUAL_SUPA_SHOOTA, SMASHA_GUN, DUAL_WAZBOM_MEGA_KANNON, ARMOURED_IMPACT",-,9,3+ / 6++,12,7+,-,"VEHICLE, AIRCRAFT, FLY, SPEED FREEKS",https://wahapedia.ru/wh40k11ed/factions/orks/Wazbom-Blastajet,x1,215,,,,,,
