Ability_ID,Ability Name,Short_Description,Long_Description,Tags,Tag Categories,Order,Visibility_ID,Default_Active
BEASTSCENT,Beastscent (Wurrboy Psychic Lvl 1),"Disembarking= +1 to wound vs MONSTER / VEHICLE
Test on D6, battle-shock on a 1","In your Movement phase, when a unit embarked within this unit is selected to make a disembark move, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. If you do:
- On a 1, this unit is battle-shocked
- That disembarking unit’s attacks that target a MONSTER / VEHICLE unit have +1 to wound rolls until the end of the turn",[+1 TO WOUND] [+1 TO WOUND],[Melee - Combat Modifiers] [Range - Combat Modifiers],0,1,
BOMB_SQUIGS_TANKBUSTAS,Bomb Squigs (Tankbustas),"Once per turn (max twice/battle): after Normal move, D3 mortals on 3+ to visible enemy within 12""","Bomb Squigs (Once per turn, twice per battle, per unit): In your Movement phase, when this unit ends a normal move, you can select one visible enemy unit within 12"" of this unit and roll one D6:
- On a 3+, that enemy unit suffers D3 mortal wounds.
Place two Bomb Squig tokens next to the unit, removing one each time this ability is used.",,,0,1,
BRUTAL_IMPACT,Brutal Impact,CHARGE this turn,"If this unit made a charge move this turn, this unit’s attacks have +1D",[+1 D] [+1 D],[Melee - Weapon Stats] [Range - Weapon Stats],0,1,0
BUST_EM,Bust ’Em,After shooting: one hit enemy becomes busted. SPEED FREEKS get LETHAL HITS vs busted units,"In your Shooting phase, when this unit shoots, you can select one enemy unit hit by those attacks. That unit is busted until the end of the turn.
- Friendly SPEED FREEKS units that target a busted unit have [LETHAL HITS].",[LETHAL HITS] [LETHAL HITS],[Melee - Weapon Rules] [Range - Weapon Rules],0,1,
COMPOSITION_BATTLEWAGON,Unit Composition (Battlewagon),1 Battlewagon. Crushin’ Bulk.,"UNIT COMPOSITION: 1 Battlewagon model.

This model is equipped with: 1 Crushin' Bulk.

WARGEAR OPTIONS: This model can be equipped with 1 Wreckin' Ball. This model can be equipped with up to 4 Big Shootas. This model can be equipped with 1 Grabbin' Klaw.",,,9,3,
COMPOSITION_BEAST_SNAGGA_BOYZ,Unit Composition (Beast Snagga Boyz),"1-2 Nobs (W 3, 6++) + 9-18 Boys (W 1). Optional Thump Gun per 10.","UNIT COMPOSITION: 1-2 Nob models, 9-18 Beast Snagga Boy models.

Beast Snagga Boy: W 1. Nob: W 3, invulnerable save 6+.

Every Nob is equipped with: 1 Power Snappa; 1 Slugga. Every Beast Snagga Boy is equipped with: 1 Choppa; 1 Slugga.

WARGEAR OPTIONS: For every 10 models in this unit, 1 Beast Snagga Boy model can be equipped with 1 Thump Gun.",,,9,3,
COMPOSITION_BOYZ,Unit Composition (Boyz),1-2 Nobs (W 3) + 9-18 Boys (W 1).,"UNIT COMPOSITION: 1-2 Nob models, 9-18 Boy models.

Boy: W 1. Nob: W 3.

Every Nob is equipped with: 1 Kustom Choppa; 1 Kombi-skorcha.

Every Boy is equipped with: 1 Choppa; 1 Shoota; 1 Slugga.",,,9,3,
COMPOSITION_BREAKA_BOYZ,Unit Composition (Breaka Boyz),1 Nob + 5 Breaka Boyz.,"UNIT COMPOSITION: 1 Nob model, 5 Breaka Boy models.

The Nob is equipped with: 1 Choppa; 1 Rokkit Pistol; 1 Smash Hammer. Every Breaka Boy is equipped with: 1 Smash Hammer.",,,9,3,
COMPOSITION_DEFFKOPTAS,Unit Composition (Deffkoptas),"3-6 Deffkoptas. Choppa, Rokkit Launcha, Slugga, Spinnin’ Blades and 1 Kustom Mega-blasta.","3-6 Deffkopta models.

Every model is equipped with: 1 Choppa; 1 Rokkit Launcha; 1 Slugga; 1 Spinnin' Blades.

WARGEAR OPTIONS: For every 3 models in this unit, 1 model can have their Rokkit Launcha replaced with 1 Kustom Mega-blasta.",,,9,3,
COMPOSITION_KOMMANDOS,Unit Composition (Kommandos),1 Nob + 9 Kommandos. Default Choppa + Slugga.,"UNIT COMPOSITION: 1 Nob model, 9 Kommando models.

Every model is equipped with: 1 Choppa; 1 Slugga.",,,9,3,
COMPOSITION_NOBZ,Unit Composition (Nobz),5-10 Nobz. Default Kustom Krumpa + Kustom Shoota.,"UNIT COMPOSITION: 5-10 Nob models.

Every model is equipped with: 1 Kustom Krumpa; 1 Kustom Shoota.

WARGEAR OPTIONS: For every 5 models in this unit, 1 model can have their Kustom Krumpa and Kustom Shoota replaced with 1 Big Skorcha and 1 Kustom Choppa. For every 5 models in this unit, 1 model can have their Kustom Krumpa and Kustom Shoota replaced with 1 Kustom Big Shoota and 1 Kustom Choppa. For every 5 models in this unit, 1 model can have their Kustom Krumpa and Kustom Shoota replaced with 1 Big Choppa. For every 5 models in this unit, 1 model can have their Kustom Shoota replaced with 1 Paired Krumpas. Any number of models can each have their Kustom Shoota replaced with 1 Kombi-rokkit.",,,9,3,
COMPOSITION_SQUIGHOG_BOYZ,Unit Composition (Squighog Boyz),1-2 Nob on Smasha Squig + 3-6 Squighog Boyz.,"UNIT COMPOSITION: 1-2 Nob on Smasha Squig models, 3-6 Squighog Boy models.

Every Nob on Smasha Squig is equipped with: 1 Big Choppa; 1 Slugga; 1 Squig's Jaws. Every Squighog Boy is equipped with: 1 Saddlegit's Shiv; 1 Squig's Jaws; 1 Stikka.",,,9,3,
COMPOSITION_STORMBOYZ,Unit Composition (Stormboyz),1 Nob + 4-9 Stormboyz.,"UNIT COMPOSITION: 1 Nob model, 4-9 Stormboy models.

The Nob is equipped with: 1 Kustom Choppa; 1 Slugga. Every Stormboy is equipped with: 1 Choppa; 1 Slugga.

WARGEAR OPTIONS: The Nob can have their Kustom Choppa replaced with 1 Power Klaw.",,,9,3,
COMPOSITION_TANKBUSTAS,Unit Composition (Tankbustas),1 Nob + 5 Tankbustas. Busta Rokkit Launcha / Gitstikka / Rokkit Pistol.,"UNIT COMPOSITION: 1 Nob model, 5 Tankbusta models.

The Nob is equipped with: 1 Choppa; 2 Rokkit Pistol. Every Tankbusta is equipped with: 1 Busta Rokkit Launcha; 1 Gitstikka.

WARGEAR OPTIONS: The Nob can have their Rokkit Pistol replaced with 1 Smash Hammer. 1 Tankbusta model can be equipped with one of the following: 1 Busta Rokkit Launcha; 1 Pulsa Rokkit.",,,9,3,
COMPOSITION_WARBIKERS,Unit Composition (Warbikers),1 Biker Nob + 2-5 Warbikers.,"UNIT COMPOSITION: 1 Biker Nob model, 2-5 Warbiker models.

The Biker Nob is equipped with: 1 Kustom Choppa; 1 Dual Kombi-rokkit. Every Warbiker is equipped with: 1 Choppa; 1 Dual Dakkagun.",,,9,3,
DAMAGED_1_6,Damaged 1-6,While 1–6 wounds remaining,CORE: Damaged 1-6,[-1 TO HIT] [-1 TO HIT],[Melee - Combat Modifiers] [Range - Combat Modifiers],0,1,0
DA_GRAND_WARLORDS_LADZ,Da Grand Warlord’s Ladz,"Lone Op while 3"" of Infantry","While this unit is within 3"" of another friendly ORKS INFANTRY unit, this unit has Lone Operative.","[LONE OP 3""]",[Unit Rules],0,2,
DEADLY_DEMISE_2D6,Deadly Demise 2D6,"When destroyed, on 6s inflict 2D6 mortal wounds within 6""",CORE: Deadly Demise 2D6,,,0,1,
DEADLY_DEMISE_D6,Deadly Demise D6,"When destroyed, roll D6: on 6 inflict D6 mortal wounds on units within 6""",CORE: Deadly Demise D6,,,0,1,
DEEP_STRIKE,Deep Strike,ANYTIME,CORE: Deep Strike,[DEEP STRIKE],[Unit Rules],0,2,1
DOWNTRODDEN,Downtrodden,"Transport: 
2 Gretchin = 1 space","For the purposes of transport capacity, each 2 Gretchin models (rounding up) take up the space of 1 model.",,,0,1,
FINDER_KEEPERZ,Finder Keeperz,RANGE: unit or target on an Objective,"In your Shooting phase, if any of the following apply, this unit’s ranged attacks have +1 AP.
- This unit is within range of an objective
- The target of that attack is within range of an objective",[+1 AP],[Range - Weapon Stats],0,1,0
FIRING_DECK_11,Firing Deck 11,CORE: Firing Deck 11,CORE: Firing Deck 11,,,0,1,
FOUND_EM,Found ’Em!,"Movement: select enemy 12"" → +3"" detection range until end of turn","In your Movement phase, you can select one enemy unit within 12"" of this unit. That unit has +3"" detection range until the end of the turn.
Place one Accusatory Grot token next to that enemy unit to remind you.",,,0,1,
GET_OUT_DA_WAY,Get Out da Way!,CHARGE: excludes MONSTER / VEHICLE models,"While making a charge move, this unit can move through models (excluding MONSTER / VEHICLE models).",[MOVE THROUGH MODELS],[Movement Rules],0,1,0
HIGH_SPEED_CARNAGE,High-speed Carnage,CHARGE this turn — MELEE,"If this unit made a charge move this turn, this unit’s melee attacks have +1S and +1D.",[+1 S] [+1 D],[Melee - Weapon Stats] [Melee - Weapon Stats],0,1,0
IDOL_OF_BELLIGERENCE,Idol of Belligerence,Disembarking units are RILED UP,"In your Movement phase, when a unit embarked within this unit is selected to make a disembark move, that unit is RILED UP until the start of your next turn.",,,0,1,
INFILTRATORS,Infiltrators,ANYTIME,CORE: Infiltrators,[INFILTRATORS],[Unit Rules],0,2,1
MAKARI_HOIST_DAT_BANNER,"Makari, Hoist Dat Banner!",Once per battle: RILED UP number of units equal to current round,"Makari, Hoist Dat Banner! (Once per battle, per army): In your Movement phase, you can select a number of friendly ORKS units equal to or less than the current battle round number. Those units are RILED UP until the start of your next turn. Place one Makari token next to the unit, removing it after this ability is used.",,,0,1,
MOBBED,Mobbed,"After charge: engaged MONSTER / VEHICLE take Battle-shock (-1, or -2 if 13+ models)","When this unit ends a charge move, each enemy MONSTER / VEHICLE unit engaged with this unit makes a battle-shock roll:
- With -1 to that battle-shock roll
- Or with -2 to that battle-shock roll if this unit has 13+ models.",[ENEMY -1 BATTLE-SHOCK] [ENEMY -2 BATTLE-SHOCK],[Info Only] [Info Only],0,1,
MOBILE_FORTRESS,Mobile Fortress,ANYTIME — incoming RANGE,Ranged attacks targeting this model have -1 D,[INCOMING RANGE -1 D],[Info Only],10,1,1
NOWHERE_TO_HIDE,Nowhere to Hide,vs HIDDEN units,This unit’s attacks that target a hidden unit have +1 to hit rolls.,[+1 TO HIT] [+1 TO HIT],[Melee - Combat Modifiers] [Range - Combat Modifiers],0,1,0
ROKKIT_BARRAGE,Rokkit Barrage,After shooting: one hit enemy unit takes Battle-shock with -1,"In your Shooting phase, when this unit has shot, select one enemy unit hit by those attacks. That unit makes a battle-shock roll, with -1 to that battle-shock roll.",,,0,1,
ROKKIT_CHARGE,Rokkit Charge,CHARGE this turn — MELEE,"When this unit is selected to fight, if this unit made a charge move this turn, you can use this ability. If you do, this unit’s melee attacks have:
- +1 A and S
- [HAZARDOUS]",[+1 A] [+1 S] [HAZARDOUS],[Melee - Weapon Stats] [Melee - Weapon Stats] [Melee - Weapon Rules],0,1,0
SPEEDNOB_SUPPORT,Speednob Support,"Within 3"" of friendly SPEED FREEKS (excluding WARTRAKK)","While each model in this unit is within 3"" of a friendly SPEED FREEKS unit (excluding WARTRAKK models), this unit has Lone Operative.","[LONE OP 3""]",[Unit Rules],0,2,
STEALTH,Stealth,ANYTIME,CORE: Stealth,[STEALTH],[Unit Rules],0,2,1
SUPER_HEAVY_WALKER,Super-heavy Walker,CORE: Super-heavy Walker,CORE: Super-heavy Walker,,,0,1,
TACTICAL_KNOW_WOTZ,Tactical Know-wotz,Can split into two units of 5 at start; assign Bomb Squig and Found ’Em! separately,"In the Declare Battle Formations step, you can split this unit into two units, each with a starting strength of 5. If you do, select which one of those units will have the Bomb Squig ability and which one of those units will have the Found ’Em! ability.",,,0,1,
WAAAGH_EFFIGY,Waaagh! Effigy,ANYTIME,This unit is RILED UP.,[RILED UP] [5++ Invul],[Unit Rules] [Unit Rules],0,1,1
WARPATH,Warpath (Psychic Lvl 1),"Melee attacks gain LETHAL HITS and PSYCHIC
Test on D6, battle-shock on a 1","In the Fight phase, when this unit is selected to fight, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. If you do:
- On a 1, this unit is battle-shocked
- This unit’s melee attacks have [LETHAL HITS] and [PSYCHIC].",[LETHAL HITS],[Melee - Weapon Rules],0,1,
TIDE_OF_MUSCLE,Tide of Muscle,CHARGE this turn — MELEE,"In the Fight phase, if this unit made a charge move this turn, this unit’s melee attacks have [LETHAL HITS].",[LETHAL HITS],[Melee - Weapon Rules],0,1,0
NEVER_TOO_BUSY_TO_FIGHT,Never Too Busy to Fight,Engaged does not prevent starting an action,Being engaged does not prevent this unit from being eligible to start an action.,,,0,1,
ARROGANT_INVULNERABILITY,Arrogant Invulnerability,Incoming attacks: -1 AP,Attacks that target this unit have -1 AP,[INCOMING -1 AP],[Info Only],2,1,1
BIG_AN_SHOOTY,Big an’ Shooty,ANYTIME — RANGE,This unit’s ranged attacks can re-roll hit rolls of 1.,[RE-ROLL 1S TO HIT],[Range - Combat Modifiers],0,1,1
BIG_AN_STOMPY,Big an’ Stompy,ANYTIME — MELEE,This unit’s melee attacks can re-roll hit rolls of 1.,[RE-ROLL 1S TO HIT],[Melee - Combat Modifiers],0,1,1
COMPOSITION_DEFF_DREAD,Unit Composition (Deff Dread),"1 Deff Dread. Big Shoota, Dread Klaws, Skorcha.","UNIT COMPOSITION: 1 Deff Dread model.

This model is equipped with: 1 Big Shoota; 1 Dread Klaws; 1 Skorcha.

WARGEAR OPTIONS: This model's Big Shoota can be replaced with one of the following: 1 Extra Klaw; 1 Kustom Mega-blasta; 1 Rokkit Launcha. This model's Skorcha can be replaced with one of the following: 1 Extra Klaw; 1 Big Shoota; 1 Kustom Mega-blasta; 1 Rokkit Launcha.",,,9,3,
COMPOSITION_GUNWAGON,Unit Composition (Gunwagon),1 Gunwagon. Crushin’ Bulk + Kannon.,"UNIT COMPOSITION: 1 Gunwagon model.

This model is equipped with: 1 Crushin' Bulk; 1 Kannon.

WARGEAR OPTIONS: This model can be equipped with 1 Wreckin' Ball. This model can be equipped with 1 Grabbin' Klaw. This model can be equipped with 1 Lobba. This model can be equipped with up to 4 Big Shootas. This model's Kannon can be replaced with one of the following: 1 Killkannon; 1 Zzap Gun.",,,9,3,
